,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,205.10,214.80,202.85,211.25,1162012,5.65,2.75%,211.25,243.23m,13339
2,08/03/17,180.40,206.90,178.00,205.60,3915119,54.30,35.89%,205.60,769.25m,35570
3,08/02/17,152.95,154.00,148.25,151.30,800145,-0.85,-0.56%,151.30,120.41m,8024
4,08/01/17,149.05,155.35,148.80,152.15,420583,4.05,2.73%,152.15,64.21m,4816
5,07/31/17,149.40,150.50,147.75,148.10,317987,-0.80,-0.54%,148.10,47.32m,2765
6,07/28/17,148.40,149.90,146.80,148.90,207628,0.10,0.07%,148.90,30.85m,2686
7,07/27/17,157.00,158.75,146.60,148.80,490451,-7.40,-4.74%,148.80,74.02m,6613
8,07/26/17,152.55,156.35,152.30,156.20,325424,4.30,2.83%,156.20,50.4m,3612
9,07/25/17,152.65,155.50,151.70,151.90,334917,0.30,0.20%,151.90,51.36m,4166
10,07/24/17,150.05,152.55,148.545,151.60,277646,1.85,1.24%,151.60,42.07m,3001
11,07/21/17,150.00,152.40,148.85,149.75,262067,0.40,0.27%,149.75,39.4m,2828
12,07/20/17,147.55,149.65,147.00,149.35,180012,2.55,1.74%,149.35,26.76m,2519
13,07/19/17,147.05,149.35,146.10,146.80,230935,0.30,0.20%,146.80,34.05m,2937
14,07/18/17,142.50,147.85,141.005,146.50,356844,3.35,2.34%,146.50,51.79m,4172
15,07/17/17,149.95,150.15,142.55,143.15,1170627,-5.95,-3.99%,143.15,171.51m,10895
16,07/14/17,147.05,149.60,147.05,149.10,279447,2.80,1.91%,149.10,41.59m,3282
17,07/13/17,147.40,148.30,144.55,146.30,355801,-0.10,-0.07%,146.30,52.21m,3892
18,07/12/17,144.55,147.40,144.05,146.40,232164,3.25,2.27%,146.40,33.91m,2643
19,07/11/17,143.35,145.00,140.45,143.15,355724,0.00,0.00%,143.15,50.76m,4154
20,07/10/17,145.40,146.85,142.45,143.15,297379,-2.30,-1.58%,143.15,42.71m,3798
21,07/07/17,144.05,146.70,143.625,145.45,259438,1.90,1.32%,145.45,37.72m,2532
22,07/06/17,143.70,145.05,142.21,143.55,409768,-0.90,-0.62%,143.55,58.85m,4061
23,07/05/17,144.55,147.65,143.20,144.45,421310,-0.05,-0.03%,144.45,61.24m,4488
24,06/30/17,153.35,156.40,152.20,154.875,407949,2.175,1.42%,154.875,62.97m,4195
25,06/29/17,153.50,154.70,151.075,152.70,365743,-0.80,-0.52%,152.70,56.03m,4034
26,06/28/17,150.40,153.90,150.30,153.50,285322,3.45,2.30%,153.50,43.35m,2655
27,06/27/17,150.75,153.25,149.005,150.05,351527,-1.20,-0.79%,150.05,53.2m,4354
