,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,3.90,4.05,3.809,4.05,337601,0.10,2.53%,4.05,1.34m,984
2,08/03/17,3.70,3.95,3.70,3.95,175169,0.15,3.95%,3.95,666.43k,1235
3,08/02/17,3.70,3.80,3.65,3.80,144887,0.05,1.33%,3.80,540.62k,571
4,08/01/17,3.70,3.75,3.60,3.75,79879,0.10,2.74%,3.75,293.84k,361
5,07/31/17,3.70,3.70,3.60,3.65,232041,-0.05,-1.35%,3.65,847.97k,1109
6,07/28/17,3.80,3.85,3.65,3.70,158963,-0.05,-1.33%,3.70,592.9k,480
7,07/27/17,3.85,3.85,3.70,3.75,196213,-0.05,-1.32%,3.75,743.2k,1060
8,07/26/17,3.75,3.85,3.75,3.80,226023,0.05,1.33%,3.80,861.66k,1016
9,07/25/17,3.75,3.85,3.70,3.75,236649,0.00,0.00%,3.75,891.26k,828
10,07/24/17,3.80,3.85,3.75,3.75,147118,-0.10,-2.60%,3.75,560.56k,439
11,07/21/17,3.90,3.90,3.80,3.85,168180,0.00,0.00%,3.85,647.82k,513
12,07/20/17,3.90,3.95,3.85,3.85,92723,-0.05,-1.28%,3.85,359.06k,430
13,07/19/17,3.90,3.90,3.85,3.90,108639,0.00,0.00%,3.90,420.47k,412
14,07/18/17,4.00,4.00,3.85,3.90,129634,-0.05,-1.27%,3.90,506.6k,595
15,07/17/17,3.95,4.00,3.90,3.95,91548,-0.05,-1.25%,3.95,363.67k,381
16,07/14/17,4.00,4.05,3.925,4.00,87970,-0.05,-1.23%,4.00,350.46k,642
17,07/13/17,3.90,4.10,3.894,4.05,195426,0.10,2.53%,4.05,788.84k,934
18,07/12/17,3.75,4.00,3.75,3.95,203416,0.20,5.33%,3.95,793.47k,1043
19,07/11/17,3.80,3.85,3.75,3.75,243829,0.00,0.00%,3.75,921.33k,805
20,07/10/17,3.90,3.90,3.75,3.75,150379,-0.10,-2.60%,3.75,570.82k,845
21,07/07/17,3.95,4.00,3.825,3.85,193852,-0.15,-3.75%,3.85,751.72k,630
22,07/06/17,4.15,4.15,3.95,4.00,95225,-0.05,-1.23%,4.00,381.96k,486
23,07/05/17,4.20,4.20,4.05,4.05,156770,-0.10,-2.41%,4.05,642.24k,1042
24,06/30/17,4.30,4.45,4.10,4.10,310801,-0.10,-2.38%,4.10,1.32m,873
25,06/29/17,4.05,4.25,4.00,4.20,343834,0.20,5.00%,4.20,1.43m,1188
26,06/28/17,3.95,4.05,3.9441,4.00,287367,0.10,2.56%,4.00,1.15m,1010
27,06/27/17,3.90,4.00,3.75,3.90,436093,0.05,1.30%,3.90,1.7m,1701
28,06/26/17,3.65,3.90,3.6005,3.85,288902,0.25,6.94%,3.85,1.1m,1208
29,06/23/17,3.55,3.65,3.55,3.60,115031,0.00,0.00%,3.60,414.44k,1082
30,06/22/17,3.60,3.75,3.55,3.60,208215,0.00,0.00%,3.60,755.81k,1240
31,06/21/17,3.65,3.65,3.60,3.60,107762,0.00,0.00%,3.60,391.14k,575
32,06/20/17,3.60,3.70,3.55,3.60,141060,0.00,0.00%,3.60,508.85k,1008
