,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,25.56,25.60,25.53,25.58,8775,0.015,0.06%,25.58,224.35k,51
2,08/03/17,25.57,25.60,25.51,25.565,20579,0.025,0.10%,25.565,526.24k,69
3,08/02/17,25.55,25.56,25.5064,25.54,19558,-0.01,-0.04%,25.54,499.51k,63
4,08/01/17,25.54,25.55,25.48,25.55,20630,0.07,0.27%,25.55,526.7k,94
5,07/31/17,25.47,25.54,25.4628,25.48,11589,0.0201,0.08%,25.48,295.64k,61
6,07/28/17,25.39,25.47,25.39,25.4599,17275,0.0399,0.16%,25.4599,439.28k,112
7,07/27/17,25.4699,25.47,25.38,25.42,33562,-0.03,-0.12%,25.42,854.01k,108
8,07/26/17,25.36,25.47,25.36,25.45,31899,0.011,0.04%,25.45,811.91k,125
9,07/25/17,25.42,25.4599,25.36,25.439,47772,0.024,0.09%,25.439,1.21m,200
10,07/24/17,25.35,25.44,25.34,25.415,83852,0.115,0.45%,25.415,2.13m,383
11,07/21/17,25.47,25.5399,25.30,25.30,957492,-0.17,-0.67%,25.30,24.24m,518
12,07/20/17,25.47,25.54,25.47,25.47,40281,0.00,0.00%,25.47,1.03m,479
13,07/19/17,25.48,25.50,25.45,25.47,39204,0.03,0.12%,25.47,998.67k,317
14,07/18/17,25.43,25.50,25.42,25.44,44350,0.01,0.04%,25.44,1.13m,291
15,07/17/17,25.46,25.48,25.40,25.43,30337,0.00,0.00%,25.43,771.37k,276
16,07/14/17,25.42,25.48,25.38,25.43,35537,0.10,0.39%,25.43,903.74k,333
17,07/13/17,25.41,25.4899,25.33,25.33,43997,-0.08,-0.31%,25.33,1.12m,343
18,07/12/17,25.46,25.5401,25.40,25.41,41006,-0.03,-0.12%,25.41,1.04m,419
19,07/11/17,25.50,25.50,25.42,25.44,29767,-0.01,-0.04%,25.44,757.35k,260
20,07/10/17,25.53,25.574,25.41,25.45,48925,-0.12,-0.47%,25.45,1.25m,527
21,07/07/17,25.60,25.7001,25.57,25.57,5478,-0.07,-0.27%,25.57,140.64k,112
22,07/06/17,25.635,25.73,25.56,25.64,10723,-0.08,-0.31%,25.64,274.97k,96
23,07/05/17,25.5105,25.73,25.5105,25.72,21454,0.16,0.63%,25.72,548.76k,147
24,06/30/17,25.56,25.60,25.4538,25.53,6544,0.03,0.12%,25.53,167.17k,36
25,06/29/17,25.47,25.64,25.442,25.50,7431,0.03,0.12%,25.50,189.53k,51
26,06/28/17,25.37,25.727,25.37,25.47,13878,0.04,0.16%,25.47,354.15k,117
27,06/27/17,25.40,25.54,25.38,25.43,20732,0.03,0.12%,25.43,527.77k,150
28,06/26/17,25.56,25.57,25.39,25.40,36726,-0.07,-0.27%,25.40,934.32k,280
29,06/23/17,25.60,25.7407,25.47,25.47,41182,-0.21,-0.82%,25.47,1.05m,326
30,06/22/17,25.78,25.90,25.68,25.68,7410,-0.132,-0.51%,25.68,190.85k,103
31,06/21/17,25.81,25.91,25.7272,25.812,8665,-0.118,-0.46%,25.812,223.89k,61
32,06/20/17,25.89,26.09,25.89,25.93,2927,-0.1211,-0.46%,25.93,76.01k,20
33,06/19/17,25.81,26.0511,25.81,26.0511,3443,0.1511,0.58%,26.0511,89.31k,13
34,06/16/17,25.7759,25.90,25.74,25.90,2886,0.035,0.14%,25.90,74.63k,24
35,06/15/17,25.85,25.894,25.83,25.865,2871,0.095,0.37%,25.865,74.24k,19
36,06/14/17,25.67,25.80,25.67,25.77,4266,-0.04,-0.15%,25.77,109.9k,43
