,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,1.292,1.3726,1.25,1.35,51221,0.01,0.75%,1.35,65.67k,79
2,08/03/17,1.31,1.34,1.28,1.34,1528,-0.0091,-0.67%,1.34,1.99k,8
3,08/02/17,,,,1.3491,0,,0.00%,1.3491,,
4,08/01/17,1.34,1.35,1.34,1.3491,2201,0.0091,0.68%,1.3491,2.97k,6
5,07/31/17,1.35,1.38,1.34,1.34,22025,0.03,2.29%,1.34,29.97k,9
6,07/28/17,1.3013,1.3599,1.3013,1.31,466,-0.0401,-2.97%,1.31,614.58,5
7,07/27/17,1.33,1.3685,1.30,1.3501,18459,0.0001,0.01%,1.3501,24.68k,27
8,07/26/17,1.36,1.36,1.35,1.35,610,-0.0099,-0.73%,1.35,824.60,6
9,07/25/17,1.33,1.36,1.3299,1.3599,10195,0.0599,4.61%,1.3599,13.65k,36
10,07/24/17,,,,1.30,0,,0.00%,1.30,,
11,07/21/17,,,,1.30,2,0.00,0.00%,1.30,,2
12,07/20/17,1.2996,1.305,1.2996,1.30,4550,-0.04,-2.99%,1.30,5.92k,5
13,07/19/17,1.34,1.34,1.34,1.34,9519,-0.009,-0.67%,1.34,12.76k,3
14,07/18/17,1.349,1.349,1.349,1.349,200,-0.001,-0.07%,1.349,269.80,2
15,07/17/17,1.30,1.35,1.30,1.35,8404,0.04,3.05%,1.35,11.09k,12
16,07/14/17,1.35,1.35,1.28,1.31,6063,-0.02,-1.50%,1.31,8.06k,16
17,07/13/17,1.34,1.36,1.33,1.33,4300,-0.0199,-1.47%,1.33,5.82k,34
18,07/12/17,1.35,1.36,1.27,1.3499,14117,-0.0001,-0.01%,1.3499,19.05k,37
19,07/11/17,1.3068,1.35,1.27,1.35,6700,0.01,0.75%,1.35,8.93k,32
20,07/10/17,1.26,1.34,1.25,1.34,4401,0.08,6.35%,1.34,5.7k,25
21,07/07/17,1.255,1.262,1.21,1.26,8533,0.00,0.00%,1.26,10.58k,34
22,07/06/17,1.31,1.3101,1.24,1.26,5821,-0.05,-3.82%,1.26,7.4k,18
23,07/05/17,1.28,1.3124,1.28,1.31,6729,0.0301,2.35%,1.31,8.7k,13
24,06/30/17,1.25,1.32,1.20,1.262,11761,-0.018,-1.41%,1.262,14.96k,35
25,06/29/17,1.3336,1.3336,1.25,1.28,5707,-0.04,-3.03%,1.28,7.38k,29
26,06/28/17,1.33,1.35,1.25,1.32,50511,0.07,5.60%,1.32,67.23k,101
27,06/27/17,1.2574,1.2635,1.23,1.25,10189,-0.04,-3.10%,1.25,12.64k,49
28,06/26/17,1.30,1.3002,1.29,1.29,26219,0.01,0.78%,1.29,33.89k,59
29,06/23/17,1.28,1.30,1.24,1.28,62282,0.0251,2.00%,1.28,80.53k,103
30,06/22/17,1.26,1.28,1.1901,1.2549,131474,-0.0016,-0.13%,1.2549,162.01k,216
31,06/21/17,1.2786,1.2786,1.25,1.2565,16455,-0.0035,-0.28%,1.2565,20.71k,39
32,06/20/17,1.26,1.27,1.23,1.26,19915,0.00,0.00%,1.26,24.92k,38
33,06/19/17,1.25,1.2911,1.25,1.26,14665,-0.0181,-1.42%,1.26,18.75k,23
34,06/16/17,1.2365,1.2871,1.23,1.2781,30750,0.0481,3.91%,1.2781,38.51k,45
35,06/15/17,1.232,1.24,1.23,1.23,1565,-0.02,-1.60%,1.23,1.93k,6
36,06/14/17,1.26,1.30,1.25,1.25,10245,-0.02,-1.57%,1.25,12.87k,10
37,06/13/17,1.31,1.31,1.26,1.27,918,-0.01,-0.78%,1.27,1.17k,9
38,06/12/17,1.30,1.31,1.28,1.28,7155,0.00,0.00%,1.28,9.17k,15
39,06/09/17,1.31,1.31,1.28,1.28,15929,-0.02,-1.54%,1.28,20.77k,30
40,06/08/17,1.31,1.31,1.30,1.30,8966,0.00,0.00%,1.30,11.68k,30
41,06/07/17,1.32,1.3201,1.30,1.30,1917,-0.01,-0.76%,1.30,2.52k,14
42,06/06/17,1.3399,1.3498,1.31,1.31,8986,-0.04,-2.96%,1.31,11.98k,17
43,06/05/17,1.34,1.35,1.33,1.35,1694,0.05,3.85%,1.35,2.26k,11
44,06/02/17,1.34,1.37,1.30,1.30,16523,-0.0591,-4.35%,1.30,22.23k,52
45,06/01/17,1.31,1.3591,1.30,1.3591,1983,0.0091,0.67%,1.3591,2.61k,15
46,05/31/17,1.42,1.42,1.35,1.35,20399,-0.07,-4.93%,1.35,27.95k,15
47,05/30/17,1.30,1.42,1.30,1.42,8655,0.065,4.80%,1.42,11.9k,37
48,05/26/17,1.35,1.36,1.32,1.355,7307,0.015,1.12%,1.355,9.86k,39
49,05/25/17,1.34,1.34,1.32,1.34,2300,0.03,2.29%,1.34,3.05k,5
50,05/24/17,1.28,1.35,1.28,1.31,7742,0.04,3.15%,1.31,10.34k,20
51,05/23/17,1.25,1.35,1.25,1.27,83731,0.03,2.42%,1.27,110.71k,190
52,05/22/17,1.24,1.30,1.23,1.24,34395,-0.01,-0.80%,1.24,43.41k,45
53,05/19/17,1.28,1.38,1.19,1.25,87665,0.01,0.81%,1.25,113.6k,107
54,05/18/17,1.12,1.24,1.12,1.24,34265,0.07,5.98%,1.24,41.06k,64
55,05/17/17,1.18,1.2099,1.11,1.17,67978,-0.02,-1.68%,1.17,79.94k,98
56,05/16/17,1.18,1.256,1.18,1.19,112565,-0.03,-2.46%,1.19,136.41k,94
57,05/15/17,1.2757,1.2757,1.18,1.22,45994,0.00,0.00%,1.22,55.68k,30
58,05/12/17,1.2501,1.26,1.19,1.22,7695,0.00,0.00%,1.22,9.61k,21
59,05/11/17,1.21,1.2699,1.1801,1.22,31250,-0.01,-0.81%,1.22,37.43k,27
60,05/10/17,1.27,1.27,1.22,1.23,18820,-0.0199,-1.59%,1.23,23.44k,38
61,05/09/17,1.27,1.27,1.19,1.2499,14950,0.0199,1.62%,1.2499,18.52k,26
62,05/08/17,1.2399,1.27,1.23,1.23,64197,0.00,0.00%,1.23,80.79k,88
63,05/05/17,1.2575,1.30,1.22,1.23,96801,-0.01,-0.81%,1.23,122.25k,191
64,05/04/17,1.22,1.29,1.22,1.24,12900,-0.0099,-0.79%,1.24,15.93k,21
65,05/03/17,1.26,1.26,1.18,1.2499,28522,-0.0168,-1.33%,1.2499,35.24k,76
66,05/02/17,1.2651,1.2667,1.236,1.2667,12436,0.0167,1.34%,1.2667,15.54k,27
67,05/01/17,1.23,1.2699,1.22,1.25,23937,-0.01,-0.79%,1.25,29.93k,66
68,04/28/17,1.31,1.31,1.26,1.26,9705,-0.05,-3.82%,1.26,12.35k,39
69,04/27/17,1.30,1.319,1.26,1.31,69263,-0.01,-0.76%,1.31,89.95k,112
70,04/26/17,1.28,1.37,1.26,1.32,71780,0.06,4.76%,1.32,94.94k,213
71,04/25/17,1.2429,1.28,1.2429,1.26,11101,-0.01,-0.79%,1.26,14.14k,10
72,04/24/17,1.29,1.29,1.25,1.27,17750,-0.01,-0.78%,1.27,22.66k,18
73,04/21/17,1.28,1.37,1.26,1.28,29247,0.01,0.79%,1.28,38.74k,116
