,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,13.00,13.15,13.00,13.00,16139,0.00,0.00%,13.00,210.18k,77
2,08/03/17,13.089,13.15,12.95,13.00,12375,-0.0499,-0.38%,13.00,161.21k,58
3,08/02/17,13.00,13.0499,12.9999,13.0499,18343,-0.0001,-0.00%,13.0499,238.48k,66
4,08/01/17,13.10,13.10,12.975,13.05,16426,0.05,0.38%,13.05,213.78k,55
5,07/31/17,13.00,13.0976,12.69,13.00,30256,0.00,0.00%,13.00,393.41k,245
6,07/28/17,13.00,13.05,13.00,13.00,8798,-0.05,-0.38%,13.00,114.63k,44
7,07/27/17,12.85,13.05,12.85,13.05,8640,0.10,0.77%,13.05,111.5k,31
8,07/26/17,12.5198,13.00,12.5198,12.95,18072,0.05,0.39%,12.95,230.48k,72
9,07/25/17,13.00,13.00,12.90,12.90,8173,-0.10,-0.77%,12.90,105.98k,64
10,07/24/17,12.9149,13.00,12.90,13.00,8136,0.1003,0.78%,13.00,105.28k,37
11,07/21/17,12.90,12.90,12.8902,12.8997,1847,-0.0003,-0.00%,12.8997,23.82k,13
12,07/20/17,12.65,12.90,12.6485,12.90,5442,0.05,0.39%,12.90,69.16k,33
13,07/19/17,12.90,12.90,12.782,12.85,6021,0.00,0.00%,12.85,77.1k,32
14,07/18/17,12.65,12.85,12.65,12.85,5825,0.1309,1.03%,12.85,74.36k,46
15,07/17/17,12.50,12.80,12.3028,12.7191,4351,0.2192,1.75%,12.7191,54.84k,28
16,07/14/17,12.351,12.50,12.351,12.4999,3501,-0.0001,-0.00%,12.4999,43.66k,30
17,07/13/17,12.55,12.55,12.40,12.50,11089,0.00,0.00%,12.50,138.3k,54
18,07/12/17,12.6724,12.6724,12.4501,12.50,2880,0.15,1.21%,12.50,35.98k,21
19,07/11/17,12.45,12.45,12.25,12.35,8396,-0.10,-0.80%,12.35,103.63k,46
20,07/10/17,12.20,12.5001,12.20,12.45,11003,0.15,1.22%,12.45,136.67k,81
21,07/07/17,12.10,12.35,12.0711,12.30,25307,0.15,1.23%,12.30,307.39k,89
22,07/06/17,12.10,12.15,12.10,12.15,14020,0.05,0.41%,12.15,170.1k,38
23,07/05/17,12.0375,12.15,12.0375,12.10,10033,-0.05,-0.41%,12.10,121.59k,42
24,06/30/17,12.1499,12.15,12.025,12.15,5466,0.20,1.67%,12.15,66.21k,28
25,06/29/17,11.988,11.988,11.95,11.95,1172,0.00,0.00%,11.95,14.02k,15
26,06/28/17,12.15,12.15,11.95,11.95,5486,0.00,0.00%,11.95,65.8k,39
27,06/27/17,11.95,11.95,11.95,11.95,414,0.00,0.00%,11.95,4.95k,8
28,06/26/17,11.9936,12.0631,11.95,11.95,7157,-0.15,-1.24%,11.95,85.73k,56
29,06/23/17,11.95,12.10,11.95,12.10,10517,0.15,1.26%,12.10,126.26k,38
30,06/22/17,11.9895,11.9895,11.95,11.95,1001,0.00,0.00%,11.95,11.98k,7
31,06/21/17,11.9501,11.9501,11.95,11.95,836,0.00,0.00%,11.95,9.99k,11
32,06/20/17,11.95,12.00,11.95,11.95,6211,-0.05,-0.42%,11.95,74.24k,35
33,06/19/17,12.00,12.00,11.95,12.00,1978,0.05,0.42%,12.00,23.66k,21
34,06/16/17,11.8758,12.00,11.80,11.95,91239,0.00,0.00%,11.95,1.09m,60
35,06/15/17,11.8688,12.00,11.80,11.95,11790,0.05,0.42%,11.95,139.78k,75
36,06/14/17,11.95,12.00,11.90,11.90,8526,-0.05,-0.42%,11.90,101.75k,43
37,06/13/17,11.95,12.00,11.90,11.95,5490,0.05,0.42%,11.95,65.51k,45
38,06/12/17,11.95,11.95,11.851,11.90,2852,-0.05,-0.42%,11.90,34k,22
39,06/09/17,11.9505,12.00,11.95,11.95,5772,-0.025,-0.21%,11.95,69.17k,38
40,06/08/17,11.95,11.975,11.925,11.975,8075,0.00,0.00%,11.975,96.54k,63
41,06/07/17,11.975,11.9995,11.95,11.975,3240,-0.025,-0.21%,11.975,38.82k,18
42,06/06/17,12.00,12.15,11.95,12.00,19964,-0.05,-0.41%,12.00,240.45k,77
43,06/05/17,12.00,12.10,12.00,12.05,8861,0.05,0.42%,12.05,106.89k,53
44,06/02/17,12.20,12.20,11.962,12.00,6533,-0.10,-0.83%,12.00,78.99k,41
45,06/01/17,12.00,12.20,12.00,12.10,13785,-0.028,-0.23%,12.10,166.91k,129
46,05/31/17,12.30,12.30,12.00,12.128,1131,-0.022,-0.18%,12.128,13.73k,12
47,05/30/17,12.35,12.35,12.0001,12.15,3659,0.05,0.41%,12.15,44.35k,11
48,05/26/17,12.00,12.1499,12.00,12.10,5361,0.025,0.21%,12.10,64.62k,41
49,05/25/17,11.90,12.275,11.90,12.075,7552,0.025,0.21%,12.075,91.6k,32
50,05/24/17,12.5312,12.5312,11.96,12.05,7979,0.20,1.69%,12.05,96.19k,52
51,05/23/17,12.00,12.00,11.805,11.85,5393,-0.5999,-4.82%,11.85,64.52k,29
52,05/22/17,12.00,12.4499,11.9882,12.4499,8923,0.4499,3.75%,12.4499,108.33k,54
53,05/19/17,12.1822,12.20,11.95,12.00,1891,0.00,0.00%,12.00,22.86k,19
54,05/18/17,11.75,12.45,11.75,12.00,3486,0.20,1.69%,12.00,41.92k,44
55,05/17/17,11.75,12.00,11.75,11.80,4231,-0.5475,-4.43%,11.80,50.22k,28
56,05/16/17,12.10,12.3475,12.10,12.3475,6462,-0.0025,-0.02%,12.3475,78.59k,48
57,05/15/17,12.30,12.35,11.80,12.35,7601,0.075,0.61%,12.35,92.17k,31
58,05/12/17,12.20,12.30,12.20,12.275,941,0.225,1.87%,12.275,11.54k,9
59,05/11/17,11.9237,12.218,11.9237,12.05,5218,0.05,0.42%,12.05,62.7k,17
60,05/10/17,11.80,12.00,11.80,12.00,4055,0.00,0.00%,12.00,48.54k,37
61,05/09/17,11.85,12.00,11.75,12.00,4158,0.0525,0.44%,12.00,49.28k,18
62,05/08/17,12.00,12.00,11.901,11.9475,1693,-0.0525,-0.44%,11.9475,20.25k,7
63,05/05/17,11.7333,12.00,11.7333,12.00,2001,0.15,1.27%,12.00,23.83k,14
64,05/04/17,11.875,11.875,11.85,11.85,3156,0.10,0.85%,11.85,37.45k,9
65,05/03/17,11.65,12.2499,11.65,11.75,6575,0.00,0.00%,11.75,78.69k,43
66,05/02/17,11.75,11.80,11.65,11.75,753,0.15,1.29%,11.75,8.85k,17
67,05/01/17,11.803,12.1417,11.60,11.60,4206,-0.60,-4.92%,11.60,50.48k,37
68,04/28/17,12.60,12.65,12.00,12.20,1070,0.35,2.95%,12.20,13.22k,13
69,04/27/17,12.1102,12.1102,11.70,11.85,3318,0.15,1.28%,11.85,39.34k,13
70,04/26/17,11.6126,11.80,11.6126,11.70,1388,-0.15,-1.27%,11.70,16.33k,18
71,04/25/17,11.65,12.3928,11.60,11.85,16645,-0.0128,-0.11%,11.85,194.4k,81
72,04/24/17,12.05,12.05,11.85,11.8628,1695,-0.0372,-0.31%,11.8628,20.24k,15
73,04/21/17,12.1499,12.1499,11.80,11.90,7839,-0.30,-2.46%,11.90,93.96k,75
74,04/20/17,11.7545,12.20,11.7545,12.20,4383,0.25,2.09%,12.20,52.98k,24
75,04/19/17,11.80,12.10,11.80,11.95,1347,0.15,1.27%,11.95,16.19k,20
76,04/18/17,12.10,12.10,11.80,11.80,3015,-0.45,-3.67%,11.80,35.91k,28
77,04/17/17,12.187,12.25,12.00,12.25,4432,0.15,1.24%,12.25,53.65k,47
78,04/13/17,12.2025,12.2025,12.10,12.10,640,0.00,0.00%,12.10,7.78k,10
79,04/12/17,12.00,12.10,12.00,12.10,3961,0.10,0.83%,12.10,47.64k,17
80,04/11/17,12.15,12.25,12.00,12.00,887,0.00,0.00%,12.00,10.73k,12
81,04/10/17,12.5164,12.525,12.00,12.00,15532,-0.65,-5.14%,12.00,190.87k,63
82,04/07/17,12.2501,12.65,12.25,12.65,981,0.05,0.40%,12.65,12.11k,9
83,04/06/17,12.50,12.60,12.50,12.60,1572,0.00,0.00%,12.60,19.7k,18
84,04/05/17,12.60,12.60,12.50,12.60,1286,-0.15,-1.18%,12.60,16.17k,17
85,04/04/17,12.645,12.80,12.50,12.75,8329,0.30,2.41%,12.75,105.05k,23
86,04/03/17,12.60,12.65,12.45,12.45,5673,-0.25,-1.97%,12.45,71.12k,44
87,03/31/17,12.80,12.8499,12.65,12.70,7974,0.10,0.79%,12.70,101.61k,55
88,03/30/17,12.65,12.75,12.45,12.60,4546,-0.05,-0.40%,12.60,57.38k,30
89,03/29/17,12.682,12.85,12.45,12.65,7921,0.25,2.02%,12.65,99.38k,28
90,03/28/17,12.55,12.80,12.40,12.40,23609,-0.10,-0.80%,12.40,296.71k,53
91,03/27/17,12.05,12.55,11.95,12.50,22857,-0.0161,-0.13%,12.50,277.43k,95
92,03/24/17,12.1779,12.5161,11.89,12.5161,1188,0.8361,7.16%,12.5161,14.59k,6
93,03/23/17,11.68,11.68,11.68,11.68,205,-0.72,-5.81%,11.68,2.39k,5
94,03/22/17,12.65,12.65,12.40,12.40,855,-0.05,-0.40%,12.40,10.78k,13
95,03/21/17,12.45,12.70,12.05,12.45,10275,-0.45,-3.49%,12.45,127.8k,74
96,03/20/17,12.95,13.00,12.80,12.90,3368,-0.05,-0.39%,12.90,43.5k,27
97,03/17/17,12.80,13.00,12.45,12.95,113105,0.30,2.37%,12.95,1.46m,104
98,03/16/17,12.85,12.85,12.60,12.65,11283,0.00,0.00%,12.65,143.85k,97
99,03/15/17,12.45,12.90,12.254,12.65,13949,0.15,1.20%,12.65,176.46k,120
100,03/14/17,12.50,12.50,12.35,12.50,7409,0.10,0.81%,12.50,92.11k,78
101,03/13/17,12.50,12.50,12.20,12.40,8523,0.15,1.22%,12.40,105.39k,88
102,03/10/17,11.8197,12.45,11.8197,12.25,15559,0.25,2.08%,12.25,190.62k,167
103,03/09/17,12.55,12.6375,11.90,12.00,27774,-0.60,-4.76%,12.00,337.21k,233
104,03/08/17,12.00,12.90,11.77,12.60,11775,0.60,5.00%,12.60,144.98k,104
105,03/07/17,12.00,12.00,11.30,12.00,22796,-0.05,-0.41%,12.00,267.76k,205
106,03/06/17,11.95,12.15,11.90,12.05,16266,0.10,0.84%,12.05,195.13k,143
107,03/03/17,11.8628,11.95,11.7127,11.95,2175,0.05,0.42%,11.95,25.73k,17
108,03/02/17,12.05,12.10,11.80,11.90,102560,-0.15,-1.24%,11.90,1.24m,21
109,03/01/17,12.248,12.399,11.95,12.05,10998,-0.05,-0.41%,12.05,132.93k,73
110,02/28/17,12.15,12.15,11.975,12.10,7203,0.00,0.00%,12.10,86.8k,17
111,02/27/17,11.45,14.05,11.45,12.10,6247,0.3998,3.42%,12.10,74.14k,39
112,02/24/17,11.0177,11.80,11.0177,11.7002,16391,0.4002,3.54%,11.7002,189.6k,81
113,02/23/17,11.50,11.545,11.30,11.30,1965,-0.20,-1.74%,11.30,22.57k,27
114,02/22/17,11.45,11.60,11.30,11.50,6424,0.15,1.32%,11.50,74.11k,50
115,02/21/17,11.55,11.5735,11.30,11.35,21343,-0.1115,-0.97%,11.35,242.33k,51
116,02/17/17,11.4848,11.4848,11.4615,11.4615,542,0.0115,0.10%,11.4615,6.22k,9
117,02/16/17,11.60,11.60,11.45,11.45,1237,0.05,0.44%,11.45,14.26k,11
118,02/15/17,11.355,11.5499,11.355,11.40,1762,0.00,0.00%,11.40,20.14k,20
119,02/14/17,11.35,11.40,11.35,11.40,4628,0.05,0.44%,11.40,52.63k,23
120,02/13/17,11.40,11.40,11.35,11.35,6144,-0.05,-0.44%,11.35,69.97k,19
121,02/10/17,11.399,11.4499,11.3712,11.40,3921,0.00,0.00%,11.40,44.73k,34
122,02/09/17,11.35,11.45,11.35,11.40,10526,0.05,0.44%,11.40,119.71k,44
123,02/08/17,11.65,11.65,11.35,11.35,5578,-0.25,-2.16%,11.35,64.13k,36
124,02/07/17,11.65,11.65,11.60,11.60,2361,0.1156,1.01%,11.60,27.46k,27
125,02/06/17,11.45,11.4844,11.45,11.4844,1547,0.0844,0.74%,11.4844,17.72k,10
