,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,1.85,1.90,1.85,1.90,38466,0.00,0.00%,1.90,71.83k,222
2,08/03/17,1.85,1.90,1.85,1.90,33119,0.05,2.70%,1.90,61.58k,185
3,08/02/17,1.85,1.90,1.85,1.85,52056,0.00,0.00%,1.85,97.3k,302
4,08/01/17,1.95,1.95,1.85,1.85,24565,-0.05,-2.63%,1.85,46.07k,140
5,07/31/17,2.00,2.00,1.85,1.90,72127,-0.05,-2.56%,1.90,137.65k,331
6,07/28/17,1.90,1.95,1.85,1.95,161895,0.05,2.63%,1.95,305.71k,540
7,07/27/17,1.95,2.00,1.90,1.90,35471,-0.05,-2.56%,1.90,68.87k,274
8,07/26/17,2.00,2.05,1.95,1.95,54817,0.00,0.00%,1.95,109.09k,328
9,07/25/17,2.00,2.05,1.95,1.95,50449,0.00,0.00%,1.95,101.25k,307
10,07/24/17,2.05,2.05,1.95,1.95,87975,-0.05,-2.50%,1.95,176.19k,490
11,07/21/17,2.00,2.00,1.91,2.00,58773,0.05,2.56%,2.00,115.36k,320
12,07/20/17,1.95,2.00,1.925,1.95,98635,0.00,0.00%,1.95,194.24k,333
13,07/19/17,1.95,2.00,1.90,1.95,106542,0.05,2.63%,1.95,207.73k,402
14,07/18/17,1.925,2.00,1.90,1.90,104069,-0.05,-2.56%,1.90,201.48k,440
15,07/17/17,1.95,1.95,1.90,1.95,83136,0.00,0.00%,1.95,160.15k,388
16,07/14/17,1.85,1.95,1.85,1.95,88813,0.10,5.41%,1.95,170.47k,575
17,07/13/17,1.85,1.91,1.85,1.85,86572,0.00,0.00%,1.85,163.29k,464
18,07/12/17,1.85,1.90,1.80,1.85,179272,0.00,0.00%,1.85,333.08k,681
19,07/11/17,1.85,1.90,1.75,1.85,261028,0.00,0.00%,1.85,477.9k,1077
20,07/10/17,1.90,1.95,1.85,1.85,146797,-0.05,-2.63%,1.85,279.29k,823
21,07/07/17,1.90,1.95,1.80,1.90,151046,0.05,2.70%,1.90,285.01k,589
