,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,50.59,50.62,49.30,49.54,362789,-0.79,-1.57%,49.54,18.11m,2892
2,08/03/17,49.96,50.47,49.6501,50.33,360850,0.49,0.98%,50.33,18.12m,3059
3,08/02/17,52.30,52.30,49.77,49.84,634263,-2.33,-4.47%,49.84,32.03m,4914
4,08/01/17,51.90,52.94,51.72,52.17,410408,0.42,0.81%,52.17,21.47m,4292
5,07/31/17,51.15,51.83,50.985,51.75,244377,0.71,1.39%,51.75,12.59m,2360
6,07/28/17,51.11,51.47,49.9118,51.04,585866,-0.23,-0.45%,51.04,29.93m,2889
7,07/27/17,51.56,51.65,50.50,51.27,512334,-0.04,-0.08%,51.27,26.2m,4459
8,07/26/17,50.34,51.36,50.29,51.31,182789,1.05,2.09%,51.31,9.33m,1979
9,07/25/17,50.36,50.565,49.755,50.26,331125,-0.09,-0.18%,50.26,16.58m,2923
10,07/24/17,50.12,50.61,49.84,50.35,190094,0.30,0.60%,50.35,9.56m,1833
11,07/21/17,50.33,50.59,49.77,50.05,249068,0.05,0.10%,50.05,12.47m,1959
12,07/20/17,49.85,50.66,49.74,50.00,307751,0.27,0.54%,50.00,15.4m,3703
13,07/19/17,49.13,49.83,48.5581,49.73,288942,0.89,1.82%,49.73,14.3m,2727
14,07/18/17,48.02,49.16,47.82,48.84,473565,1.25,2.63%,48.84,23.12m,3780
15,07/17/17,47.31,47.77,47.18,47.59,133779,0.23,0.49%,47.59,6.36m,1468
16,07/14/17,47.03,47.87,47.02,47.36,422776,0.34,0.72%,47.36,20.01m,2369
17,07/13/17,47.23,47.28,46.60,47.02,209096,-0.22,-0.47%,47.02,9.84m,2093
18,07/12/17,46.90,47.87,46.63,47.24,189266,0.73,1.57%,47.24,8.97m,1668
19,07/11/17,45.81,47.07,45.81,46.51,233035,0.74,1.62%,46.51,10.84m,1956
20,07/10/17,46.11,46.54,45.6724,45.77,144699,-0.47,-1.02%,45.77,6.64m,1420
21,07/07/17,45.23,46.37,45.08,46.24,283300,1.30,2.89%,46.24,13.05m,2719
22,07/06/17,46.09,46.28,44.69,44.94,245447,-1.62,-3.48%,44.94,11.11m,2784
23,07/05/17,46.76,47.30,46.30,46.56,212588,-0.20,-0.43%,46.56,9.9m,2515
24,06/30/17,46.52,47.52,45.92,46.92,344943,0.59,1.27%,46.92,16.19m,2549
25,06/29/17,47.39,47.515,45.56,46.33,264434,-1.09,-2.30%,46.33,12.23m,3146
26,06/28/17,47.44,48.01,46.95,47.42,257691,0.27,0.57%,47.42,12.25m,2594
27,06/27/17,47.79,48.13,47.11,47.15,308572,-0.72,-1.50%,47.15,14.65m,3343
