,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,18.90,18.975,18.70,18.90,319984,0.10,0.53%,18.90,6.04m,2258
2,08/03/17,19.05,19.05,18.70,18.80,541427,-0.20,-1.05%,18.80,10.2m,3048
3,08/02/17,18.90,19.30,18.85,19.00,626766,0.00,0.00%,19.00,11.91m,3810
4,08/01/17,19.00,19.00,18.70,19.00,297795,0.15,0.80%,19.00,5.62m,1857
5,07/31/17,18.60,19.45,18.60,18.85,1009680,0.15,0.80%,18.85,18.98m,3235
6,07/28/17,18.25,19.15,17.90,18.70,275876,0.25,1.36%,18.70,5.17m,2325
7,07/27/17,18.85,19.00,18.40,18.45,136487,-0.35,-1.86%,18.45,2.54m,1745
8,07/26/17,18.90,19.10,18.65,18.80,99448,-0.15,-0.79%,18.80,1.87m,1148
9,07/25/17,18.90,19.25,18.75,18.95,560374,0.15,0.80%,18.95,10.71m,1519
10,07/24/17,18.55,18.825,18.425,18.80,104303,0.15,0.80%,18.80,1.95m,1036
11,07/21/17,18.90,18.95,18.55,18.65,179809,-0.10,-0.53%,18.65,3.37m,1129
12,07/20/17,18.85,18.90,18.65,18.75,108646,-0.10,-0.53%,18.75,2.04m,978
13,07/19/17,18.55,18.925,18.325,18.85,128321,0.30,1.62%,18.85,2.41m,1137
14,07/18/17,18.25,18.65,18.10,18.55,145989,0.20,1.09%,18.55,2.69m,1303
15,07/17/17,18.05,18.45,18.00,18.35,188694,0.25,1.38%,18.35,3.45m,1779
16,07/14/17,18.05,18.25,18.00,18.10,110573,0.00,0.00%,18.10,2m,809
17,07/13/17,18.50,18.50,18.10,18.10,88673,-0.45,-2.43%,18.10,1.62m,897
18,07/12/17,18.25,18.55,18.20,18.55,90818,0.35,1.92%,18.55,1.67m,813
19,07/11/17,18.00,18.275,17.95,18.20,228416,0.20,1.11%,18.20,4.15m,850
20,07/10/17,18.10,18.15,15.75,18.00,229628,-0.15,-0.83%,18.00,4.14m,1041
21,07/07/17,17.95,18.15,17.85,18.15,91910,0.20,1.11%,18.15,1.66m,815
22,07/06/17,17.80,18.10,17.65,17.95,406786,0.10,0.56%,17.95,7.31m,2320
23,07/05/17,18.25,18.30,17.75,17.85,607336,-0.40,-2.19%,17.85,10.9m,3119
24,06/30/17,18.25,18.45,18.10,18.30,150015,0.05,0.27%,18.30,2.74m,1294
25,06/29/17,18.80,18.80,18.15,18.25,292984,-0.486994,-2.60%,18.25,5.38m,2490
26,06/28/17,18.90,19.15,18.70,18.85,338177,0.0497,0.27%,18.737,6.38m,2688
27,06/27/17,18.95,18.95,18.70,18.80,191898,-0.198801,-1.05%,18.6873,3.61m,1562
28,06/26/17,19.05,19.20,18.95,19.00,98434,0.00,0.00%,18.8861,1.87m,955
29,06/23/17,19.00,19.175,18.90,19.00,950354,0.00,0.00%,18.8861,18.06m,1092
30,06/22/17,19.00,19.20,18.75,19.00,195627,0.00,0.00%,18.8861,3.72m,1639
31,06/21/17,19.15,19.4499,19.00,19.00,103264,-0.0497,-0.26%,18.8861,1.97m,943
32,06/20/17,19.10,19.20,19.00,19.05,110795,-0.099401,-0.52%,18.9358,2.11m,1036
33,06/19/17,19.10,19.30,18.90,19.15,176365,0.149101,0.79%,19.0352,3.38m,1445
34,06/16/17,18.80,19.175,18.65,19.00,404931,0.00,0.00%,18.8861,7.68m,1844
35,06/15/17,18.90,19.2499,18.875,19.00,215801,-0.198801,-1.04%,18.8861,4.1m,1825
36,06/14/17,19.20,19.35,19.15,19.20,163270,0.00,0.00%,19.0849,3.14m,1442
37,06/13/17,19.45,19.60,19.20,19.20,234072,-0.248501,-1.29%,19.0849,4.51m,1870
38,06/12/17,19.35,19.85,19.30,19.45,153791,0.0497,0.26%,19.3334,3.01m,1343
39,06/09/17,19.60,19.65,19.30,19.40,181566,-0.198801,-1.02%,19.2837,3.54m,1704
40,06/08/17,19.50,19.90,19.50,19.60,166892,0.00,0.00%,19.4825,3.27m,1520
41,06/07/17,19.80,19.90,19.575,19.60,104233,-0.099401,-0.51%,19.4825,2.05m,1073
42,06/06/17,19.50,19.80,19.35,19.70,127526,0.149101,0.77%,19.5819,2.5m,1362
43,06/05/17,20.20,20.20,19.55,19.55,186352,-0.596403,-2.98%,19.4328,3.68m,1421
44,06/02/17,19.95,20.35,19.95,20.15,128249,0.298202,1.51%,20.0292,2.59m,1200
45,06/01/17,19.45,19.90,19.45,19.85,151937,0.298201,1.53%,19.731,3m,1296
46,05/31/17,19.55,19.70,19.30,19.55,123514,0.099401,0.51%,19.4328,2.4m,1153
47,05/30/17,19.40,19.55,19.35,19.45,68936,-0.049701,-0.26%,19.3334,1.34m,711
48,05/26/17,19.35,19.60,19.25,19.50,130331,0.049701,0.26%,19.3831,2.53m,1148
49,05/25/17,19.50,19.60,19.35,19.45,82413,0.0497,0.26%,19.3334,1.6m,1058
50,05/24/17,19.30,19.50,19.30,19.40,123439,0.149101,0.78%,19.2837,2.39m,1073
51,05/23/17,19.20,19.525,19.20,19.25,133974,0.00,0.00%,19.1346,2.58m,1286
52,05/22/17,19.00,19.30,19.00,19.25,128999,0.198801,1.05%,19.1346,2.48m,1269
53,05/19/17,19.05,19.30,19.00,19.05,138803,-0.049701,-0.26%,18.9358,2.65m,1126
54,05/18/17,19.05,19.225,19.05,19.10,148329,-0.0497,-0.26%,18.9855,2.83m,1329
55,05/17/17,19.15,19.25,19.125,19.15,193651,-0.248501,-1.29%,19.0352,3.71m,1612
56,05/16/17,19.55,19.55,19.30,19.40,115852,-0.149101,-0.77%,19.2837,2.25m,879
