,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,21.16,21.529,20.6456,20.88,968605,-0.25,-1.18%,20.88,20.36m,6742
2,08/03/17,21.39,21.6984,20.98,21.13,1164079,-0.27,-1.26%,21.13,24.74m,7313
3,08/02/17,22.76,22.8848,21.15,21.40,1538520,-1.08,-4.80%,21.40,33.15m,9545
4,08/01/17,23.48,23.77,22.16,22.48,1763806,-0.97,-4.14%,22.48,39.86m,10861
5,07/31/17,24.70,25.41,23.10,23.45,1743515,-0.91,-3.74%,23.45,42.14m,11601
6,07/28/17,26.02,26.20,23.79,24.36,2414731,-0.18,-0.73%,24.36,59.5m,14940
7,07/27/17,25.02,25.159,22.94,24.54,2333614,-0.30,-1.21%,24.54,56.48m,14801
8,07/26/17,24.18,24.97,24.18,24.84,990218,0.82,3.41%,24.84,24.5m,6484
9,07/25/17,24.11,24.20,23.7336,24.02,550285,-0.09,-0.37%,24.02,13.2m,4516
10,07/24/17,23.98,24.28,23.62,24.11,603929,0.25,1.05%,24.11,14.49m,4187
11,07/21/17,24.02,24.05,23.45,23.86,511971,-0.23,-0.95%,23.86,12.21m,3701
12,07/20/17,24.56,24.59,23.601,24.09,969540,-0.18,-0.74%,24.09,23.24m,6750
13,07/19/17,23.73,24.30,23.57,24.27,864834,0.80,3.41%,24.27,20.77m,6444
14,07/18/17,22.74,23.48,22.50,23.47,765029,0.71,3.12%,23.47,17.66m,5654
15,07/17/17,22.25,23.03,22.05,22.76,1103736,0.56,2.52%,22.76,24.94m,7697
16,07/14/17,21.44,22.272,21.41,22.20,755976,0.78,3.64%,22.20,16.59m,5418
17,07/13/17,22.01,22.06,21.05,21.42,760870,-0.43,-1.97%,21.42,16.37m,6158
18,07/12/17,21.58,21.96,21.36,21.85,656221,0.51,2.39%,21.85,14.24m,5172
19,07/11/17,20.91,21.72,20.82,21.34,922214,0.53,2.55%,21.34,19.6m,6431
20,07/10/17,20.04,20.97,19.81,20.81,1122348,0.98,4.94%,20.81,23.11m,8429
21,07/07/17,19.19,20.00,19.19,19.83,564864,0.81,4.26%,19.83,11.16m,4349
22,07/06/17,18.76,19.39,18.70,19.02,460732,-0.09,-0.47%,19.02,8.77m,3621
23,07/05/17,18.67,19.205,18.67,19.11,560842,0.53,2.85%,19.11,10.65m,4444
24,06/30/17,18.63,19.16,18.45,18.75,784053,0.07,0.37%,18.75,14.74m,5842
25,06/29/17,19.40,19.70,18.11,18.68,1028212,-0.88,-4.50%,18.68,19.13m,8417
26,06/28/17,19.12,19.70,18.60,19.56,1030669,0.49,2.57%,19.56,19.9m,6759
27,06/27/17,20.46,20.50,18.96,19.07,1653845,-1.50,-7.29%,19.07,32.3m,11608
28,06/26/17,20.81,21.47,20.29,20.57,1100538,-0.07,-0.34%,20.57,22.82m,6179
29,06/23/17,20.46,20.725,20.14,20.64,1857674,0.16,0.78%,20.64,38.22m,4496
30,06/22/17,20.54,20.59,20.00,20.48,850832,-0.10,-0.49%,20.48,17.32m,5484
31,06/21/17,20.32,20.94,19.81,20.58,901099,0.27,1.33%,20.58,18.55m,5212
32,06/20/17,21.10,21.469,20.26,20.31,1117768,-0.70,-3.33%,20.31,23.03m,7409
33,06/19/17,20.96,21.47,20.30,21.01,1113636,0.37,1.79%,21.01,23.1m,7549
34,06/16/17,20.70,21.60,20.50,20.64,993801,-0.11,-0.53%,20.64,20.76m,5750
35,06/15/17,21.00,21.545,20.00,20.75,1515455,-1.07,-4.90%,20.75,31.37m,10680
36,06/14/17,22.59,22.6902,21.42,21.82,903296,-0.72,-3.19%,21.82,19.8m,6817
37,06/13/17,22.52,23.38,22.00,22.54,814251,0.27,1.21%,22.54,18.42m,6519
38,06/12/17,23.01,23.01,21.65,22.27,1727496,-0.61,-2.67%,22.27,38.4m,12143
39,06/09/17,26.12,26.21,21.60,22.88,2437493,-3.00,-11.59%,22.88,58.33m,16427
40,06/08/17,24.90,25.88,24.60,25.88,1233096,1.11,4.48%,25.88,31.16m,8865
41,06/07/17,24.13,24.81,23.90,24.77,900170,0.80,3.34%,24.77,21.97m,5727
42,06/06/17,23.60,24.31,23.40,23.97,760511,0.38,1.61%,23.97,18.28m,5172
43,06/05/17,23.42,23.65,23.12,23.59,930780,0.17,0.73%,23.59,21.8m,5659
44,06/02/17,22.97,23.93,22.95,23.42,688775,0.45,1.96%,23.42,16.18m,5596
45,06/01/17,22.98,23.25,22.72,22.97,647741,0.13,0.57%,22.97,14.87m,5006
46,05/31/17,23.39,23.54,21.78,22.84,1939605,-0.53,-2.27%,22.84,44.12m,9363
47,05/30/17,24.11,24.149,23.04,23.37,1238891,-0.74,-3.07%,23.37,28.93m,8977
48,05/26/17,23.22,24.15,23.1101,24.11,1057551,1.00,4.33%,24.11,25.19m,7992
49,05/25/17,23.26,23.57,22.82,23.11,690564,0.01,0.04%,23.11,15.98m,5050
50,05/24/17,22.44,23.22,22.08,23.10,1051131,0.73,3.26%,23.10,24.11m,8255
51,05/23/17,22.60,22.646,21.78,22.37,597130,-0.06,-0.27%,22.37,13.26m,4458
52,05/22/17,21.67,22.52,21.2376,22.43,737792,0.84,3.89%,22.43,16.22m,4941
53,05/19/17,21.85,22.23,21.39,21.59,1135280,0.14,0.65%,21.59,24.55m,4700
54,05/18/17,20.83,21.5578,20.24,21.45,1358928,0.65,3.12%,21.45,28.88m,6481
55,05/17/17,22.08,22.18,20.59,20.80,1491909,-1.71,-7.60%,20.80,31.53m,9967
