,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,37.32,37.385,36.84,37.20,260395,-0.05,-0.13%,37.20,9.68m,2953
2,08/03/17,37.90,37.96,37.14,37.25,247287,-0.53,-1.40%,37.25,9.24m,2992
3,08/02/17,38.12,38.12,37.39,37.78,195342,-0.39,-1.02%,37.78,7.37m,2977
4,08/01/17,38.54,39.695,37.68,38.17,389159,-0.36,-0.93%,38.17,14.79m,3949
5,07/31/17,37.87,38.67,37.52,38.53,562120,0.65,1.72%,38.53,21.6m,4723
6,07/28/17,37.86,38.18,37.55,37.88,502593,-0.08,-0.21%,37.88,19.02m,3301
7,07/27/17,37.33,38.04,37.24,37.96,482362,0.76,2.04%,37.96,18.24m,4746
8,07/26/17,37.95,37.95,37.05,37.20,432339,-0.67,-1.77%,37.20,16.13m,4463
9,07/25/17,36.88,38.07,36.6784,37.87,905150,1.13,3.08%,37.87,34.09m,7442
10,07/24/17,36.90,37.39,36.56,36.74,792105,-0.22,-0.60%,36.74,29.1m,5195
11,07/21/17,37.20,37.20,36.34,36.96,357901,-0.02,-0.05%,36.96,13.19m,3057
12,07/20/17,36.71,37.13,36.53,36.98,385373,0.335,0.91%,36.98,14.24m,3672
13,07/19/17,36.15,36.70,36.09,36.645,339337,0.485,1.34%,36.645,12.37m,3737
14,07/18/17,36.38,36.82,35.69,36.16,490186,-0.22,-0.60%,36.16,17.66m,4086
15,07/17/17,36.29,37.43,35.86,36.38,680124,0.41,1.14%,36.38,24.81m,5129
16,07/14/17,36.42,36.5599,35.965,35.97,347278,-0.48,-1.32%,35.97,12.58m,3558
17,07/13/17,35.78,36.56,35.78,36.45,596811,0.74,2.07%,36.45,21.67m,5776
18,07/12/17,36.07,36.43,35.52,35.71,475901,-0.07,-0.20%,35.71,17.04m,4907
19,07/11/17,35.66,35.97,35.43,35.78,484219,0.27,0.76%,35.78,17.32m,5111
20,07/10/17,35.96,35.98,35.38,35.51,588739,-0.53,-1.47%,35.51,20.99m,5332
21,07/07/17,34.85,36.16,34.85,36.04,578823,0.52,1.46%,36.04,20.8m,6522
22,07/06/17,35.94,36.20,35.43,35.52,731092,-0.53,-1.47%,35.52,26.1m,6948
23,07/05/17,36.87,37.06,35.91,36.05,921367,-0.85,-2.30%,36.05,33.35m,8247
24,06/30/17,36.18,37.0699,36.10,36.70,1014708,0.63,1.75%,36.70,37.24m,8502
25,06/29/17,35.95,36.63,35.36,36.07,935592,0.41,1.15%,36.07,33.78m,7308
26,06/28/17,35.17,35.93,35.15,35.66,749554,0.71,2.03%,35.66,26.69m,6167
27,06/27/17,34.92,35.63,34.87,34.95,716078,-0.08,-0.23%,34.95,25.19m,6550
28,06/26/17,34.69,35.75,34.49,35.03,985991,0.43,1.24%,35.03,34.82m,8200
29,06/23/17,34.90,35.32,34.45,34.60,1292642,-0.26,-0.75%,34.60,44.87m,10438
30,06/22/17,34.68,35.54,34.68,34.86,953959,0.07,0.20%,34.86,33.46m,9407
31,06/21/17,35.42,36.00,34.57,34.79,1016217,-0.55,-1.56%,34.79,35.52m,9583
32,06/20/17,36.09,36.33,34.88,35.34,1507082,-0.76,-2.11%,35.34,53.51m,13370
33,06/19/17,35.30,37.78,34.83,36.10,3405376,0.71,2.01%,36.10,123.92m,26987
34,06/16/17,29.78,37.24,29.53,35.39,10235463,-4.36,-10.97%,35.39,350.25m,62804
35,06/15/17,40.98,41.095,39.56,39.75,974141,-1.56,-3.78%,39.75,38.94m,8843
36,06/14/17,41.12,41.58,40.28,41.31,634950,0.19,0.46%,41.31,26.22m,6293
37,06/13/17,40.81,41.47,40.60,41.12,722890,0.24,0.59%,41.12,29.67m,6404
38,06/12/17,40.21,43.75,40.21,40.88,904247,0.46,1.14%,40.88,37.21m,7858
39,06/09/17,39.31,40.44,39.08,40.42,736084,1.12,2.85%,40.42,29.44m,7876
40,06/08/17,39.44,39.93,38.975,39.30,786081,0.14,0.36%,39.30,31m,8515
41,06/07/17,39.72,40.69,38.71,39.16,1584371,-1.72,-4.21%,39.16,62.43m,13922
42,06/06/17,41.00,41.34,40.31,40.88,1123896,-0.47,-1.14%,40.88,45.89m,10973
43,06/05/17,41.73,42.17,41.26,41.35,689579,-0.51,-1.22%,41.35,28.61m,6624
44,06/02/17,41.33,42.48,41.25,41.86,759672,0.60,1.45%,41.86,31.89m,6884
45,06/01/17,40.09,41.29,40.09,41.26,512352,1.32,3.30%,41.26,20.96m,5098
46,05/31/17,39.79,40.03,38.94,39.94,739789,0.18,0.45%,39.94,29.42m,5874
47,05/30/17,39.85,39.97,39.56,39.76,411211,-0.16,-0.40%,39.76,16.37m,4651
48,05/26/17,39.95,40.1999,38.855,39.92,556790,-0.12,-0.30%,39.92,21.97m,4215
49,05/25/17,40.24,40.56,39.7875,40.04,560133,-0.04,-0.10%,40.04,22.52m,3961
50,05/24/17,40.07,40.40,39.69,40.08,534677,0.05,0.12%,40.08,21.43m,5287
51,05/23/17,40.51,40.83,39.79,40.03,465103,-0.32,-0.79%,40.03,18.65m,4586
52,05/22/17,40.26,40.81,40.22,40.35,446417,0.17,0.42%,40.35,18.09m,4502
53,05/19/17,39.87,40.44,38.805,40.18,464389,0.30,0.75%,40.18,18.65m,4232
54,05/18/17,39.15,40.12,38.83,39.88,759222,0.62,1.58%,39.88,30.07m,6509
55,05/17/17,39.59,39.99,39.011,39.26,758204,-0.61,-1.53%,39.26,29.82m,6570
56,05/16/17,40.53,40.545,39.73,39.87,764697,-0.34,-0.85%,39.87,30.59m,7016
57,05/15/17,40.19,40.83,40.08,40.21,383292,-0.08,-0.20%,40.21,15.47m,4115
58,05/12/17,41.58,41.58,40.08,40.29,1080270,-1.33,-3.20%,40.29,43.7m,8416
59,05/11/17,42.02,42.37,41.35,41.62,532447,-0.46,-1.09%,41.62,22.32m,5150
60,05/10/17,41.75,42.19,41.31,42.08,414926,0.38,0.91%,42.08,17.32m,3207
61,05/09/17,41.75,42.24,41.58,41.70,427721,-0.06,-0.14%,41.70,17.91m,4478
62,05/08/17,42.09,42.53,41.19,41.76,763123,-0.62,-1.46%,41.76,31.88m,6975
63,05/05/17,42.03,42.42,41.74,42.38,344432,0.38,0.90%,42.38,14.53m,3339
64,05/04/17,41.55,42.16,41.305,42.00,799482,0.47,1.13%,42.00,33.55m,6420
65,05/03/17,41.50,41.67,41.24,41.53,441723,-0.06,-0.14%,41.53,18.33m,3971
66,05/02/17,41.43,41.64,40.99,41.59,587909,0.04,0.10%,41.59,24.4m,5520
67,05/01/17,41.53,42.40,41.26,41.55,785972,0.02,0.05%,41.55,32.8m,7797
68,04/28/17,43.63,43.63,41.48,41.53,1164290,-1.93,-4.44%,41.53,48.74m,9412
69,04/27/17,40.91,43.50,40.85,43.46,1161093,2.51,6.13%,43.46,49.61m,11138
70,04/26/17,41.44,41.84,40.84,40.95,846511,-0.53,-1.28%,40.95,34.81m,7838
71,04/25/17,41.39,41.77,41.07,41.48,779012,0.45,1.10%,41.48,32.27m,8422
72,04/24/17,41.90,42.50,40.86,41.03,1468135,-0.45,-1.08%,41.03,60.82m,13591
73,04/21/17,41.60,42.04,41.34,41.48,415558,-0.24,-0.58%,41.48,17.28m,4209
74,04/20/17,42.06,42.49,41.60,41.72,450216,-0.27,-0.64%,41.72,18.83m,4180
75,04/19/17,41.90,42.60,41.90,41.99,389147,-0.07,-0.17%,41.99,16.4m,4256
76,04/18/17,42.07,42.86,41.50,42.06,562429,-0.13,-0.31%,42.06,23.73m,5110
77,04/17/17,41.72,42.21,41.68,42.19,424387,0.56,1.35%,42.19,17.83m,4198
78,04/13/17,41.86,42.52,41.60,41.63,772615,-0.17,-0.41%,41.63,32.35m,8089
79,04/12/17,41.36,41.90,40.80,41.80,921610,0.31,0.75%,41.80,38.17m,8948
80,04/11/17,39.40,41.73,38.95,41.49,2838668,2.02,5.12%,41.49,115.48m,21104
81,04/10/17,42.96,44.73,38.69,39.47,4460671,-3.54,-8.23%,39.47,180.59m,29040
82,04/07/17,43.11,43.53,42.95,43.01,661199,-0.10,-0.23%,43.01,28.54m,4471
83,04/06/17,43.01,43.57,42.83,43.11,670732,0.27,0.63%,43.11,28.93m,5434
84,04/05/17,43.25,43.69,42.793,42.84,599881,-0.32,-0.74%,42.84,25.89m,5334
85,04/04/17,42.86,43.47,42.72,43.16,500981,0.29,0.68%,43.16,21.61m,4400
86,04/03/17,43.22,43.52,42.63,42.87,463705,-0.36,-0.83%,42.87,19.93m,4938
87,03/31/17,42.47,43.73,42.47,43.23,673648,0.55,1.29%,43.23,29.17m,6430
88,03/30/17,42.81,42.90,42.51,42.68,239352,-0.22,-0.51%,42.68,10.22m,2772
89,03/29/17,43.10,43.34,42.75,42.90,321613,-0.24,-0.56%,42.90,13.84m,3441
90,03/28/17,42.42,43.25,42.17,43.14,388432,0.55,1.29%,43.14,16.65m,3776
91,03/27/17,42.13,42.77,42.13,42.59,414960,-0.10,-0.23%,42.59,17.67m,3688
92,03/24/17,43.22,43.51,42.65,42.69,363986,-0.56,-1.29%,42.69,15.6m,4395
93,03/23/17,43.12,44.07,43.0401,43.25,296992,0.14,0.32%,43.25,12.91m,3728
94,03/22/17,42.99,43.29,42.43,43.11,421530,0.18,0.42%,43.11,18.04m,4262
95,03/21/17,44.22,44.22,42.80,42.93,401721,-0.67,-1.54%,42.93,17.32m,5377
96,03/20/17,44.47,44.47,43.33,43.60,420054,-0.72,-1.62%,43.60,18.33m,4361
97,03/17/17,44.24,44.48,43.64,44.32,681080,-0.15,-0.34%,44.32,30.09m,4480
98,03/16/17,42.94,44.48,42.94,44.47,1029145,1.43,3.32%,44.47,45.41m,7646
