,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,31.821,31.821,31.821,31.821,100,0.766,2.47%,31.821,3.18k,1
2,08/03/17,,,,31.055,0,,0.00%,31.055,,
3,08/02/17,31.1179,31.1179,31.055,31.055,1426,0.025,0.08%,31.055,44.34k,4
4,08/01/17,,,,31.03,35,0.00,0.00%,31.03,,1
5,07/31/17,,,,31.03,40,0.00,0.00%,31.03,,1
6,07/28/17,,,,31.03,70,0.00,0.00%,31.03,,3
7,07/27/17,33.00,33.00,31.03,31.03,781,-1.22,-3.78%,31.03,25.4k,8
8,07/26/17,,,,32.25,118,0.00,0.00%,32.25,,3
9,07/25/17,32.25,32.80,32.25,32.25,1016,-0.55,-1.68%,32.25,33.02k,13
10,07/24/17,32.70,32.80,32.70,32.80,581,0.10,0.31%,32.80,19.03k,5
11,07/21/17,32.20,32.70,32.15,32.70,1261,1.70,5.48%,32.70,40.96k,16
12,07/20/17,,,,31.00,0,,0.00%,31.00,,
13,07/19/17,31.00,31.00,31.00,31.00,6531,0.00,0.00%,31.00,202.46k,5
14,07/18/17,31.00,31.00,31.00,31.00,2129,0.25,0.81%,31.00,66k,5
15,07/17/17,,,,30.75,117,0.00,0.00%,30.75,,3
16,07/14/17,30.40,31.45,30.40,30.75,700,0.35,1.15%,30.75,21.55k,7
17,07/13/17,30.40,30.40,30.40,30.40,200,-0.60,-1.94%,30.40,6.08k,2
18,07/12/17,32.00,32.00,31.00,31.00,1460,0.00,0.00%,31.00,46.2k,12
19,07/11/17,,,,31.00,177,0.00,0.00%,31.00,,5
20,07/10/17,29.95,31.00,29.95,31.00,565,0.00,0.00%,31.00,17.22k,12
21,07/07/17,31.00,31.00,31.00,31.00,257,-0.70,-2.21%,31.00,7.97k,4
22,07/06/17,,,,31.70,141,0.00,0.00%,31.70,,5
23,07/05/17,,,,31.70,32,0.00,0.00%,31.70,,2
24,06/30/17,31.70,31.70,31.70,31.70,328,-0.50,-1.55%,31.70,10.4k,8
25,06/29/17,,,,32.20,13,0.00,0.00%,32.20,,1
26,06/28/17,32.20,32.20,32.20,32.20,363,3.35,11.61%,32.20,11.69k,10
27,06/27/17,,,,28.85,10,0.00,0.00%,28.85,,1
28,06/26/17,28.85,28.85,28.85,28.85,341,0.10,0.35%,28.85,9.84k,5
29,06/23/17,28.75,28.75,28.75,28.75,200,0.60,2.13%,28.75,5.75k,1
30,06/22/17,28.15,28.15,28.15,28.15,738,-0.45,-1.57%,28.15,20.77k,1
31,06/21/17,29.20,29.20,28.60,28.60,2599,0.0572,0.20%,28.60,75.77k,20
32,06/20/17,29.05,29.05,28.505,28.5428,1234,-0.9572,-3.24%,28.5428,35.51k,16
33,06/19/17,30.75,32.50,29.00,29.50,2037,-1.45,-4.68%,29.50,60.41k,16
34,06/16/17,28.75,30.95,28.75,30.95,3519,1.20,4.03%,30.95,106.99k,17
35,06/15/17,28.20,31.00,28.20,29.75,1087,1.00,3.48%,29.75,31.95k,16
36,06/14/17,28.75,28.75,28.75,28.75,102,0.60,2.13%,28.75,2.93k,1
37,06/13/17,28.75,28.75,28.15,28.15,779,-0.10,-0.35%,28.15,22.12k,10
38,06/12/17,29.00,29.00,28.25,28.25,1676,-0.15,-0.53%,28.25,47.81k,19
39,06/09/17,28.80,28.80,28.40,28.40,1741,-0.05,-0.18%,28.40,49.83k,20
40,06/08/17,28.55,29.00,28.40,28.45,2605,-0.55,-1.90%,28.45,74.92k,22
41,06/07/17,29.05,29.05,29.00,29.00,618,-0.05,-0.17%,29.00,17.94k,12
42,06/06/17,29.05,29.05,29.05,29.05,295,0.00,0.00%,29.05,8.57k,8
43,06/05/17,29.00,29.05,29.00,29.05,291,0.055,0.19%,29.05,8.45k,4
44,06/02/17,29.00,29.00,28.82,28.995,1232,-0.005,-0.02%,28.995,35.63k,9
