,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,77.18,77.18,76.77,76.98,82866,-0.67,-0.86%,76.98,6.38m,363
2,08/03/17,77.24,77.72,77.2085,77.65,378987,0.76,0.99%,77.65,29.42m,856
3,08/02/17,76.95,77.18,76.86,76.89,51817,0.08,0.10%,76.89,3.99m,346
4,08/01/17,76.04,76.888,76.04,76.81,90620,0.494015,0.65%,76.81,6.95m,384
5,07/31/17,76.25,76.54,76.19,76.49,64385,0.00,0.00%,76.316,4.92m,330
6,07/28/17,76.07,76.53,76.07,76.49,34027,0.478908,0.63%,76.316,2.6m,320
7,07/27/17,76.04,76.15,75.8375,76.01,69120,-0.389113,-0.51%,75.8371,5.26m,405
8,07/26/17,76.03,76.59,75.97,76.40,96678,0.10975,0.14%,76.2262,7.37m,781
9,07/25/17,76.58,76.6199,76.1601,76.29,43679,-0.877998,-1.14%,76.1164,3.34m,396
10,07/24/17,77.36,77.45,77.17,77.17,61416,-0.279363,-0.36%,76.9944,4.75m,358
11,07/21/17,77.50,77.70,77.45,77.45,28948,0.329249,0.43%,77.2738,2.25m,242
12,07/20/17,77.39,77.50,77.09,77.12,43359,0.189568,0.25%,76.9446,3.35m,369
13,07/19/17,76.99,77.10,76.89,76.93,41864,-0.039909,-0.05%,76.755,3.22m,294
14,07/18/17,76.70,77.02,76.64,76.97,247543,0.68843,0.90%,76.7949,19.04m,1782
15,07/17/17,76.05,76.44,76.02,76.28,133142,0.209522,0.28%,76.1065,10.15m,563
16,07/14/17,76.54,76.59,76.03,76.07,43171,0.069841,0.09%,75.8969,3.29m,258
17,07/13/17,76.24,76.25,75.80,76.00,50552,-0.389113,-0.51%,75.8271,3.84m,384
18,07/12/17,76.38,76.47,76.215,76.39,26172,0.438999,0.58%,76.2162,2m,213
19,07/11/17,75.79,76.02,75.71,75.95,34172,0.169613,0.22%,75.7772,2.59m,334
20,07/10/17,75.80,76.00,75.68,75.78,123165,0.009978,0.01%,75.6076,9.33m,582
21,07/07/17,75.81,75.89,75.64,75.77,57052,-0.339227,-0.45%,75.5976,4.32m,329
22,07/06/17,76.17,76.17,75.74,76.11,50801,-0.57868,-0.76%,75.9368,3.86m,637
23,07/05/17,76.53,76.80,76.48,76.69,154762,0.079818,0.10%,76.5155,11.86m,713
24,06/30/17,77.18,77.259,76.9505,77.08,40616,-0.338522,-0.44%,76.745,3.13m,311
25,06/29/17,76.99,77.42,76.96,77.42,101482,-0.378348,-0.49%,77.0835,7.83m,469
26,06/28/17,78.03,78.03,77.60,77.80,1181853,-0.368392,-0.47%,77.4619,91.89m,5878
27,06/27/17,78.51,78.51,78.0161,78.17,58162,-0.746741,-0.95%,77.8303,4.55m,317
28,06/26/17,79.00,79.18,78.91,78.92,41556,0.28874,0.37%,78.577,3.29m,236
29,06/23/17,78.51,78.7553,78.48,78.63,26850,-0.099566,-0.13%,78.2883,2.11m,154
30,06/22/17,78.65,78.7999,78.425,78.73,53264,0.099566,0.13%,78.3878,4.19m,289
31,06/21/17,78.25,78.70,78.20,78.63,1229772,0.28874,0.37%,78.2883,96.48m,3430
32,06/20/17,78.07,78.3799,78.07,78.34,28693,0.657131,0.85%,77.9995,2.24m,250
33,06/19/17,77.89,78.00,77.67,77.68,25026,-0.159305,-0.21%,77.3424,1.95m,234
34,06/16/17,77.72,77.92,77.68,77.84,24234,0.119479,0.15%,77.5017,1.89m,181
35,06/15/17,77.76,77.8199,77.60,77.72,69855,-0.099566,-0.13%,77.3822,5.43m,214
