,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,82.56,82.98,82.0301,82.88,1043056,0.57,0.69%,82.88,86.3m,10316
2,08/03/17,83.45,83.7441,82.12,82.31,1470351,-1.53,-1.82%,82.31,121.24m,13648
3,08/02/17,85.43,85.43,82.55,83.84,2072360,-3.33,-3.82%,83.84,173.37m,20269
4,08/01/17,85.475,88.17,85.475,87.17,1081633,-0.09,-0.10%,87.17,94.61m,11508
5,07/31/17,87.32,88.00,87.00,87.26,739626,-0.06,-0.07%,87.26,64.64m,6178
6,07/28/17,87.06,87.62,86.77,87.32,510354,0.17,0.20%,87.32,44.48m,6196
7,07/27/17,87.03,87.47,86.58,87.15,721683,0.09,0.10%,87.15,62.76m,7858
8,07/26/17,86.97,87.18,86.77,87.06,404134,0.18,0.21%,87.06,35.16m,5012
9,07/25/17,87.30,87.42,86.66,86.88,590335,-0.23,-0.26%,86.88,51.28m,6077
10,07/24/17,86.48,87.21,85.95,87.11,864392,0.60,0.69%,87.11,75.11m,8597
11,07/21/17,86.14,86.96,86.1365,86.51,881499,0.24,0.28%,86.51,76.32m,6135
12,07/20/17,86.05,86.35,85.00,86.27,410183,0.28,0.33%,86.27,35.35m,5268
13,07/19/17,85.86,86.01,84.96,85.99,674547,0.12,0.14%,85.99,57.95m,7608
14,07/18/17,85.07,85.94,84.73,85.87,864683,0.63,0.74%,85.87,74.03m,7629
15,07/17/17,85.45,85.75,85.07,85.24,912542,-0.20,-0.23%,85.24,77.81m,6728
16,07/14/17,84.76,85.53,84.69,85.44,851998,1.04,1.23%,85.44,72.73m,6766
17,07/13/17,84.40,84.5538,83.56,84.40,508479,-0.15,-0.18%,84.40,42.88m,5064
18,07/12/17,84.01,84.62,83.965,84.55,601911,1.07,1.28%,84.55,50.81m,6867
19,07/11/17,83.48,83.51,82.94,83.48,494821,0.03,0.04%,83.48,41.24m,5039
20,07/10/17,83.63,83.69,83.325,83.45,769602,-0.20,-0.24%,83.45,64.26m,6679
21,07/07/17,83.48,83.86,83.38,83.65,1077724,0.17,0.20%,83.65,90.14m,8655
22,07/06/17,83.74,83.855,83.375,83.48,830306,-0.81,-0.96%,83.48,69.38m,7853
23,07/05/17,84.22,84.54,83.92,84.29,781014,0.12,0.14%,84.29,65.84m,7603
24,06/30/17,83.91,84.68,83.54,84.37,982137,1.01,1.21%,84.37,82.8m,9224
25,06/29/17,83.82,83.8567,82.99,83.36,1062417,-0.60,-0.71%,83.36,88.59m,10863
26,06/28/17,83.03,84.00,82.68,83.96,741460,1.14,1.38%,83.96,62.11m,8161
27,06/27/17,83.02,83.15,82.30,82.82,903436,-0.36,-0.43%,82.82,74.76m,9201
28,06/26/17,82.68,83.55,82.62,83.18,778294,0.82,1.00%,83.18,64.76m,6566
29,06/23/17,83.09,83.09,82.1441,82.36,1870915,-0.67,-0.81%,82.36,154.2m,12610
30,06/22/17,84.11,84.12,83.01,83.03,951716,-1.03,-1.23%,83.03,79.4m,9243
31,06/21/17,83.91,84.18,83.545,84.06,1112134,0.15,0.18%,84.06,93.36m,12097
32,06/20/17,83.47,83.92,83.24,83.91,828090,0.13,0.16%,83.91,69.36m,7520
33,06/19/17,83.35,83.91,83.12,83.78,657099,0.64,0.77%,83.78,54.98m,6860
34,06/16/17,82.90,83.42,82.28,83.14,1427415,-0.11,-0.13%,83.14,118.47m,7827
35,06/15/17,82.61,83.62,82.61,83.25,989034,0.28,0.34%,83.25,82.34m,10148
36,06/14/17,82.57,83.02,82.44,82.97,800010,0.55,0.67%,82.97,66.23m,9326
37,06/13/17,81.42,82.60,81.42,82.42,962396,0.92,1.13%,82.42,79.27m,9822
38,06/12/17,79.86,81.54,79.86,81.50,778445,1.43,1.79%,81.50,63.2m,8667
39,06/09/17,80.39,80.51,79.89,80.07,521868,-0.31,-0.39%,80.07,41.86m,6047
40,06/08/17,80.58,80.89,80.07,80.38,528133,-0.36,-0.45%,80.38,42.46m,6182
41,06/07/17,81.05,81.065,80.03,80.74,629170,0.07,0.09%,80.74,50.67m,6962
42,06/06/17,81.21,81.4597,80.545,80.67,521363,-0.80,-0.98%,80.67,42.13m,5916
43,06/05/17,81.83,82.21,81.45,81.47,904694,-0.39,-0.48%,81.47,73.95m,8854
44,06/02/17,81.42,81.89,80.90,81.86,895322,0.69,0.85%,81.86,72.96m,7426
45,06/01/17,81.05,81.50,80.82,81.17,984984,0.28,0.35%,81.17,79.92m,10743
46,05/31/17,81.26,81.44,80.38,80.89,818033,-0.16,-0.20%,80.89,66.08m,7857
47,05/30/17,80.21,81.24,80.085,81.05,765461,0.50,0.62%,81.05,61.96m,6644
