,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,154.68,155.17,153.015,154.54,807795,0.51,0.33%,154.54,124.74m,8984
2,08/03/17,155.72,157.27,152.26,154.03,1407101,-3.52,-2.23%,154.03,217.09m,15214
3,08/02/17,151.80,157.91,151.469,157.55,1781663,4.35,2.84%,157.55,276.8m,17915
4,08/01/17,153.03,154.0684,150.64,153.20,1621140,1.38,0.91%,153.20,247.2m,15731
5,07/31/17,152.99,154.49,151.54,151.82,2975961,-2.33,-1.51%,151.82,453.9m,18415
6,07/28/17,155.30,157.20,153.58,154.15,1880425,-2.04,-1.31%,154.15,291.47m,19123
7,07/27/17,160.88,163.32,153.50,156.19,3918877,-7.23,-4.42%,156.19,615.16m,32263
8,07/26/17,162.15,164.53,161.70,163.42,2087173,1.45,0.90%,163.42,340.54m,17717
9,07/25/17,166.94,167.855,161.72,161.97,2424136,-4.14,-2.49%,161.97,395.8m,23409
10,07/24/17,162.33,166.575,160.91,166.11,2444532,2.94,1.80%,166.11,401.58m,21021
11,07/21/17,158.14,163.64,156.53,163.17,3176393,3.84,2.41%,163.17,511.76m,27081
12,07/20/17,159.94,161.765,157.25,159.33,4927397,-0.36,-0.23%,159.33,783.09m,41396
13,07/19/17,161.80,167.00,158.88,159.69,16800128,27.53,20.83%,159.69,2.72b,111281
14,07/18/17,129.21,132.30,127.67,132.16,3311555,2.95,2.28%,132.16,432.02m,26481
15,07/17/17,130.44,132.05,128.26,129.21,1136207,-1.78,-1.36%,129.21,147.34m,11197
16,07/14/17,131.77,131.81,130.425,130.99,1278651,0.07,0.05%,130.99,167.69m,13251
17,07/13/17,131.74,131.74,128.39,130.92,1600610,-0.52,-0.40%,130.92,208.11m,16115
18,07/12/17,133.38,133.615,130.595,131.44,1288462,-0.73,-0.55%,131.44,169.49m,12304
19,07/11/17,129.71,132.50,129.26,132.17,1336928,3.51,2.73%,132.17,175.85m,13372
20,07/10/17,129.93,130.36,128.64,128.66,1517263,-1.69,-1.30%,128.66,196.17m,13627
21,07/07/17,129.14,130.88,129.12,130.35,1019946,1.89,1.47%,130.35,132.74m,10161
22,07/06/17,127.32,128.935,125.50,128.46,1171802,-0.54,-0.42%,128.46,149.64m,13790
23,07/05/17,128.31,130.44,127.341,129.00,1320590,0.77,0.60%,129.00,170.65m,13842
24,06/30/17,132.20,132.39,126.585,128.87,1582260,1.63,1.28%,128.87,203.72m,14844
25,06/29/17,129.66,130.917,126.32,127.24,1368819,-3.87,-2.95%,127.24,174.52m,14819
26,06/28/17,129.69,131.62,128.94,131.11,1192028,1.88,1.45%,131.11,155.64m,11991
27,06/27/17,133.15,133.18,129.10,129.23,1723659,-4.18,-3.13%,129.23,225.79m,17164
28,06/26/17,133.83,135.03,131.62,133.41,1289028,-0.09,-0.07%,133.41,171.76m,13735
29,06/23/17,136.58,137.00,132.12,133.50,2172643,-2.03,-1.50%,133.50,290.4m,18326
30,06/22/17,134.65,137.26,132.76,135.53,2890075,0.70,0.52%,135.53,391.58m,26147
31,06/21/17,126.72,134.99,126.52,134.83,3239802,8.50,6.73%,134.83,428.23m,26614
32,06/20/17,125.54,127.97,123.82,126.33,1737625,0.75,0.60%,126.33,220.02m,15778
33,06/19/17,123.99,126.369,123.795,125.58,1509058,2.44,1.98%,125.58,189.38m,13664
34,06/16/17,124.06,124.97,122.54,123.14,3152299,-0.90,-0.73%,123.14,389.19m,12351
35,06/15/17,123.76,124.48,121.15,124.04,1017745,-0.67,-0.54%,124.04,125.57m,11965
36,06/14/17,122.78,125.80,122.37,124.71,1759259,2.22,1.81%,124.71,218.77m,16870
37,06/13/17,122.38,122.75,120.77,122.49,1344447,0.14,0.11%,122.49,164.18m,12644
38,06/12/17,122.19,123.54,121.26,122.35,2043770,-0.31,-0.25%,122.35,249.76m,20969
39,06/09/17,126.48,127.08,122.469,122.66,1791106,-3.25,-2.58%,122.66,222.92m,18287
40,06/08/17,125.00,126.16,124.07,125.91,1954776,0.92,0.74%,125.91,245.48m,17130
41,06/07/17,128.27,128.905,122.93,124.99,2635934,-2.73,-2.14%,124.99,329.59m,23014
42,06/06/17,129.38,129.86,127.51,127.72,1250626,-2.45,-1.88%,127.72,160.8m,12373
43,06/05/17,127.85,130.69,127.22,130.17,2030081,0.27,0.21%,130.17,262.41m,15308
44,06/02/17,128.44,130.00,126.99,129.90,2837882,2.74,2.15%,129.90,366.32m,20295
45,06/01/17,124.00,127.89,123.54,127.16,3356339,3.56,2.88%,127.16,423.83m,25947
46,05/31/17,120.95,123.78,120.605,123.60,2813594,3.21,2.67%,123.60,345.51m,19196
47,05/30/17,119.52,120.99,119.19,120.39,1634758,0.47,0.39%,120.39,196.81m,12504
48,05/26/17,118.10,120.82,118.05,119.92,1477802,1.32,1.11%,119.92,177.2m,12714
49,05/25/17,118.00,119.415,117.38,118.60,1393410,0.80,0.68%,118.60,165.22m,10772
50,05/24/17,116.86,118.44,115.10,117.80,1818349,1.21,1.04%,117.80,213.05m,15041
51,05/23/17,118.94,119.27,115.87,116.59,1859970,-2.35,-1.98%,116.59,218.11m,16168
52,05/22/17,118.57,119.27,117.51,118.94,1062021,0.92,0.78%,118.94,125.92m,10694
53,05/19/17,117.77,118.8159,117.10,118.02,1564730,0.09,0.08%,118.02,184.85m,14412
54,05/18/17,115.55,118.61,115.42,117.93,2155016,3.55,3.10%,117.93,252.7m,20038
55,05/17/17,117.44,117.88,114.20,114.38,1717861,-3.71,-3.14%,114.38,198.62m,16157
56,05/16/17,117.36,118.13,115.13,118.09,1320397,1.86,1.60%,118.09,154.43m,13935
57,05/15/17,114.64,116.35,113.795,116.23,1101274,1.63,1.42%,116.23,127.24m,10996
58,05/12/17,115.12,116.23,113.84,114.60,986032,-0.76,-0.66%,114.60,113.54m,9355
59,05/11/17,115.41,115.54,113.84,115.36,1395069,0.01,0.01%,115.36,159.91m,13622
60,05/10/17,116.55,116.55,114.22,115.35,1414006,-1.28,-1.10%,115.35,163.09m,12488
61,05/09/17,115.50,117.00,114.381,116.63,1185243,1.57,1.36%,116.63,138.13m,11458
62,05/08/17,114.56,115.65,113.81,115.06,1544391,0.22,0.19%,115.06,177.33m,14752
63,05/05/17,116.54,116.70,113.66,114.84,2545057,-1.55,-1.33%,114.84,291.6m,22294
64,05/04/17,119.59,119.95,115.91,116.39,1672738,-2.66,-2.23%,116.39,195.96m,17623
65,05/03/17,118.52,119.36,117.88,119.05,1333324,0.58,0.49%,119.05,158.34m,11819
66,05/02/17,120.82,121.96,116.40,118.47,2465422,-2.15,-1.78%,118.47,291.96m,24082
67,05/01/17,118.98,120.73,117.99,120.62,2109563,2.32,1.96%,120.62,252.81m,17379
68,04/28/17,119.50,120.50,115.45,118.30,3387189,0.88,0.75%,118.30,400.24m,25533
69,04/27/17,116.00,118.26,116.00,117.42,1424441,1.08,0.93%,117.42,167.07m,16746
70,04/26/17,118.08,118.08,116.07,116.34,1759118,-0.93,-0.79%,116.34,205.06m,17765
71,04/25/17,117.79,118.41,116.92,117.27,1243008,-0.39,-0.33%,117.27,146m,13297
72,04/24/17,117.66,118.79,117.31,117.66,1502994,0.96,0.82%,117.66,177.38m,12886
73,04/21/17,117.17,117.69,115.92,116.70,2803925,-0.56,-0.48%,116.70,327m,14597
74,04/20/17,115.20,117.99,114.13,117.26,1495498,2.63,2.29%,117.26,174.35m,14585
75,04/19/17,115.55,116.63,114.29,114.63,1570444,-0.02,-0.02%,114.63,180.69m,16002
76,04/18/17,114.62,115.48,113.83,114.65,1136516,-0.16,-0.14%,114.65,130.26m,12503
77,04/17/17,114.39,115.225,113.95,114.81,1184295,1.01,0.89%,114.81,135.87m,11280
78,04/13/17,114.70,116.105,113.22,113.80,1599960,-1.06,-0.92%,113.80,183.03m,15546
79,04/12/17,114.23,115.80,113.69,114.86,1161945,0.63,0.55%,114.86,133.22m,13307
80,04/11/17,113.42,114.35,111.32,114.23,1794271,0.17,0.15%,114.23,203.01m,19540
81,04/10/17,115.66,116.66,112.94,114.06,2116554,-1.82,-1.57%,114.06,241.5m,18847
82,04/07/17,114.35,117.65,114.07,115.88,2108035,1.62,1.42%,115.88,244.89m,17727
83,04/06/17,114.11,114.88,113.17,114.26,1959774,0.15,0.13%,114.26,223.43m,19041
84,04/05/17,112.35,116.8558,111.22,114.11,4032677,1.82,1.62%,114.11,463.44m,35148
85,04/04/17,107.24,112.69,107.24,112.29,2914105,4.84,4.50%,112.29,323.6m,24779
86,04/03/17,109.01,110.49,107.31,107.45,2040768,-1.90,-1.74%,107.45,221.85m,20852
87,03/31/17,107.89,109.49,106.54,109.35,2849236,2.06,1.92%,109.35,309.35m,25089
88,03/30/17,107.88,109.73,106.52,107.29,3024367,-0.72,-0.67%,107.29,326.17m,27920
89,03/29/17,106.03,111.88,106.03,108.01,13681500,18.34,20.45%,108.01,1.49b,94397
90,03/28/17,90.31,90.76,89.22,89.67,1561363,-1.13,-1.24%,89.67,140.15m,14544
91,03/27/17,89.28,91.49,88.90,90.80,1383188,0.82,0.91%,90.80,125.25m,10771
92,03/24/17,89.74,90.48,89.12,89.98,1064364,0.93,1.04%,89.98,95.72m,10666
93,03/23/17,90.00,90.7495,88.94,89.05,1043598,-0.99,-1.10%,89.05,93.52m,11631
94,03/22/17,89.95,90.25,89.059,90.04,1337153,0.54,0.60%,90.04,119.88m,12528
95,03/21/17,91.81,91.825,89.44,89.50,1711789,-1.81,-1.98%,89.50,154.52m,18806
96,03/20/17,92.00,92.61,91.23,91.31,1382494,-0.61,-0.66%,91.31,126.84m,11786
97,03/17/17,92.97,93.50,91.7601,91.92,2501509,-0.44,-0.48%,91.92,231.12m,16580
98,03/16/17,94.38,94.8599,91.70,92.36,1449700,-2.21,-2.34%,92.36,134.07m,13174
99,03/15/17,93.21,95.00,93.13,94.57,1031369,1.83,1.97%,94.57,97.28m,11077
100,03/14/17,92.60,93.09,92.16,92.74,695178,-0.21,-0.23%,92.74,64.42m,8489
101,03/13/17,94.24,94.24,92.93,92.95,897550,-1.03,-1.10%,92.95,83.68m,10102
102,03/10/17,94.15,94.22,92.95,93.98,1534220,0.41,0.44%,93.98,143.68m,13070
103,03/09/17,92.45,93.60,91.96,93.57,1217095,1.39,1.51%,93.57,113.13m,11615
104,03/08/17,91.11,93.40,91.11,92.18,1763195,0.86,0.94%,92.18,163.1m,18067
105,03/07/17,90.14,91.70,89.77,91.32,1960731,0.41,0.45%,91.32,178.74m,21055
106,03/06/17,89.75,91.68,88.87,90.91,1587733,0.72,0.80%,90.91,143.49m,16232
107,03/03/17,89.54,90.39,88.95,90.19,1422569,0.30,0.33%,90.19,128.08m,15174
108,03/02/17,89.94,91.06,89.57,89.89,1060890,-0.42,-0.47%,89.89,95.86m,12484
109,03/01/17,91.80,92.26,89.83,90.31,2089382,-0.31,-0.34%,90.31,189.36m,20495
110,02/28/17,89.17,91.95,88.79,90.62,2401894,1.72,1.93%,90.62,217.71m,19008
111,02/27/17,86.19,88.9499,85.84,88.90,2073654,2.83,3.29%,88.90,181.63m,16836
112,02/24/17,85.73,86.11,84.62,86.07,1406789,0.34,0.40%,86.07,120.55m,14109
113,02/23/17,86.20,86.63,84.39,85.73,890750,-0.06,-0.07%,85.73,76.17m,9827
114,02/22/17,86.55,87.325,85.72,85.79,1263166,-0.76,-0.88%,85.79,109.02m,13099
115,02/21/17,88.34,89.00,86.01,86.55,1665274,-1.78,-2.02%,86.55,144.57m,15610
116,02/17/17,87.69,88.98,86.90,88.33,1429046,0.63,0.72%,88.33,125.75m,11797
117,02/16/17,89.62,89.94,87.05,87.70,1322193,-1.67,-1.87%,87.70,116.23m,15682
118,02/15/17,88.69,89.46,88.34,89.37,1329771,0.46,0.52%,89.37,118.38m,12384
119,02/14/17,87.89,89.26,87.34,88.91,2321559,1.19,1.36%,88.91,205.59m,13530
120,02/13/17,88.39,88.64,87.25,87.72,1123459,-0.43,-0.49%,87.72,98.54m,10817
121,02/10/17,89.21,89.64,87.89,88.15,1633837,-1.12,-1.25%,88.15,144.48m,12235
122,02/09/17,88.10,89.42,87.695,89.27,1520037,1.55,1.77%,89.27,134.97m,13286
123,02/08/17,86.27,87.80,85.79,87.72,1310129,0.88,1.01%,87.72,114.24m,12123
124,02/07/17,87.29,88.12,86.07,86.84,1285437,-0.58,-0.66%,86.84,112.05m,11321
125,02/06/17,86.22,87.975,85.73,87.42,1423781,0.69,0.80%,87.42,123.99m,12361
126,02/03/17,87.10,87.27,85.77,86.73,1227304,0.01,0.01%,86.73,106.1m,11286
127,02/02/17,85.99,86.90,85.16,86.72,1290809,0.48,0.56%,86.72,111.36m,12138
128,02/01/17,85.98,86.43,84.33,86.24,1754741,0.37,0.43%,86.24,150.54m,17975
129,01/31/17,83.77,85.95,82.66,85.87,2418422,1.49,1.77%,85.87,204.85m,20925
130,01/30/17,87.07,87.07,83.78,84.38,1805728,-2.99,-3.42%,84.38,152.94m,17160
131,01/27/17,85.62,87.50,85.10,87.37,1861301,2.04,2.39%,87.37,161.19m,14328
132,01/26/17,85.75,87.91,84.05,85.33,2531671,0.14,0.16%,85.33,217.26m,21138
133,01/25/17,82.55,85.62,82.35,85.19,2854597,2.95,3.59%,85.19,241.52m,23061
134,01/24/17,81.42,82.60,80.55,82.24,1366588,0.84,1.03%,82.24,111.77m,13498
135,01/23/17,81.09,81.75,80.06,81.40,1124756,0.03,0.04%,81.40,91.2m,11794
136,01/20/17,81.47,82.46,80.89,81.37,1105561,0.46,0.57%,81.37,90.02m,10669
137,01/19/17,82.55,82.72,80.51,80.91,1653002,-1.61,-1.95%,80.91,134.35m,16832
138,01/18/17,81.88,82.87,81.58,82.52,1620727,0.97,1.19%,82.52,133.58m,16507
139,01/17/17,82.35,82.545,79.78,81.55,1501513,-1.62,-1.95%,81.55,122.46m,16075
140,01/13/17,82.40,84.41,81.71,83.17,1518581,0.78,0.95%,83.17,126.36m,14427
141,01/12/17,81.61,82.675,80.50,82.39,1351806,0.46,0.56%,82.39,110.47m,13282
142,01/11/17,83.17,85.37,80.38,81.93,2785209,-1.00,-1.21%,81.93,230.26m,27709
143,01/10/17,82.60,83.47,81.69,82.93,2110457,0.07,0.08%,82.93,174.6m,22800
144,01/09/17,79.80,83.62,77.09,82.86,4522498,3.47,4.37%,82.86,366.8m,37491
145,01/06/17,78.94,79.70,77.56,79.39,1669750,0.33,0.42%,79.39,131.73m,16289
146,01/05/17,77.15,79.61,76.15,79.06,2354722,2.01,2.61%,79.06,184.51m,18533
147,01/04/17,75.22,78.09,74.87,77.05,1667701,2.16,2.88%,77.05,128.53m,16031
148,01/03/17,74.43,74.9899,73.34,74.89,1761887,1.22,1.66%,74.89,131.2m,17518
149,12/30/16,74.67,74.99,73.23,73.67,1357424,-0.77,-1.03%,73.67,100.31m,11091
150,12/29/16,74.45,75.01,73.73,74.44,938589,-0.15,-0.20%,74.44,69.83m,10472
1,12/28/16,75.20,75.50,74.52,74.59,1166035,-0.60,-0.80%,74.59,87.29m,11527
2,12/27/16,74.32,76.28,74.32,75.19,1032911,0.88,1.18%,75.19,77.94m,10617
3,12/23/16,72.11,74.81,71.96,74.31,1485211,2.29,3.18%,74.31,109.62m,13533
4,12/22/16,72.61,73.00,71.46,72.02,2486850,-0.58,-0.80%,72.02,179.15m,21154
5,12/21/16,76.30,76.80,72.41,72.60,2845545,-3.84,-5.02%,72.60,210.27m,25580
6,12/20/16,76.44,76.85,75.97,76.44,1327278,0.14,0.18%,76.44,101.51m,13341
7,12/19/16,76.46,78.45,76.05,76.30,1555115,-0.50,-0.65%,76.30,119.89m,13909
8,12/16/16,77.35,78.90,76.29,76.80,2280214,-0.25,-0.32%,76.80,175.62m,11934
9,12/15/16,78.00,78.62,76.27,77.05,1972168,-1.28,-1.63%,77.05,151.76m,16498
10,12/14/16,76.34,78.69,76.00,78.33,3200088,1.73,2.26%,78.33,248.94m,18912
11,12/13/16,76.62,77.77,76.08,76.60,1210078,0.52,0.68%,76.60,93.11m,11279
12,12/12/16,76.58,76.915,75.24,76.08,1731686,-0.59,-0.77%,76.08,131.73m,15699
13,12/09/16,77.70,79.67,76.28,76.67,1618599,-0.55,-0.71%,76.67,125.88m,17322
14,12/08/16,75.98,77.34,74.59,77.22,1773434,1.90,2.52%,77.22,135.5m,17727
15,12/07/16,76.70,76.94,74.09,75.32,2569111,-2.80,-3.58%,75.32,193.38m,22410
16,12/06/16,75.77,78.39,75.04,78.12,1816705,2.57,3.40%,78.12,140.62m,18850
17,12/05/16,76.13,77.33,75.25,75.55,2588618,0.05,0.07%,75.55,197.26m,23057
18,12/02/16,77.65,78.01,75.38,75.50,4580479,-2.32,-2.98%,75.50,349.9m,34999
19,12/01/16,81.85,82.53,77.75,77.82,2662560,-3.79,-4.64%,77.82,210.41m,25213
20,11/30/16,85.86,86.91,81.59,81.61,2292728,-4.04,-4.72%,81.61,190.01m,20469
21,11/29/16,86.21,87.50,84.40,85.65,1745516,-1.25,-1.44%,85.65,150.3m,15120
22,11/28/16,87.47,88.00,86.13,86.90,1855272,-0.87,-0.99%,86.90,161.62m,15260
23,11/23/16,85.37,87.47,84.26,87.34,1041100,1.14,1.32%,87.34,90.2m,10506
24,11/22/16,89.32,89.75,85.40,86.20,1765652,-2.85,-3.20%,86.20,152.61m,16927
25,11/21/16,89.95,90.51,88.76,89.05,1278191,-0.39,-0.44%,89.05,113.94m,12893
26,11/18/16,90.94,91.48,89.00,89.44,1265388,-1.76,-1.93%,89.44,113.61m,11991
27,11/17/16,90.67,92.40,90.01,91.20,1320095,0.73,0.81%,91.20,120.42m,11589
28,11/16/16,92.58,93.06,90.43,90.47,1486963,-2.59,-2.78%,90.47,136.05m,15033
29,11/15/16,94.14,94.675,91.96,93.06,2265741,-1.36,-1.44%,93.06,210.4m,16934
30,11/14/16,92.33,94.51,89.64,94.42,2485092,2.42,2.63%,94.42,230.34m,24249
31,11/11/16,94.28,95.25,89.97,92.00,2631080,-3.36,-3.52%,92.00,241.55m,22394
32,11/10/16,94.07,97.93,94.06,95.36,4130927,2.48,2.67%,95.36,397.49m,44414
33,11/09/16,88.92,93.80,87.79,92.88,3988038,9.89,11.92%,92.88,363.7m,43651
34,11/08/16,82.73,84.21,81.85,82.99,1767969,-0.23,-0.28%,82.99,146.62m,17000
35,11/07/16,80.38,83.94,79.31,83.22,2170116,4.26,5.40%,83.22,178.77m,21340
36,11/04/16,77.39,80.92,77.39,78.96,1902122,1.27,1.63%,78.96,150.63m,18532
37,11/03/16,78.43,78.515,77.55,77.69,2370996,-0.31,-0.40%,77.69,184.8m,23079
38,11/02/16,77.60,78.43,76.77,78.00,2580387,0.12,0.15%,78.00,200.9m,23163
39,11/01/16,75.09,77.99,73.305,77.88,2458210,2.02,2.66%,77.88,187.89m,22308
40,10/31/16,77.61,77.88,75.77,75.86,1928193,-1.72,-2.22%,75.86,147.39m,16318
41,10/28/16,75.35,79.30,74.95,77.58,3400659,1.74,2.29%,77.58,263.92m,29368
42,10/27/16,79.39,81.05,75.01,75.84,3549006,-2.87,-3.65%,75.84,273.68m,30499
43,10/26/16,81.90,82.81,76.67,78.71,4337924,0.00,0.00%,78.71,344.49m,30882
44,10/25/16,78.88,79.75,77.43,78.71,2557667,-0.02,-0.03%,78.71,200.95m,19677
45,10/24/16,80.00,80.40,77.90,78.73,2032698,-2.03,-2.51%,78.73,160.32m,17330
46,10/21/16,82.34,82.60,80.69,80.76,1142947,-2.16,-2.60%,80.76,92.95m,9678
47,10/20/16,81.40,83.26,81.40,82.92,1045939,1.09,1.33%,82.92,86.37m,10552
48,10/19/16,82.79,82.89,81.21,81.83,1318814,-1.13,-1.36%,81.83,108.03m,13486
49,10/18/16,81.73,83.14,81.73,82.96,1510249,2.46,3.06%,82.96,124.79m,15554
50,10/17/16,79.36,81.535,78.50,80.50,1934626,1.27,1.60%,80.50,155.17m,18183
51,10/14/16,81.13,82.23,79.20,79.23,1976996,-1.33,-1.65%,79.23,158.95m,20582
52,10/13/16,79.55,81.56,79.52,80.56,2114074,0.41,0.51%,80.56,170.65m,18695
53,10/12/16,81.81,82.82,80.04,80.15,2255974,-1.51,-1.85%,80.15,183.25m,19848
54,10/11/16,85.15,86.08,80.78,81.66,2329307,-4.32,-5.02%,81.66,191.31m,20565
55,10/10/16,86.35,86.95,85.83,85.98,799805,0.28,0.33%,85.98,68.99m,9824
56,10/07/16,85.36,85.95,84.23,85.70,983269,0.74,0.87%,85.70,83.79m,10497
57,10/06/16,86.74,86.88,84.88,84.96,1374988,-2.69,-3.07%,84.96,117.59m,13804
58,10/05/16,86.85,88.24,86.09,87.65,964360,1.23,1.42%,87.65,84.39m,9993
59,10/04/16,86.94,87.25,85.75,86.42,1081122,-0.37,-0.43%,86.42,93.49m,10586
60,10/03/16,86.46,87.475,84.62,86.79,1371337,-0.42,-0.48%,86.79,118.29m,14607
61,09/30/16,85.25,88.91,83.50,87.21,2545736,2.21,2.60%,87.21,221.03m,23466
62,09/29/16,88.45,90.77,84.985,85.00,2381055,-3.84,-4.32%,85.00,206.73m,24570
63,09/28/16,90.51,90.73,86.87,88.84,1715021,-0.28,-0.31%,88.84,151.52m,16039
64,09/27/16,88.23,89.19,87.25,89.12,1520320,0.83,0.94%,89.12,134.42m,13758
65,09/26/16,90.05,91.23,88.10,88.29,1608129,-2.34,-2.58%,88.29,142.79m,14907
66,09/23/16,92.27,92.96,90.27,90.63,1222221,-1.49,-1.62%,90.63,111.33m,13382
67,09/22/16,92.83,93.35,90.01,92.12,1191840,0.30,0.33%,92.12,109.18m,11856
68,09/21/16,91.99,92.71,89.08,91.82,1936763,0.13,0.14%,91.82,176.34m,16147
69,09/20/16,92.07,92.52,90.98,91.69,934812,0.43,0.47%,91.69,85.79m,9726
70,09/19/16,93.21,93.59,91.09,91.26,1183354,-1.45,-1.56%,91.26,108.86m,13434
71,09/16/16,92.90,93.13,90.67,92.71,2130264,-0.39,-0.42%,92.71,196.66m,16372
72,09/15/16,90.60,94.43,89.35,93.10,2575963,2.98,3.31%,93.10,238.72m,24426
73,09/14/16,95.02,97.77,88.16,90.12,4994568,-5.15,-5.41%,90.12,452.69m,40653
74,09/13/16,96.61,96.83,93.75,95.27,927299,-2.59,-2.65%,95.27,88.26m,11870
75,09/12/16,93.41,98.05,93.1025,97.86,1123605,4.18,4.46%,97.86,108.65m,12811
76,09/09/16,96.31,97.31,93.44,93.68,1313641,-3.63,-3.73%,93.68,124.24m,13991
77,09/08/16,95.69,97.80,94.43,97.31,1021660,1.71,1.79%,97.31,98.79m,9929
78,09/07/16,95.80,96.685,95.17,95.60,928256,-0.18,-0.19%,95.60,88.9m,11641
79,09/06/16,95.18,96.805,94.53,95.78,877620,0.67,0.70%,95.78,83.88m,8237
80,09/02/16,94.76,95.54,93.6547,95.11,843132,0.36,0.38%,95.11,79.9m,8565
81,09/01/16,95.03,95.88,93.14,94.75,966637,0.24,0.25%,94.75,91.28m,10920
82,08/31/16,95.98,96.16,94.01,94.51,798207,-1.29,-1.35%,94.51,75.57m,8471
83,08/30/16,96.77,97.45,95.58,95.80,674391,-1.14,-1.18%,95.80,64.79m,7854
84,08/29/16,97.48,97.77,95.57,96.94,595225,-0.15,-0.15%,96.94,57.63m,7232
85,08/26/16,96.94,98.34,96.1323,97.09,731131,0.71,0.74%,97.09,70.88m,7980
86,08/25/16,97.09,98.87,95.161,96.38,1349446,-0.33,-0.34%,96.38,130.64m,16517
87,08/24/16,101.20,102.49,96.27,96.71,1494528,-4.28,-4.24%,96.71,146.97m,14456
88,08/23/16,101.16,102.34,100.66,100.99,844279,0.03,0.03%,100.99,85.48m,7417
89,08/22/16,98.78,101.80,98.00,100.96,1346614,2.95,3.01%,100.96,135.4m,12215
90,08/19/16,98.75,98.78,97.29,98.01,891947,-1.09,-1.10%,98.01,87.44m,9898
91,08/18/16,99.74,100.14,98.791,99.10,744572,-0.79,-0.79%,99.10,73.89m,7789
92,08/17/16,100.36,100.36,98.80,99.89,852910,-0.11,-0.11%,99.89,85.05m,9294
93,08/16/16,100.99,101.94,99.82,100.00,1183549,-2.48,-2.42%,100.00,118.76m,12139
94,08/15/16,101.96,102.79,101.52,102.48,547753,0.95,0.94%,102.48,56.11m,5994
95,08/12/16,100.79,101.65,98.56,101.53,605328,0.32,0.32%,101.53,61.18m,6531
96,08/11/16,99.84,101.28,99.59,101.21,744396,1.51,1.51%,101.21,74.95m,8674
97,08/10/16,102.78,102.78,99.49,99.70,1163894,-3.13,-3.04%,99.70,116.51m,11979
98,08/09/16,103.09,103.73,102.375,102.83,1155955,0.36,0.35%,102.83,119.02m,10858
99,08/08/16,102.69,103.09,100.73,102.47,1578231,0.04,0.04%,102.47,161.16m,15333
100,08/05/16,100.46,102.94,99.77,102.43,1113873,2.15,2.14%,102.43,113.97m,11933
101,08/04/16,100.82,101.02,98.82,100.28,1414118,-0.16,-0.16%,100.28,141.9m,13359
