,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,53.25,53.30,52.45,52.60,32904,-0.20,-0.38%,52.60,1.74m,341
2,08/03/17,54.50,54.50,52.60,52.80,22179,-1.55,-2.85%,52.80,1.18m,319
3,08/02/17,55.05,55.05,54.25,54.35,21316,-0.70,-1.27%,54.35,1.16m,313
4,08/01/17,54.75,55.05,53.70,55.05,44691,0.60,1.10%,55.05,2.43m,369
5,07/31/17,53.95,54.7792,53.45,54.45,37820,0.90,1.68%,54.45,2.05m,744
6,07/28/17,53.05,53.60,52.625,53.55,32156,0.50,0.94%,53.55,1.71m,469
7,07/27/17,53.15,54.0002,52.25,53.05,39665,-0.10,-0.19%,53.05,2.1m,490
8,07/26/17,54.00,54.325,53.10,53.15,41962,-0.85,-1.57%,53.15,2.25m,674
9,07/25/17,51.35,56.25,51.275,54.00,97530,3.55,7.04%,54.00,5.3m,1233
10,07/24/17,50.40,51.1985,49.95,50.45,29827,0.05,0.10%,50.45,1.51m,503
11,07/21/17,51.45,51.45,50.30,50.40,24835,-0.75,-1.47%,50.40,1.27m,279
12,07/20/17,50.80,51.25,49.8001,51.15,13770,0.30,0.59%,51.15,702.53k,267
13,07/19/17,50.80,51.45,50.4501,50.85,22223,-0.05,-0.10%,50.85,1.13m,308
14,07/18/17,50.80,51.00,50.35,50.90,19441,-0.10,-0.20%,50.90,987.51k,440
15,07/17/17,50.80,51.60,50.75,51.00,15792,-0.10,-0.20%,51.00,807.55k,411
16,07/14/17,50.70,51.35,50.50,51.10,31297,-0.10,-0.20%,51.10,1.6m,492
17,07/13/17,51.35,51.565,50.90,51.20,14068,-0.25,-0.49%,51.20,720.73k,363
18,07/12/17,51.25,51.75,51.10,51.45,15347,0.15,0.29%,51.45,788.68k,319
19,07/11/17,51.80,51.80,50.75,51.30,22564,-0.45,-0.87%,51.30,1.16m,344
20,07/10/17,52.55,52.55,51.65,51.75,36507,-0.80,-1.52%,51.75,1.9m,302
21,07/07/17,51.40,53.00,51.40,52.55,38109,1.10,2.14%,52.55,2m,462
22,07/06/17,51.75,52.40,51.30,51.45,28561,-0.35,-0.68%,51.45,1.48m,393
23,07/05/17,52.25,52.25,51.20,51.80,25278,-0.55,-1.05%,51.80,1.31m,496
24,06/30/17,52.70,52.70,51.55,51.55,48656,-1.00,-1.90%,51.55,2.53m,573
25,06/29/17,52.60,52.95,51.75,52.55,49977,0.530005,1.02%,52.55,2.62m,751
26,06/28/17,51.40,52.45,51.15,52.40,45087,1.3898,2.75%,52.02,2.35m,788
27,06/27/17,50.80,51.45,50.60,51.00,31629,0.248187,0.49%,50.6301,1.61m,514
28,06/26/17,50.40,51.02,50.05,50.75,58135,0.496374,1.00%,50.382,2.94m,721
29,06/23/17,49.90,50.35,49.50,50.25,92767,0.744561,1.52%,49.8856,4.64m,748
30,06/22/17,48.80,49.55,48.60,49.50,38935,0.794198,1.64%,49.141,1.91m,545
31,06/21/17,49.60,50.55,48.60,48.70,30437,-0.645286,-1.32%,48.3468,1.49m,507
32,06/20/17,50.05,50.20,49.35,49.35,32696,-0.992748,-1.99%,48.9921,1.62m,469
33,06/19/17,50.85,51.15,50.05,50.35,37762,-0.347462,-0.69%,49.9849,1.91m,504
34,06/16/17,50.55,51.10,50.55,50.70,61396,-0.397099,-0.78%,50.3323,3.11m,471
35,06/15/17,50.90,51.60,50.60,51.10,22216,-0.446736,-0.87%,50.7294,1.14m,492
36,06/14/17,50.70,51.70,50.0501,51.55,60565,0.446736,0.88%,51.1762,3.08m,652
37,06/13/17,51.35,51.45,50.6482,51.10,34870,0.049638,0.10%,50.7294,1.78m,526
38,06/12/17,51.35,52.65,50.80,51.05,49066,-0.347462,-0.68%,50.6798,2.52m,658
39,06/09/17,50.65,51.70,50.65,51.40,61478,1.1913,2.39%,51.0272,3.16m,684
40,06/08/17,49.00,50.90,48.80,50.20,34289,1.3898,2.87%,49.836,1.73m,458
41,06/07/17,48.30,49.10,48.05,48.80,37322,0.546011,1.14%,48.4461,1.82m,651
42,06/06/17,48.35,48.55,47.90,48.25,28693,-0.397099,-0.82%,47.9001,1.39m,488
43,06/05/17,49.05,49.40,48.65,48.65,29062,-0.397099,-0.82%,48.2972,1.42m,375
44,06/02/17,48.25,50.00,48.25,49.05,39176,0.496374,1.03%,48.6943,1.93m,516
45,06/01/17,48.00,48.65,47.50,48.55,36028,0.744561,1.57%,48.1979,1.74m,524
46,05/31/17,48.20,48.35,47.00,47.80,41424,-0.099275,-0.21%,47.4534,1.98m,511
47,05/30/17,48.45,48.50,47.55,47.90,28216,-0.744561,-1.54%,47.5526,1.35m,454
48,05/26/17,48.55,49.40,48.252,48.65,30607,0.049637,0.10%,48.2972,1.49m,514
49,05/25/17,48.95,49.20,48.133,48.60,27292,-0.248187,-0.51%,48.2476,1.33m,421
50,05/24/17,48.90,49.20,48.25,48.85,27811,-0.049637,-0.10%,48.4957,1.36m,389
51,05/23/17,48.60,49.10,48.05,48.90,29199,0.347462,0.72%,48.5454,1.42m,406
