,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,45.25,45.30,44.85,45.05,52996,0.15,0.33%,45.05,2.39m,690
2,08/03/17,45.00,45.45,44.45,44.90,115890,0.20,0.45%,44.90,5.18m,861
3,08/02/17,45.15,45.30,44.30,44.70,65319,-0.45,-1.00%,44.70,2.92m,649
4,08/01/17,45.50,45.50,44.875,45.15,71704,0.00,0.00%,45.15,3.23m,851
5,07/31/17,45.75,45.90,45.15,45.15,83061,-0.45,-0.99%,45.15,3.77m,934
6,07/28/17,45.55,46.60,45.40,45.60,79697,-0.25,-0.55%,45.60,3.65m,863
7,07/27/17,46.55,46.55,45.50,45.85,57007,-0.45,-0.97%,45.85,2.62m,646
8,07/26/17,46.75,47.15,46.30,46.30,102336,-0.20,-0.43%,46.30,4.79m,1289
9,07/25/17,45.30,46.65,45.15,46.50,127694,1.75,3.91%,46.50,5.89m,1408
10,07/24/17,44.80,45.65,43.31,44.75,93686,-0.15,-0.33%,44.75,4.2m,1194
11,07/21/17,45.75,45.925,44.60,44.90,108568,-0.40,-0.88%,44.90,4.91m,1046
12,07/20/17,45.50,45.775,44.70,45.30,77789,-0.15,-0.33%,45.30,3.52m,845
13,07/19/17,45.65,45.85,45.10,45.45,69112,-0.05,-0.11%,45.45,3.14m,871
14,07/18/17,45.55,45.95,45.275,45.50,33604,-0.35,-0.76%,45.50,1.53m,411
15,07/17/17,45.55,46.15,45.10,45.85,56230,0.15,0.33%,45.85,2.57m,565
16,07/14/17,46.00,46.00,45.25,45.70,50709,-0.65,-1.40%,45.70,2.32m,634
17,07/13/17,46.00,46.40,45.85,46.35,91506,0.30,0.65%,46.35,4.22m,1559
18,07/12/17,45.80,46.50,45.35,46.05,41713,0.40,0.88%,46.05,1.92m,496
19,07/11/17,46.10,46.10,45.10,45.65,61907,-0.35,-0.76%,45.65,2.82m,663
20,07/10/17,46.25,46.75,45.70,46.00,77519,-0.50,-1.08%,46.00,3.57m,754
21,07/07/17,46.05,46.55,45.55,46.50,64814,0.75,1.64%,46.50,3m,896
22,07/06/17,46.60,47.00,45.65,45.75,116657,-1.15,-2.45%,45.75,5.41m,1085
23,07/05/17,45.70,47.00,44.60,46.90,214418,1.20,2.63%,46.90,9.9m,1866
24,06/30/17,45.65,45.95,45.05,45.35,88568,-0.20,-0.44%,45.35,4.02m,985
25,06/29/17,45.85,45.85,45.00,45.55,80213,0.15,0.33%,45.55,3.65m,888
26,06/28/17,45.40,45.65,44.65,45.40,58158,0.35,0.78%,45.40,2.64m,1028
