,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,,,,7.70,48,0.00,0.00%,7.70,,4
2,08/03/17,,,,7.70,21,0.00,0.00%,7.70,,4
3,08/02/17,7.70,7.70,7.70,7.70,145,3.84,99.48%,7.70,1.12k,13
4,08/01/17,,,,3.86,0,,0.00%,3.86,,
5,07/31/17,,,,3.86,1,0.00,0.00%,3.86,,1
6,07/28/17,,,,3.86,0,,0.00%,3.86,,
7,07/27/17,,,,3.86,0,,0.00%,3.86,,
8,07/26/17,,,,3.86,1,0.00,0.00%,3.86,,1
9,07/25/17,,,,3.86,1,0.00,0.00%,3.86,,1
10,07/24/17,,,,3.86,0,,0.00%,3.86,,
11,07/21/17,,,,3.86,0,,0.00%,3.86,,
12,07/20/17,3.86,3.86,3.86,3.86,175,-7.14,-64.91%,3.86,675.50,1
13,07/19/17,,,,11.00,0,,0.00%,11.00,,
14,07/18/17,,,,11.00,0,,0.00%,11.00,,
15,07/17/17,,,,11.00,0,,0.00%,11.00,,
16,07/14/17,,,,11.00,7,0.00,0.00%,11.00,,1
17,07/13/17,,,,11.00,3,0.00,0.00%,11.00,,3
18,07/12/17,,,,11.00,52,0.00,0.00%,11.00,,2
19,07/11/17,,,,11.00,0,,0.00%,11.00,,
20,07/10/17,,,,11.00,0,,0.00%,11.00,,
21,07/07/17,,,,11.00,0,,0.00%,11.00,,
22,07/06/17,,,,11.00,0,,0.00%,11.00,,
23,07/05/17,,,,11.00,0,,0.00%,11.00,,
24,06/30/17,,,,11.00,0,,0.00%,11.00,,
25,06/29/17,,,,11.00,14,0.00,0.00%,11.00,,2
26,06/28/17,,,,11.00,0,,0.00%,11.00,,
27,06/27/17,,,,11.00,0,,0.00%,11.00,,
28,06/26/17,,,,11.00,0,,0.00%,11.00,,
29,06/23/17,,,,11.00,5,0.00,0.00%,11.00,,2
30,06/22/17,,,,11.00,3,0.00,0.00%,11.00,,2
31,06/21/17,,,,11.00,1,0.00,0.00%,11.00,,1
32,06/20/17,,,,11.00,6,0.00,0.00%,11.00,,1
33,06/19/17,,,,11.00,0,,0.00%,11.00,,
34,06/16/17,,,,11.00,0,,0.00%,11.00,,
35,06/15/17,,,,11.00,0,,0.00%,11.00,,
36,06/14/17,,,,11.00,13,0.00,0.00%,11.00,,4
37,06/13/17,,,,11.00,1,0.00,0.00%,11.00,,1
38,06/12/17,,,,11.00,0,,0.00%,11.00,,
39,06/09/17,,,,11.00,1,0.00,0.00%,11.00,,1
