,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,63.24,63.6199,62.91,63.28,1495948,0.38,0.60%,63.28,94.66m,14410
2,08/03/17,62.22,62.94,61.85,62.90,2469662,0.65,1.04%,62.90,154.47m,17634
3,08/02/17,63.66,63.69,62.12,62.25,2673865,-1.31,-2.06%,62.25,167.03m,25225
4,08/01/17,63.30,63.79,62.99,63.56,1684733,0.30,0.47%,63.56,106.99m,15953
5,07/31/17,63.70,63.80,62.955,63.26,1954380,-0.41,-0.64%,63.26,123.68m,16430
6,07/28/17,63.38,63.81,63.07,63.67,2166300,-0.17,-0.27%,63.67,137.55m,16948
7,07/27/17,66.60,68.19,63.42,63.84,6581546,-1.48,-2.27%,63.84,427.93m,53088
8,07/26/17,64.57,65.37,64.26,65.32,3114873,0.86,1.33%,65.32,202.14m,26739
9,07/25/17,64.32,64.89,64.01,64.46,1688940,0.20,0.31%,64.46,109m,15952
10,07/24/17,64.90,64.96,64.16,64.26,2133367,-0.62,-0.96%,64.26,137.36m,18279
11,07/21/17,65.49,65.739,64.51,64.88,3190302,-0.93,-1.41%,64.88,206.87m,25571
12,07/20/17,65.71,66.19,64.78,65.81,2974163,0.22,0.34%,65.81,194.62m,25317
13,07/19/17,65.92,65.92,64.43,65.59,5182540,-0.04,-0.06%,65.59,337.07m,35702
14,07/18/17,65.90,65.97,65.26,65.63,2346194,-0.23,-0.35%,65.63,153.79m,19551
15,07/17/17,66.24,66.55,65.78,65.86,2223757,-0.39,-0.59%,65.86,147m,17537
16,07/14/17,68.00,68.10,65.70,66.25,5311188,-1.60,-2.36%,66.25,352.4m,36801
17,07/13/17,68.04,68.58,67.74,67.85,1654490,-0.43,-0.63%,67.85,112.62m,14369
18,07/12/17,68.00,68.68,67.80,68.28,1627197,0.73,1.08%,68.28,110.91m,14645
19,07/11/17,67.14,67.75,66.93,67.55,2556506,0.37,0.55%,67.55,172.44m,20188
20,07/10/17,67.02,67.24,66.13,67.18,2828717,1.83,2.80%,67.18,188.92m,19450
21,07/07/17,64.59,65.59,64.57,65.35,1335720,0.92,1.43%,65.35,87.08m,13075
22,07/06/17,63.95,64.82,63.67,64.43,1966147,-0.28,-0.43%,64.43,126.37m,18222
23,07/05/17,63.63,64.87,63.33,64.71,2128239,1.45,2.29%,64.71,137.26m,16721
24,06/30/17,64.61,64.76,63.98,64.32,3165534,0.14,0.22%,64.32,204.09m,21641
25,06/29/17,65.45,65.5716,63.575,64.18,2100706,-1.83,-2.77%,64.18,135.14m,19558
26,06/28/17,65.49,66.09,64.74,66.01,2220220,0.91,1.40%,66.01,145.55m,20450
27,06/27/17,67.05,67.26,65.0801,65.10,3139613,-2.26,-3.36%,65.10,207.12m,24626
28,06/26/17,67.60,67.99,67.01,67.36,2226753,-0.17,-0.25%,67.36,150.26m,21217
29,06/23/17,66.56,67.60,66.50,67.53,5260489,0.95,1.43%,67.53,354.23m,17274
30,06/22/17,66.31,66.79,65.85,66.58,2067193,0.46,0.70%,66.58,137.39m,19815
31,06/21/17,66.08,66.37,65.39,66.12,2981879,0.86,1.32%,66.12,196.58m,24132
32,06/20/17,65.87,66.15,65.0506,65.26,2595270,-0.64,-0.97%,65.26,169.68m,23705
33,06/19/17,65.20,65.98,65.07,65.90,2155659,1.16,1.79%,65.90,141.5m,18048
