,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,74.97,75.04,72.62,73.49,790472,-0.59,-0.80%,73.49,58.26m,6893
2,08/03/17,71.01,74.65,70.4101,74.08,1082464,2.88,4.04%,74.08,79.25m,9973
3,08/02/17,72.17,72.36,69.2301,71.20,1106951,-0.54,-0.75%,71.20,78.47m,9276
4,08/01/17,71.94,72.1572,71.2099,71.74,709426,0.24,0.34%,71.74,50.85m,5592
5,07/31/17,72.31,73.04,70.66,71.50,814913,-0.14,-0.20%,71.50,58.4m,6082
6,07/28/17,70.21,72.064,69.38,71.64,684660,1.00,1.42%,71.64,48.89m,5581
7,07/27/17,71.89,72.52,68.60,70.64,1291099,-0.51,-0.72%,70.64,91.62m,9727
8,07/26/17,73.67,73.94,70.10,71.15,1554788,-1.87,-2.56%,71.15,111.36m,11387
9,07/25/17,71.60,73.64,70.71,73.02,1286943,2.33,3.30%,73.02,93.02m,10285
10,07/24/17,67.60,71.45,67.00,70.69,1419187,3.10,4.59%,70.69,99.3m,11963
11,07/21/17,67.69,67.925,66.80,67.59,627915,0.03,0.04%,67.59,42.3m,5189
12,07/20/17,66.81,68.55,66.81,67.56,885483,0.95,1.43%,67.56,59.92m,6587
13,07/19/17,67.56,68.62,66.43,66.61,882256,-0.51,-0.76%,66.61,59.21m,7051
14,07/18/17,65.51,67.49,64.66,67.12,1067403,1.25,1.90%,67.12,71.14m,8156
15,07/17/17,65.00,67.39,64.25,65.87,2656862,2.08,3.26%,65.87,175.05m,20655
16,07/14/17,58.77,64.08,58.75,63.79,2651277,5.32,9.10%,63.79,165.18m,18239
17,07/13/17,60.00,60.17,58.13,58.47,1374625,-1.51,-2.52%,58.47,80.76m,9183
18,07/12/17,58.18,60.00,57.14,59.98,1325126,2.38,4.13%,59.98,77.73m,10862
19,07/11/17,58.15,58.48,57.40,57.60,991943,-0.38,-0.66%,57.60,57.37m,7979
20,07/10/17,57.13,58.50,57.13,57.98,1040450,1.15,2.02%,57.98,60.22m,8477
21,07/07/17,56.54,57.76,56.49,56.83,653675,0.35,0.62%,56.83,37.27m,5869
22,07/06/17,56.88,57.09,55.8264,56.48,979567,-0.41,-0.72%,56.48,55.27m,8259
23,07/05/17,58.48,58.57,55.9706,56.89,1407924,-1.81,-3.08%,56.89,79.86m,11515
24,06/30/17,57.74,58.81,56.93,58.03,1337378,0.67,1.17%,58.03,77.53m,8806
25,06/29/17,55.56,57.99,55.50,57.36,933782,-1.09,-1.86%,57.36,53.29m,6689
26,06/28/17,57.02,58.56,56.62,58.45,890243,1.71,3.01%,58.45,51.48m,7623
