,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,45.52,45.86,45.04,45.24,885453,-0.18,-0.40%,45.24,40.12m,8149
2,08/03/17,45.62,45.95,45.19,45.42,450973,-0.04,-0.09%,45.42,20.55m,4622
3,08/02/17,45.76,45.76,44.58,45.46,776392,-0.01,-0.02%,45.46,35.09m,8558
4,08/01/17,45.60,45.83,44.58,45.47,899776,0.31,0.69%,45.47,40.82m,6934
5,07/31/17,45.39,45.43,44.36,45.16,972105,-0.06,-0.13%,45.16,43.85m,5605
6,07/28/17,44.68,45.51,44.35,45.22,544359,0.30,0.67%,45.22,24.61m,5018
7,07/27/17,45.62,46.01,44.2008,44.92,851688,-0.52,-1.14%,44.92,38.37m,8848
8,07/26/17,45.76,45.76,45.07,45.44,1001731,-0.12,-0.26%,45.44,45.45m,5770
9,07/25/17,44.76,45.79,44.30,45.56,914861,0.83,1.86%,45.56,41.41m,9166
10,07/24/17,44.59,44.86,44.20,44.73,860530,0.30,0.68%,44.73,38.35m,7426
11,07/21/17,44.55,44.73,44.17,44.43,982406,-0.13,-0.29%,44.43,43.7m,6502
12,07/20/17,45.96,45.98,44.43,44.56,1452628,-1.07,-2.34%,44.56,65.1m,12814
13,07/19/17,46.55,46.73,45.47,45.63,1487634,-0.89,-1.91%,45.63,68.04m,8933
14,07/18/17,46.92,47.01,46.04,46.52,1336966,-0.58,-1.23%,46.52,62.02m,12180
15,07/17/17,46.60,47.36,46.58,47.10,2638187,0.58,1.25%,47.10,124.01m,15814
16,07/14/17,45.83,47.50,45.67,46.52,3193152,1.60,3.56%,46.52,148.72m,24625
17,07/13/17,44.22,45.31,43.39,44.92,3111605,0.60,1.35%,44.92,138.47m,24963
18,07/12/17,46.32,46.55,43.61,44.32,4897274,-1.83,-3.97%,44.32,218.8m,37293
19,07/11/17,46.16,46.475,45.25,46.15,2091348,0.00,0.00%,46.15,95.98m,15611
20,07/10/17,46.56,46.94,46.12,46.15,1916648,-0.35,-0.75%,46.15,88.98m,16624
21,07/07/17,47.20,47.78,46.39,46.50,1734853,-0.79,-1.67%,46.50,81.24m,15481
22,07/06/17,48.23,48.37,47.17,47.29,1176615,-1.43,-2.94%,47.29,55.97m,9934
23,07/05/17,48.94,49.30,48.17,48.72,952112,-0.14,-0.29%,48.72,46.25m,9430
24,06/30/17,48.28,49.14,47.945,49.01,1105538,0.99,2.06%,49.01,53.95m,7399
25,06/29/17,48.61,48.79,47.23,48.02,983515,-0.70,-1.44%,48.02,47.06m,8503
26,06/28/17,48.67,48.93,47.86,48.72,1037845,0.54,1.12%,48.72,50.25m,9456
27,06/27/17,49.85,50.39,48.09,48.18,1995857,-2.14,-4.25%,48.18,97.86m,17156
