,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,22.769,22.82,22.71,22.82,12227,0.07,0.31%,22.82,278.56k,44
2,08/03/17,22.79,22.79,22.69,22.75,6202,-0.10,-0.44%,22.75,140.91k,36
3,08/02/17,22.715,22.85,22.71,22.85,17437,0.03,0.13%,22.85,396.64k,70
4,08/01/17,22.94,22.94,22.72,22.82,121956,0.08,0.35%,22.82,2.78m,61
5,07/31/17,22.76,22.76,22.69,22.74,2719,0.02,0.09%,22.74,61.81k,25
6,07/28/17,22.674,22.72,22.674,22.72,3562,-0.06,-0.26%,22.72,80.8k,20
7,07/27/17,22.8014,22.82,22.65,22.78,54922,-0.06,-0.26%,22.78,1.25m,53
8,07/26/17,22.80,22.84,22.74,22.84,4808,-0.01,-0.04%,22.84,109.53k,35
9,07/25/17,22.72,22.85,22.72,22.85,1815,0.05,0.22%,22.85,41.37k,9
10,07/24/17,22.685,22.80,22.685,22.80,4623,0.07,0.31%,22.80,105.01k,18
11,07/21/17,22.691,22.73,22.68,22.73,1894,-0.07,-0.31%,22.73,42.99k,10
12,07/20/17,22.72,22.80,22.718,22.80,2450,0.06,0.26%,22.80,55.71k,21
13,07/19/17,22.7007,22.74,22.67,22.74,8355,0.05,0.22%,22.74,189.58k,25
14,07/18/17,22.61,22.69,22.61,22.69,14490,0.03,0.13%,22.69,328.02k,49
15,07/17/17,22.62,22.66,22.60,22.66,15319,0.00,0.00%,22.66,346.38k,48
16,07/14/17,22.44,22.66,22.44,22.66,69562,0.06,0.27%,22.66,1.57m,156
17,07/13/17,22.54,22.60,22.52,22.60,37813,0.02,0.09%,22.60,852.54k,28
18,07/12/17,22.5501,22.59,22.53,22.58,31563,0.08,0.36%,22.58,711.82k,47
19,07/11/17,22.45,22.50,22.43,22.50,22893,-0.01,-0.04%,22.50,513.84k,71
20,07/10/17,22.39,22.55,22.39,22.51,13040,0.06,0.27%,22.51,293.16k,48
21,07/07/17,22.34,22.45,22.34,22.45,3501,0.06,0.27%,22.45,78.44k,13
22,07/06/17,22.32,22.4701,22.32,22.39,11727,-0.27,-1.19%,22.39,262.62k,59
23,07/05/17,22.51,22.66,22.47,22.66,20108,0.08,0.35%,22.66,452.61k,31
24,06/30/17,22.4447,22.51,22.41,22.51,20895,0.05,0.22%,22.51,469.84k,13
25,06/29/17,22.60,22.60,22.4401,22.46,1720,-0.24,-1.06%,22.46,38.67k,10
26,06/28/17,22.63,22.70,22.6299,22.70,6267,0.21,0.93%,22.70,142.07k,16
27,06/27/17,22.46,22.55,22.46,22.49,4952,-0.14,-0.62%,22.49,111.36k,23
28,06/26/17,22.5943,22.63,22.59,22.63,16850,0.01,0.04%,22.63,380.84k,26
29,06/23/17,22.58,22.62,22.5701,22.62,4744,0.03,0.13%,22.62,107.15k,22
30,06/22/17,22.62,22.62,22.57,22.59,2715,0.02,0.09%,22.59,61.35k,15
31,06/21/17,22.55,22.579,22.515,22.57,6085,0.00,0.00%,22.57,137.29k,15
32,06/20/17,22.43,22.6195,22.43,22.57,9736,-0.12,-0.53%,22.57,219.35k,35
33,06/19/17,22.6199,22.69,22.6199,22.69,3687,0.16,0.71%,22.69,83.48k,5
34,06/16/17,22.4328,22.53,22.4328,22.53,4922,-0.03,-0.13%,22.53,110.57k,21
35,06/15/17,22.34,22.56,22.34,22.56,3929,-0.03,-0.13%,22.56,88.09k,19
36,06/14/17,22.5754,22.62,22.49,22.59,4290,-0.04,-0.18%,22.59,96.9k,8
37,06/13/17,22.5543,22.63,22.53,22.63,227737,0.15,0.67%,22.63,5.15m,38
38,06/12/17,22.38,22.48,22.3734,22.48,3620,-0.02,-0.09%,22.48,81.13k,20
39,06/09/17,22.45,22.50,22.38,22.50,16971,-0.09,-0.40%,22.50,380.93k,42
40,06/08/17,22.561,22.59,22.52,22.59,3500,0.03,0.13%,22.59,78.92k,8
41,06/07/17,22.50,22.56,22.465,22.56,38287,0.02,0.09%,22.56,861.1k,80
42,06/06/17,22.53,22.55,22.51,22.54,9076,0.01,0.04%,22.54,204.49k,22
43,06/05/17,22.5601,22.5839,22.53,22.53,18390,-0.09,-0.40%,22.53,414.76k,14
