,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,12.60,12.73,12.33,12.46,201920,-0.138631,-1.11%,12.3381,2.53m,964
2,10/31/16,12.80,12.80,12.50,12.60,152567,-0.198044,-1.56%,12.4768,1.93m,780
3,10/28/16,12.87,12.87,12.77,12.80,46951,-0.009902,-0.08%,12.6748,601.44k,190
4,10/27/16,12.92,12.92,12.7878,12.81,66587,-0.08912,-0.70%,12.6847,856.45k,351
5,10/26/16,12.92,12.95,12.87,12.90,62694,-0.019804,-0.15%,12.7738,809.68k,311
6,10/25/16,12.84,12.9371,12.81,12.92,98767,0.118826,0.94%,12.7936,1.27m,313
7,10/24/16,12.86,12.87,12.76,12.80,67836,0.00,0.00%,12.6748,871.47k,323
8,10/21/16,12.78,12.80,12.73,12.80,52706,0.019804,0.16%,12.6748,673.14k,220
9,10/20/16,12.76,12.81,12.71,12.78,71471,0.00,0.00%,12.655,912.65k,330
10,10/19/16,12.79,12.875,12.76,12.78,86840,-0.029706,-0.23%,12.655,1.11m,540
11,10/18/16,12.81,12.846,12.74,12.81,84184,0.009902,0.08%,12.6847,1.08m,329
12,10/17/16,12.81,12.87,12.74,12.80,74815,-0.009902,-0.08%,12.6748,955.76k,314
13,10/14/16,12.86,12.88,12.80,12.81,31162,-0.039609,-0.31%,12.6847,399.82k,126
14,10/13/16,12.77,12.85,12.709,12.85,56658,0.049511,0.39%,12.7243,724.63k,346
15,10/12/16,12.77,12.85,12.7227,12.80,45276,0.049511,0.39%,12.6748,579.12k,242
16,10/11/16,12.86,12.86,12.69,12.75,86408,-0.128726,-1.01%,12.6253,1.1m,341
17,10/10/16,12.96,13.02,12.88,13.00,49031,0.068676,0.54%,12.754,635.6k,239
18,10/07/16,12.93,12.9765,12.87,12.93,42666,-0.009811,-0.08%,12.6854,551.06k,161
19,10/06/16,12.87,12.96,12.76,12.94,79506,0.00,0.00%,12.6952,1.02m,359
20,10/05/16,12.93,12.95,12.86,12.94,73562,0.088297,0.70%,12.6952,948.97k,272
21,10/04/16,13.05,13.05,12.81,12.85,106615,-0.206026,-1.61%,12.6069,1.38m,525
22,10/03/16,12.99,13.08,12.97,13.06,106885,0.088297,0.69%,12.8129,1.39m,336
23,09/30/16,12.88,12.98,12.88,12.97,73080,0.122634,0.97%,12.7246,945.78k,248
24,09/29/16,12.86,12.86,12.76,12.845,49448,0.004906,0.04%,12.602,633.94k,234
25,09/28/16,12.81,12.84,12.72,12.84,65364,0.098108,0.78%,12.5971,835.44k,303
26,09/27/16,12.71,12.79,12.6866,12.74,41590,0.029432,0.24%,12.499,530.1k,115
27,09/26/16,12.73,12.73,12.66,12.71,38993,-0.049053,-0.39%,12.4695,494.98k,159
28,09/23/16,12.76,12.80,12.73,12.76,42710,0.039242,0.31%,12.5186,545.38k,213
29,09/22/16,12.77,12.78,12.64,12.72,88391,0.078487,0.63%,12.4793,1.13m,328
30,09/21/16,12.55,12.64,12.49,12.64,145555,0.147162,1.20%,12.4008,1.83m,553
31,09/20/16,12.42,12.49,12.40,12.49,73754,0.049054,0.40%,12.2537,917.71k,393
32,09/19/16,12.49,12.49,12.37,12.44,65090,0.039243,0.32%,12.2046,809.05k,271
33,09/16/16,12.40,12.40,12.36,12.40,46641,0.029432,0.24%,12.1654,577.09k,197
34,09/15/16,12.35,12.40,12.28,12.37,80306,0.088298,0.73%,12.136,989.86k,350
35,09/14/16,12.38,12.41,12.22,12.28,58659,-0.039244,-0.32%,12.0477,720.7k,316
36,09/13/16,12.62,12.62,12.25,12.32,125224,-0.25508,-2.07%,12.0869,1.55m,386
37,09/12/16,12.65,12.69,12.50,12.58,123336,-0.068676,-0.55%,12.342,1.55m,560
38,09/09/16,12.77,12.78,12.45,12.65,108270,-0.156973,-1.25%,12.4107,1.37m,433
39,09/08/16,12.74,12.81,12.72,12.81,109441,0.0883,0.71%,12.5676,1.4m,591
40,09/07/16,12.80,12.86,12.78,12.84,78065,0.058315,0.47%,12.4793,1m,380
41,09/06/16,12.85,12.85,12.73,12.78,98459,-0.00972,-0.08%,12.421,1.26m,432
42,09/05/16,,,,12.79,0,,0.00%,12.4307,,
43,09/02/16,12.78,12.80,12.68,12.79,72512,0.068034,0.55%,12.4307,923.51k,481
44,09/01/16,12.82,12.82,12.56,12.72,118145,0.00,0.00%,12.3627,1.5m,665
45,08/31/16,12.88,12.88,12.68,12.72,132231,-0.029158,-0.24%,12.3627,1.69m,676
46,08/30/16,12.77,12.82,12.7301,12.75,170034,-0.048594,-0.39%,12.3919,2.17m,708
47,08/29/16,12.75,12.80,12.71,12.80,74502,0.048594,0.39%,12.4404,950.17k,412
48,08/26/16,12.70,12.75,12.65,12.75,163758,0.087472,0.71%,12.3919,2.08m,833
49,08/25/16,12.55,12.66,12.55,12.66,111434,0.10691,0.88%,12.3044,1.41m,337
50,08/24/16,12.54,12.64,12.54,12.55,89854,-0.019438,-0.16%,12.1975,1.13m,307
51,08/23/16,12.55,12.5999,12.54,12.57,57241,0.019438,0.16%,12.2169,719.29k,284
52,08/22/16,12.60,12.60,12.50,12.55,85695,-0.068033,-0.55%,12.1975,1.08m,358
53,08/19/16,12.68,12.68,12.56,12.62,47359,-0.058315,-0.47%,12.2655,597.59k,284
54,08/18/16,12.64,12.69,12.60,12.68,89122,0.019438,0.16%,12.3238,1.13m,496
55,08/17/16,12.64,12.67,12.56,12.66,116079,0.029158,0.24%,12.3044,1.46m,493
56,08/16/16,12.66,12.66,12.54,12.63,75223,-0.029158,-0.24%,12.2752,948.39k,172
57,08/15/16,12.72,12.73,12.60,12.66,67934,0.019438,0.16%,12.3044,859.56k,293
58,08/12/16,12.55,12.67,12.52,12.64,74310,0.12635,1.04%,12.2849,937.49k,339
59,08/11/16,12.52,12.54,12.45,12.51,48466,0.058315,0.48%,12.1586,605.9k,202
60,08/10/16,12.36,12.4899,12.36,12.45,147186,0.10691,0.89%,12.1003,1.83m,534
61,08/09/16,12.28,12.37,12.28,12.34,85972,0.116629,0.98%,11.9934,1.06m,268
62,08/08/16,12.30,12.44,12.30,12.22,117359,0.038492,0.33%,11.8767,1.45m,499
63,08/05/16,12.26,12.33,12.26,12.30,71837,0.067372,0.57%,11.8382,882.82k,294
64,08/04/16,12.21,12.30,12.20,12.23,72465,0.009625,0.08%,11.7709,886.65k,271
65,08/03/16,12.28,12.28,12.18,12.22,149883,-0.048124,-0.41%,11.7613,1.83m,662
66,08/02/16,12.37,12.37,12.20,12.27,106739,-0.10587,-0.89%,11.8094,1.31m,466
67,08/01/16,12.44,12.49,12.29,12.38,133823,-0.028873,-0.24%,11.9152,1.66m,565
68,07/29/16,12.44,12.469,12.37,12.41,66463,-0.028874,-0.24%,11.9441,824.96k,342
