,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,18.21,18.31,17.205,17.76,13604106,-0.31,-1.72%,17.76,239.94m,40642
2,10/31/16,18.46,18.47,17.96,18.07,6084665,-0.30,-1.63%,18.07,110.02m,26114
3,10/28/16,18.65,18.71,18.23,18.37,4677801,-0.229994,-1.24%,18.37,86.12m,25507
4,10/27/16,18.80,18.86,18.60,18.68,5602733,-0.129443,-0.69%,18.60,104.78m,24681
5,10/26/16,18.90,19.12,18.465,18.81,13177576,-0.73683,-3.79%,18.7294,247.58m,43437
6,10/25/16,19.46,19.60,19.34,19.55,4770259,0.059743,0.31%,19.4663,92.85m,24401
7,10/24/16,19.46,19.665,19.43,19.49,2608855,0.129443,0.67%,19.4065,50.94m,14996
8,10/21/16,19.22,19.51,19.164,19.36,5489380,-0.019914,-0.10%,19.2771,106.13m,18780
9,10/20/16,19.47,19.79,19.38,19.38,3529988,-0.089615,-0.46%,19.297,68.96m,18685
10,10/19/16,19.39,19.61,19.39,19.47,3597241,0.089615,0.46%,19.3866,70.19m,18348
11,10/18/16,19.54,19.55,19.32,19.38,2062746,0.049785,0.26%,19.297,39.98m,11209
12,10/17/16,19.27,19.46,19.27,19.33,1687799,0.029872,0.16%,19.2472,32.72m,10942
13,10/14/16,19.55,19.66,19.24,19.30,2100997,0.0697,0.36%,19.2173,40.66m,12925
14,10/13/16,19.36,19.44,19.13,19.23,2054044,-0.318629,-1.64%,19.1476,39.55m,13863
15,10/12/16,19.62,19.77,19.48,19.55,3607602,-0.099572,-0.51%,19.4663,70.79m,18874
16,10/11/16,19.81,19.85,19.57,19.65,2502389,-0.248929,-1.26%,19.5658,49.2m,15857
17,10/10/16,19.87,19.99,19.84,19.90,1467018,0.1394,0.71%,19.8148,29.21m,9877
18,10/07/16,19.88,20.01,19.675,19.76,1821869,-0.089614,-0.45%,19.6754,36.06m,10262
19,10/06/16,19.93,19.97,19.73,19.85,2394494,-0.129444,-0.65%,19.765,47.57m,14177
20,10/05/16,19.87,20.08,19.835,19.98,6542192,0.229015,1.16%,19.8944,130.35m,20695
21,10/04/16,19.77,19.965,19.68,19.75,3278942,0.079658,0.41%,19.6654,64.96m,20668
22,10/03/16,19.40,19.725,19.28,19.67,3166976,0.199143,1.03%,19.5858,62.04m,16212
23,09/30/16,19.47,19.52,19.14,19.47,3146811,0.229015,1.20%,19.3866,60.99m,17147
24,09/29/16,19.40,19.59,19.09,19.24,3607121,-0.1394,-0.72%,19.1576,69.91m,20277
25,09/28/16,19.29,19.41,19.12,19.38,1881455,0.229014,1.20%,19.297,36.34m,11084
26,09/27/16,18.77,19.16,18.762,19.15,2431470,0.308673,1.65%,19.068,46.29m,14815
27,09/26/16,18.94,18.98,18.73,18.84,1908947,-0.238972,-1.26%,18.7593,35.98m,12236
28,09/23/16,19.31,19.58,19.07,19.08,3455962,-0.258887,-1.34%,18.9983,66.65m,16838
29,09/22/16,19.33,19.375,19.175,19.34,4705692,0.139401,0.73%,19.2572,90.8m,22343
30,09/21/16,19.25,19.26,18.89,19.20,5010266,0.0697,0.37%,19.1178,96.09m,20906
31,09/20/16,19.29,19.35,18.93,19.13,3919591,-0.049786,-0.26%,19.0481,74.9m,20361
32,09/19/16,19.28,19.33,19.02,19.18,3081500,-0.019914,-0.10%,19.0979,59.12m,16459
