,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,133.13,135.18,131.94,134.34,699214,1.68,1.27%,134.34,93.58m,8903
2,10/31/16,139.80,139.90,132.52,132.66,1026261,-5.18,-3.76%,132.66,137.86m,10792
3,10/28/16,139.07,139.68,135.22,137.84,728047,-1.08,-0.78%,137.84,100.2m,8959
4,10/27/16,142.22,142.22,137.97,138.92,728084,-2.06,-1.46%,138.92,101.33m,8997
5,10/26/16,140.65,142.3075,140.14,140.98,341211,-0.79,-0.56%,140.98,48.15m,4528
6,10/25/16,142.46,143.41,140.83,141.77,259701,-0.94,-0.66%,141.77,36.8m,3621
7,10/24/16,143.07,144.16,142.45,142.71,457736,1.34,0.95%,142.71,65.47m,4581
8,10/21/16,139.26,141.49,138.92,141.37,667074,0.39,0.28%,141.37,93.88m,5233
9,10/20/16,141.37,142.84,140.45,140.98,342547,-0.80,-0.56%,140.98,48.36m,4737
10,10/19/16,141.87,142.61,141.10,141.78,274825,0.39,0.28%,141.78,39.01m,4046
11,10/18/16,142.11,142.41,140.11,141.39,393859,1.57,1.12%,141.39,55.68m,4836
12,10/17/16,142.76,142.86,139.66,139.82,398084,-2.52,-1.77%,139.82,55.99m,6213
13,10/14/16,144.74,145.60,141.62,142.34,369762,-0.29,-0.20%,142.34,52.86m,5156
14,10/13/16,143.35,143.475,140.36,142.63,539386,-3.18,-2.18%,142.63,76.86m,6683
15,10/12/16,146.76,147.70,145.61,145.81,469098,-0.83,-0.57%,145.81,68.67m,5428
16,10/11/16,150.87,150.87,145.95,146.64,735340,-4.63,-3.06%,146.64,108.25m,8793
17,10/10/16,154.41,154.86,151.265,151.27,364194,-1.79,-1.17%,151.27,55.52m,5473
18,10/07/16,154.00,154.26,151.86,153.06,423086,-1.38,-0.89%,153.06,64.77m,5370
19,10/06/16,153.15,154.68,152.15,154.44,811034,1.65,1.08%,154.44,124.77m,9526
20,10/05/16,147.50,153.16,147.50,152.79,840359,5.72,3.89%,152.79,127.27m,9989
21,10/04/16,146.66,148.50,146.28,147.07,671601,0.67,0.46%,147.07,98.89m,9627
22,10/03/16,144.19,147.15,143.94,146.40,527409,1.70,1.17%,146.40,77.04m,6617
23,09/30/16,142.71,145.27,141.29,144.70,581856,4.09,2.91%,144.70,83.79m,7174
