,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,4.90,4.915,4.78,4.78,655519,-0.13,-2.65%,4.78,3.17m,3043
2,10/31/16,4.94,4.95,4.91,4.91,512165,-0.02,-0.41%,4.91,2.52m,2343
3,10/28/16,4.94,4.96,4.88,4.93,375868,0.02,0.41%,4.93,1.85m,1994
4,10/27/16,4.98,4.98,4.91,4.91,342107,-0.06,-1.21%,4.91,1.69m,2016
5,10/26/16,5.02,5.03,4.955,4.97,504362,-0.06,-1.19%,4.97,2.52m,1815
6,10/25/16,4.94,5.04,4.94,5.03,466360,0.09,1.82%,5.03,2.33m,2764
7,10/24/16,4.92,4.94,4.90,4.94,303021,0.05,1.02%,4.94,1.49m,1719
8,10/21/16,4.81,4.895,4.80,4.89,344961,0.04,0.82%,4.89,1.68m,1435
9,10/20/16,4.84,4.87,4.81,4.85,225344,0.01,0.21%,4.85,1.09m,1999
10,10/19/16,4.82,4.86,4.80,4.84,182781,0.03,0.62%,4.84,883.69k,1251
11,10/18/16,4.79,4.84,4.78,4.81,320471,0.02,0.42%,4.81,1.54m,1566
12,10/17/16,4.79,4.82,4.79,4.79,216003,-0.01,-0.21%,4.79,1.04m,1106
13,10/14/16,4.84,4.84,4.79,4.80,364867,-0.01,-0.21%,4.80,1.75m,1894
14,10/13/16,4.80,4.84,4.79,4.81,390856,0.01,0.21%,4.81,1.88m,2109
15,10/12/16,4.77,4.86,4.75,4.80,585481,0.04,0.84%,4.80,2.82m,2706
16,10/11/16,4.75,4.79,4.74,4.76,643448,-0.01,-0.21%,4.76,3.06m,2928
17,10/10/16,4.72,4.80,4.72,4.77,332223,0.05,1.06%,4.77,1.59m,1885
18,10/07/16,4.73,4.75,4.69,4.72,543633,-0.01,-0.21%,4.72,2.57m,2402
19,10/06/16,4.75,4.79,4.72,4.73,741541,-0.03,-0.63%,4.73,3.52m,3136
20,10/05/16,4.77,4.83,4.76,4.76,573404,-0.02,-0.42%,4.76,2.74m,2503
21,10/04/16,4.87,4.87,4.77,4.78,1272333,-0.09,-1.85%,4.78,6.1m,3490
22,10/03/16,4.94,4.94,4.87,4.87,758422,-0.05,-1.02%,4.87,3.71m,3483
23,09/30/16,4.95,4.98,4.92,4.92,520585,-0.02,-0.40%,4.92,2.57m,2284
24,09/29/16,4.96,4.99,4.90,4.94,714460,-0.03,-0.60%,4.94,3.54m,3041
25,09/28/16,4.99,5.01,4.92,4.97,679178,0.009999,0.20%,4.97,3.37m,3197
26,09/27/16,5.10,5.14,5.08,5.11,702218,0.00,0.00%,4.96,3.59m,3148
27,09/26/16,5.12,5.17,5.10,5.11,583716,-0.009707,-0.20%,4.96,3m,2406
28,09/23/16,5.16,5.17,5.12,5.12,647752,-0.038825,-0.78%,4.9697,3.33m,3339
29,09/22/16,5.10,5.17,5.08,5.16,821899,0.067945,1.38%,5.0085,4.22m,3830
30,09/21/16,5.07,5.10,5.00,5.09,676735,0.029119,0.59%,4.9406,3.42m,3091
31,09/20/16,5.06,5.07,5.02,5.06,535846,0.02912,0.60%,4.9115,2.71m,2439
32,09/19/16,5.01,5.06,5.0099,5.03,522133,0.038825,0.80%,4.8823,2.63m,2467
33,09/16/16,5.04,5.04,4.96,4.99,1190402,-0.048532,-0.99%,4.8435,5.95m,3254
34,09/15/16,5.03,5.06,4.9757,5.04,685893,0.038826,0.80%,4.8921,3.45m,3109
35,09/14/16,4.98,5.015,4.94,5.00,886061,0.038826,0.81%,4.8532,4.42m,3813
36,09/13/16,5.00,5.03,4.94,4.96,1126722,-0.019413,-0.40%,4.8144,5.61m,5314
37,09/12/16,4.84,5.02,4.84,4.98,996560,0.116477,2.47%,4.8338,4.92m,4207
38,09/09/16,5.07,5.07,4.86,4.86,874685,-0.203835,-4.14%,4.7173,4.3m,3936
39,09/08/16,5.03,5.07,5.01,5.07,726494,0.038826,0.80%,4.9212,3.67m,3945
40,09/07/16,4.97,5.03,4.96,5.03,627152,0.067945,1.41%,4.8823,3.13m,2522
41,09/06/16,4.92,4.98,4.91,4.96,299921,0.038826,0.81%,4.8144,1.49m,1493
42,09/05/16,,,,4.92,0,,0.00%,4.7756,,
43,09/02/16,4.89,4.94,4.87,4.92,406110,0.048532,1.03%,4.7756,2m,1730
44,09/01/16,4.89,4.90,4.84,4.87,565819,-0.019413,-0.41%,4.727,2.75m,2562
45,08/31/16,4.90,4.91,4.86,4.89,382433,0.00,0.00%,4.7465,1.87m,1942
46,08/30/16,4.90,4.90,4.87,4.89,275839,0.009707,0.20%,4.7465,1.35m,1505
47,08/29/16,4.88,4.92,4.88,4.88,233476,-0.019413,-0.41%,4.7368,1.14m,1178
48,08/26/16,4.98,4.99,4.86,4.90,592938,-0.058239,-1.21%,4.7562,2.92m,2622
49,08/25/16,4.94,4.98,4.91,4.96,447273,0.019413,0.40%,4.8144,2.22m,1864
50,08/24/16,4.93,4.95,4.90,4.94,280527,0.00,0.00%,4.795,1.38m,1370
51,08/23/16,4.90,4.955,4.89,4.94,237526,0.038826,0.82%,4.795,1.17m,1191
52,08/22/16,4.90,4.93,4.87,4.90,350949,-0.009707,-0.20%,4.7562,1.72m,1679
53,08/19/16,4.94,4.94,4.90,4.91,353411,-0.019413,-0.41%,4.7659,1.74m,1435
54,08/18/16,4.92,4.95,4.90,4.93,378885,0.019413,0.41%,4.7853,1.86m,2162
55,08/17/16,4.90,4.92,4.87,4.91,464301,0.00,0.00%,4.7659,2.27m,2401
56,08/16/16,5.00,5.00,4.91,4.91,496797,-0.077652,-1.60%,4.7659,2.46m,2298
57,08/15/16,5.02,5.02,4.98,4.99,427767,-0.019412,-0.40%,4.8435,2.14m,2203
58,08/12/16,5.00,5.04,4.99,5.01,432040,-0.019413,-0.40%,4.8629,2.17m,2528
59,08/11/16,5.02,5.04,5.0001,5.03,243999,-0.009707,-0.20%,4.8823,1.23m,1179
60,08/10/16,5.04,5.05,5.015,5.04,425604,0.009707,0.20%,4.8921,2.14m,2132
61,08/09/16,4.98,5.04,4.96,5.03,634213,0.029119,0.60%,4.8823,3.17m,2989
62,08/08/16,5.01,5.04,5.00,5.00,512024,-0.009706,-0.20%,4.8532,2.57m,2556
63,08/05/16,4.89,5.01,4.88,5.01,856207,0.116477,2.45%,4.8629,4.25m,3618
64,08/04/16,4.94,5.00,4.89,4.89,1031111,-0.019413,-0.41%,4.7465,5.1m,5150
65,08/03/16,4.90,4.91,4.86,4.91,305607,0.02912,0.61%,4.7659,1.5m,2010
66,08/02/16,4.96,4.96,4.87,4.88,411377,-0.077652,-1.61%,4.7368,2.02m,2602
67,08/01/16,4.98,4.98,4.92,4.96,430659,0.038826,0.81%,4.8144,2.13m,1994
68,07/29/16,4.86,4.92,4.84,4.92,685582,0.087358,1.86%,4.7756,3.35m,2422
