,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,13.15,13.23,12.58,12.66,207260,-0.36,-2.76%,12.66,2.67m,1448
2,10/31/16,12.65,13.065,12.60,13.02,127260,0.36,2.84%,13.02,1.64m,822
3,10/28/16,12.64,12.81,12.60,12.66,112209,0.02,0.16%,12.66,1.42m,909
4,10/27/16,12.98,12.99,12.61,12.64,135051,-0.29,-2.24%,12.64,1.72m,841
5,10/26/16,13.17,13.19,12.86,12.93,93950,-0.33,-2.49%,12.93,1.22m,603
6,10/25/16,13.33,13.33,13.13,13.26,100894,-0.14,-1.04%,13.26,1.33m,836
7,10/24/16,13.32,13.46,13.22,13.40,105266,0.15,1.13%,13.40,1.4m,774
8,10/21/16,13.13,13.36,13.13,13.25,99187,0.06,0.45%,13.25,1.31m,570
9,10/20/16,13.25,13.40,13.1083,13.19,79259,-0.04,-0.30%,13.19,1.05m,545
10,10/19/16,13.16,13.298,13.0539,13.23,157707,0.21,1.61%,13.23,2.09m,1156
11,10/18/16,13.04,13.13,12.97,13.02,84996,0.06,0.46%,13.02,1.11m,745
12,10/17/16,12.90,13.05,12.7992,12.96,165964,0.11,0.86%,12.96,2.15m,886
13,10/14/16,12.54,12.95,12.49,12.85,256680,0.37,2.96%,12.85,3.29m,1655
14,10/13/16,12.32,12.6102,12.26,12.48,214415,0.16,1.30%,12.48,2.67m,1423
15,10/12/16,12.14,12.3396,12.11,12.32,123984,0.16,1.32%,12.32,1.52m,1143
16,10/11/16,12.57,12.579,12.02,12.16,252019,-0.39,-3.11%,12.16,3.08m,2000
17,10/10/16,12.54,12.6415,12.46,12.55,165454,0.07,0.56%,12.55,2.08m,1022
18,10/07/16,12.48,12.71,12.40,12.48,160302,-0.02,-0.16%,12.48,2.01m,906
19,10/06/16,12.27,12.58,12.10,12.50,304538,0.14,1.13%,12.50,3.77m,1500
