,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,25.60,25.66,25.57,25.60,8856,0.04,0.16%,25.60,226.72k,50
2,10/31/16,25.5193,25.60,25.42,25.56,15624,0.10,0.39%,25.56,398.62k,134
3,10/28/16,25.50,25.51,25.41,25.46,3978,0.01,0.04%,25.46,101.27k,30
4,10/27/16,25.76,25.76,25.44,25.45,7908,-0.1441,-0.56%,25.45,202.56k,63
5,10/26/16,26.07,26.07,25.58,25.5941,6592,-0.3909,-1.50%,25.5941,170.21k,41
6,10/25/16,25.9287,26.00,25.90,25.985,40327,0.0551,0.21%,25.985,1.05m,135
7,10/24/16,25.93,25.93,25.87,25.9299,4311,-0.0126,-0.05%,25.9299,111.68k,34
8,10/21/16,25.94,25.9597,25.8711,25.9425,5959,0.0325,0.13%,25.9425,154.43k,26
9,10/20/16,25.87,25.9566,25.87,25.91,3347,-0.04,-0.15%,25.91,86.82k,19
10,10/19/16,25.90,25.99,25.871,25.95,6372,0.05,0.19%,25.95,165.17k,32
11,10/18/16,25.80,25.97,25.80,25.90,6188,0.0536,0.21%,25.90,160.31k,52
12,10/17/16,25.80,25.88,25.7461,25.8464,6104,0.0265,0.10%,25.8464,157.6k,26
13,10/14/16,25.79,25.86,25.79,25.8199,10919,0.1399,0.54%,25.8199,281.77k,71
14,10/13/16,25.71,25.804,25.632,25.68,13081,-0.02,-0.08%,25.68,336.5k,46
15,10/12/16,25.75,25.75,25.51,25.70,7312,-0.08,-0.31%,25.70,187.14k,46
16,10/11/16,25.61,25.82,25.55,25.78,16632,0.03,0.12%,25.78,427.79k,99
17,10/10/16,25.72,25.8555,25.72,25.75,21625,0.05,0.19%,25.75,556.97k,97
18,10/07/16,25.7482,25.80,25.70,25.70,1820,-0.155,-0.60%,25.70,46.9k,14
19,10/06/16,25.81,25.8799,25.7554,25.855,9400,-0.015,-0.06%,25.855,242.72k,47
20,10/05/16,25.67,25.90,25.67,25.87,24389,0.19,0.74%,25.87,629.22k,120
21,10/04/16,25.60,25.68,25.5101,25.68,4665,-0.02,-0.08%,25.68,119.33k,36
22,10/03/16,25.39,25.70,25.3588,25.70,21627,0.29,1.14%,25.70,551.63k,84
23,09/30/16,25.40,25.42,25.3101,25.41,6014,0.02,0.08%,25.41,152.61k,39
24,09/29/16,25.45,25.45,25.35,25.39,6490,-0.06,-0.24%,25.39,164.91k,35
25,09/28/16,25.61,25.61,25.22,25.45,39199,-0.12,-0.47%,25.45,993.52k,68
26,09/27/16,25.54,25.63,25.54,25.57,8089,-0.0219,-0.09%,25.57,206.92k,33
27,09/26/16,25.54,25.62,25.521,25.5919,14638,-0.0181,-0.07%,25.5919,374.31k,47
28,09/23/16,25.47,25.61,25.47,25.61,13191,0.16,0.63%,25.61,337.21k,65
29,09/22/16,25.55,25.55,25.45,25.45,11743,-0.057,-0.22%,25.45,299.34k,65
30,09/21/16,25.5181,25.5486,25.42,25.507,6250,0.047,0.18%,25.507,159.26k,36
31,09/20/16,25.64,25.64,25.46,25.46,4648,-0.02,-0.08%,25.46,118.6k,30
32,09/19/16,25.59,25.69,25.47,25.48,19751,-0.11,-0.43%,25.48,505.14k,133
33,09/16/16,25.35,25.84,25.35,25.59,34973,0.18,0.71%,25.59,895.36k,214
34,09/15/16,25.60,25.70,25.33,25.41,16168,-0.06,-0.24%,25.41,412.32k,98
35,09/14/16,25.71,25.8899,25.42,25.47,15818,-0.0559,-0.22%,25.47,404.82k,136
36,09/13/16,25.75,25.7901,25.50,25.5259,14650,-0.086925,-0.34%,25.5259,375.13k,66
37,09/12/16,25.8092,25.98,25.8092,25.98,2597,0.187216,0.74%,25.6128,67.24k,29
38,09/09/16,26.05,26.05,25.76,25.7901,7749,-0.187216,-0.73%,25.4256,200.97k,83
39,09/08/16,26.05,26.0999,25.98,25.98,18064,-0.059152,-0.23%,25.6128,470.72k,47
40,09/07/16,26.15,26.33,26.02,26.04,17151,-0.108346,-0.42%,25.672,448.52k,139
41,09/06/16,26.06,26.15,26.0301,26.1499,10908,0.177357,0.69%,25.7803,284.77k,71
42,09/05/16,,,,25.97,0,,0.00%,25.603,,
43,09/02/16,25.89,26.1499,25.88,25.97,20756,-0.009859,-0.04%,25.603,539.54k,179
44,09/01/16,26.01,26.01,25.89,25.98,13924,-0.019717,-0.08%,25.6128,361.04k,76
45,08/31/16,26.14,26.14,26.00,26.00,4574,-0.069011,-0.27%,25.6325,119.28k,26
46,08/30/16,26.08,26.18,25.979,26.07,17696,-0.098586,-0.38%,25.7016,461.28k,91
47,08/29/16,26.08,26.25,25.99,26.17,20169,0.088728,0.35%,25.8001,526.25k,100
48,08/26/16,26.05,26.08,25.971,26.08,7715,0.049293,0.19%,25.7114,201k,41
49,08/25/16,25.92,26.04,25.90,26.03,36149,0.049293,0.19%,25.6621,939.25k,110
50,08/24/16,25.92,25.99,25.92,25.98,11305,0.059054,0.23%,25.6128,293.51k,36
51,08/23/16,25.94,25.97,25.9001,25.9201,35054,-0.008774,-0.03%,25.5538,909.58k,60
52,08/22/16,25.92,25.95,25.8867,25.929,7318,-0.020704,-0.08%,25.5625,189.71k,77
53,08/19/16,25.90,25.95,25.90,25.95,12936,0.128163,0.50%,25.5832,335.3k,55
54,08/18/16,25.88,25.88,25.71,25.82,13959,-0.138021,-0.54%,25.4551,359.77k,63
55,08/17/16,25.96,25.96,25.8601,25.96,5381,-0.009859,-0.04%,25.5931,139.46k,31
56,08/16/16,25.94,25.97,25.9001,25.97,13999,0.009859,0.04%,25.603,363.07k,76
57,08/15/16,25.83,25.96,25.8097,25.96,9984,0.17647,0.69%,25.5931,258.53k,62
58,08/12/16,25.78,25.8399,25.78,25.781,1818,-0.077884,-0.31%,25.4166,46.92k,15
59,08/11/16,25.80,25.86,25.79,25.86,5055,0.019718,0.08%,25.4945,130.64k,22
60,08/10/16,25.88,25.88,25.834,25.84,2079,0.039434,0.16%,25.4748,53.73k,11
61,08/09/16,25.74,25.80,25.7108,25.80,6002,0.019816,0.08%,25.4354,154.8k,55
62,08/08/16,25.70,25.7799,25.70,25.7799,6248,0.059054,0.23%,25.4156,161.01k,27
63,08/05/16,25.81,25.81,25.72,25.72,2564,0.029576,0.12%,25.3565,66.11k,18
64,08/04/16,25.87,25.928,25.69,25.69,9261,-0.256326,-1.00%,25.3269,239.26k,53
65,08/03/16,25.90,25.95,25.8859,25.95,3977,-0.019717,-0.08%,25.5832,103.07k,26
66,08/02/16,25.96,25.97,25.92,25.97,3827,0.045153,0.18%,25.603,99.29k,22
67,08/01/16,25.91,25.97,25.91,25.9242,11602,-0.045153,-0.18%,25.5578,301.04k,43
68,07/29/16,25.90,25.97,25.90,25.97,3908,0.019717,0.08%,25.603,101.33k,18
69,07/28/16,25.9499,25.954,25.90,25.95,3784,0.049294,0.19%,25.5832,98.11k,29
70,07/27/16,25.8322,25.96,25.8307,25.90,3038,0.098586,0.39%,25.534,78.66k,25
71,07/26/16,25.82,25.8799,25.77,25.80,12375,0.001578,0.01%,25.4354,319.44k,31
72,07/25/16,25.76,25.82,25.7501,25.7984,5919,-0.021295,-0.08%,25.4338,152.62k,31
73,07/22/16,25.7378,25.82,25.7378,25.82,4177,0.039533,0.16%,25.4551,107.64k,28
74,07/21/16,25.6746,25.78,25.6501,25.7799,6897,0.128064,0.51%,25.4156,177.38k,40
75,07/20/16,25.80,25.80,25.65,25.65,5848,-0.089516,-0.35%,25.2875,150.35k,41
76,07/19/16,25.59,25.7847,25.59,25.7408,36392,0.158527,0.63%,25.377,935.72k,122
77,07/18/16,25.60,25.86,25.5682,25.58,36439,0.039435,0.16%,25.2185,934.42k,90
78,07/15/16,25.61,25.6899,25.54,25.54,6142,-0.146303,-0.58%,25.179,157.36k,32
79,07/14/16,25.78,25.78,25.496,25.6884,9635,0.053533,0.21%,25.3253,246.63k,45
80,07/13/16,25.75,25.75,25.5901,25.6341,8938,-0.003845,-0.02%,25.2718,229.42k,62
81,07/12/16,25.76,25.76,25.638,25.638,5034,-0.001972,-0.01%,25.2757,129.3k,20
82,07/11/16,25.86,25.86,25.63,25.64,5529,-0.14788,-0.58%,25.2776,142.07k,38
83,07/08/16,25.82,25.82,25.70,25.79,6039,0.157739,0.62%,25.4255,155.56k,52
84,07/07/16,25.5601,25.81,25.5601,25.63,33726,0.039434,0.16%,25.2678,865.5k,146
85,07/06/16,25.69,25.82,25.56,25.59,12226,-0.128162,-0.51%,25.2283,313.32k,35
86,07/05/16,25.87,25.90,25.7101,25.72,5368,-0.246467,-0.96%,25.3565,138.55k,54
87,07/04/16,,,,25.97,0,,0.00%,25.603,,
88,07/01/16,25.90,25.97,25.82,25.97,7851,0.098587,0.39%,25.603,203.17k,77
89,06/30/16,25.7561,25.87,25.70,25.87,7442,0.187512,0.74%,25.5044,191.73k,63
90,06/29/16,25.87,25.9699,25.6798,25.6798,7758,-0.049491,-0.20%,25.3169,200.66k,38
91,06/28/16,25.82,25.881,25.7287,25.73,3696,-0.049195,-0.19%,25.3664,95.45k,18
