,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,16.00,16.125,14.83,14.94,496385,-1.02,-6.39%,14.94,7.48m,5757
2,10/31/16,15.65,16.03,14.92,15.96,665897,0.30,1.92%,15.96,10.34m,6887
3,10/28/16,15.83,16.26,15.60,15.66,392363,-0.27,-1.69%,15.66,6.21m,4659
4,10/27/16,16.33,16.44,15.55,15.93,403487,-0.52,-3.16%,15.93,6.45m,4832
5,10/26/16,16.41,16.87,16.14,16.45,694386,-0.11,-0.66%,16.45,11.46m,7267
6,10/25/16,16.55,16.97,16.385,16.56,649240,-0.16,-0.96%,16.56,10.79m,7054
7,10/24/16,16.48,16.96,16.05,16.72,529095,0.39,2.39%,16.72,8.77m,4939
8,10/21/16,16.18,16.92,16.00,16.33,710599,-0.04,-0.24%,16.33,11.56m,7138
9,10/20/16,16.05,16.51,15.76,16.37,575059,0.16,0.99%,16.37,9.36m,6662
10,10/19/16,16.07,16.55,15.96,16.21,607147,0.11,0.68%,16.21,9.91m,6665
11,10/18/16,16.30,16.31,16.00,16.10,669249,0.08,0.50%,16.10,10.79m,7414
12,10/17/16,15.43,16.339,15.31,16.02,881704,0.40,2.56%,16.02,14.02m,7859
13,10/14/16,15.04,16.10,14.91,15.62,1118853,0.49,3.24%,15.62,17.35m,8935
14,10/13/16,15.15,15.32,14.92,15.13,1147834,0.15,1.00%,15.13,17.32m,10102
15,10/12/16,15.02,15.68,14.22,14.98,2114674,-0.66,-4.22%,14.98,32.1m,13188
16,10/11/16,15.07,16.0295,15.00,15.64,1859024,0.02,0.13%,15.64,29m,12616
17,10/10/16,15.20,16.32,15.18,15.62,1873130,0.52,3.44%,15.62,29.07m,12746
18,10/07/16,14.00,15.53,13.70,15.10,4259973,1.09,7.78%,15.10,61.14m,22107
19,10/06/16,13.86,14.445,13.75,14.01,2430031,-0.15,-1.06%,14.01,34.18m,11952
20,10/05/16,14.90,14.9399,14.00,14.16,3722343,-0.84,-5.60%,14.16,53.41m,14710
21,10/04/16,16.45,16.45,14.90,15.00,2288142,-1.41,-8.59%,15.00,34.83m,17939
22,10/03/16,16.50,16.59,14.45,16.41,6622241,16.41,0.00%,16.41,104.96m,17450
