,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,7.66,7.83,7.47,7.65,815961,-0.01,-0.13%,7.65,6.22m,5718
2,10/31/16,7.88,7.90,7.30,7.66,1494001,0.19,2.54%,7.66,11.39m,8235
3,10/28/16,8.25,8.28,6.35,7.47,3750311,-1.52,-16.91%,7.47,26.37m,16849
4,10/27/16,9.22,9.26,8.97,8.99,465698,-0.09,-0.99%,8.99,4.21m,2956
5,10/26/16,9.06,9.21,8.97,9.08,371619,0.03,0.33%,9.08,3.38m,2344
6,10/25/16,9.46,9.54,8.92,9.05,739971,-0.44,-4.64%,9.05,6.74m,4407
7,10/24/16,9.50,9.64,9.46,9.49,528840,-0.01,-0.11%,9.49,5.04m,2667
8,10/21/16,9.40,9.58,9.31,9.50,245253,0.04,0.42%,9.50,2.33m,1778
9,10/20/16,9.41,9.56,9.41,9.46,158371,-0.01,-0.11%,9.46,1.5m,1210
10,10/19/16,9.50,9.60,9.41,9.47,187110,0.03,0.32%,9.47,1.78m,1271
11,10/18/16,9.58,9.71,9.40,9.44,192464,-0.06,-0.63%,9.44,1.83m,1187
12,10/17/16,9.39,9.53,9.39,9.50,169389,0.11,1.17%,9.50,1.61m,1302
13,10/14/16,9.48,9.54,9.35,9.39,345121,-0.06,-0.63%,9.39,3.25m,2115
14,10/13/16,9.49,9.50,9.35,9.45,253017,-0.09,-0.94%,9.45,2.39m,1988
15,10/12/16,9.70,9.82,9.44,9.54,251529,-0.13,-1.34%,9.54,2.41m,1729
16,10/11/16,10.06,10.06,9.62,9.67,265255,-0.41,-4.07%,9.67,2.59m,1620
17,10/10/16,9.86,10.10,9.86,10.08,255949,0.16,1.61%,10.08,2.57m,2011
18,10/07/16,9.74,10.28,9.62,9.92,503506,0.17,1.74%,9.92,5.01m,2594
19,10/06/16,9.71,9.77,9.52,9.75,438231,-0.06,-0.61%,9.75,4.24m,2618
20,10/05/16,9.96,10.06,9.74,9.81,1243267,-0.83,-7.80%,9.81,12.31m,5614
21,10/04/16,10.71,10.86,10.61,10.64,241089,-0.13,-1.21%,10.64,2.58m,1544
22,10/03/16,10.69,10.78,10.585,10.77,309342,0.08,0.75%,10.77,3.31m,2007
23,09/30/16,10.53,10.865,10.46,10.69,671743,0.19,1.81%,10.69,7.17m,2996
24,09/29/16,10.59,10.66,10.42,10.50,267511,-0.10,-0.94%,10.50,2.81m,1919
25,09/28/16,10.54,10.65,10.46,10.60,256911,0.01,0.09%,10.60,2.72m,2072
26,09/27/16,10.35,10.611,10.3215,10.59,412765,0.28,2.72%,10.59,4.34m,2785
27,09/26/16,10.50,10.50,10.27,10.31,247765,-0.22,-2.09%,10.31,2.57m,1450
28,09/23/16,10.53,10.62,10.36,10.53,329477,-0.01,-0.09%,10.53,3.46m,2119
29,09/22/16,10.52,10.64,10.43,10.54,559364,0.05,0.48%,10.54,5.9m,3192
30,09/21/16,10.33,10.50,10.24,10.49,291584,0.21,2.04%,10.49,3.04m,1712
31,09/20/16,10.41,10.49,10.28,10.28,274643,-0.11,-1.06%,10.28,2.84m,1975
32,09/19/16,10.26,10.44,10.19,10.39,492283,0.19,1.86%,10.39,5.1m,2584
33,09/16/16,10.15,10.25,10.10,10.20,421085,-0.02,-0.20%,10.20,4.29m,1745
34,09/15/16,9.95,10.35,9.94,10.22,580393,0.30,3.02%,10.22,5.91m,2878
35,09/14/16,9.82,10.03,9.78,9.92,306041,0.11,1.12%,9.92,3.05m,2337
36,09/13/16,10.07,10.11,9.56,9.81,534326,-0.36,-3.54%,9.81,5.22m,3732
