,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,6.59,6.625,6.29,6.39,6313182,-0.16,-2.44%,6.39,40.52m,23516
2,10/31/16,6.75,6.76,6.50,6.55,6113616,-0.08,-1.21%,6.55,40.1m,19900
3,10/28/16,6.76,6.80,6.55,6.63,3758047,-0.10,-1.49%,6.63,24.97m,16080
4,10/27/16,6.89,6.92,6.61,6.73,5378993,-0.12,-1.75%,6.73,36.1m,16349
5,10/26/16,6.79,6.87,6.67,6.85,5313131,-0.04,-0.58%,6.85,36.06m,20947
6,10/25/16,6.83,6.96,6.73,6.89,4418362,0.06,0.88%,6.89,30.32m,13968
7,10/24/16,6.90,6.95,6.75,6.83,3054435,0.07,1.04%,6.83,20.86m,10964
8,10/21/16,6.55,6.83,6.50,6.76,9736158,0.17,2.58%,6.76,65.33m,16549
9,10/20/16,6.56,6.71,6.55,6.59,3614064,-0.04,-0.60%,6.59,23.88m,12827
10,10/19/16,6.65,6.66,6.55,6.63,4454889,0.01,0.15%,6.63,29.45m,15635
11,10/18/16,6.32,6.835,6.19,6.62,17036289,0.43,6.95%,6.62,112.07m,36994
12,10/17/16,6.34,6.34,6.15,6.19,3368697,-0.09,-1.43%,6.19,20.9m,12131
13,10/14/16,6.04,6.33,6.03,6.28,5565863,0.28,4.67%,6.28,34.85m,16126
14,10/13/16,5.93,6.06,5.87,6.00,2532050,0.00,0.00%,6.00,15.14m,10040
15,10/12/16,6.00,6.05,5.94,6.00,3172849,0.00,0.00%,6.00,19.05m,12010
16,10/11/16,6.08,6.12,5.90,6.00,3850730,-0.16,-2.60%,6.00,23.02m,13446
17,10/10/16,6.17,6.30,6.04,6.16,4327738,0.04,0.65%,6.16,26.61m,15760
18,10/07/16,6.17,6.23,5.94,6.12,5282427,0.00,0.00%,6.12,32.15m,21042
19,10/06/16,5.92,6.18,5.90,6.12,9607278,0.18,3.03%,6.12,58.27m,27409
20,10/05/16,5.57,5.96,5.55,5.94,5672680,0.38,6.83%,5.94,33.05m,18801
21,10/04/16,5.59,5.70,5.47,5.56,2916192,-0.08,-1.42%,5.56,16.27m,11294
22,10/03/16,5.71,5.74,5.56,5.64,4488651,-0.02,-0.35%,5.64,25.22m,14773
23,09/30/16,5.56,5.735,5.56,5.66,4571806,0.14,2.54%,5.66,25.9m,11370
24,09/29/16,5.67,5.70,5.44,5.52,3508534,-0.12,-2.13%,5.52,19.49m,12984
25,09/28/16,5.78,5.83,5.49,5.64,3339869,-0.10,-1.74%,5.64,18.74m,15124
26,09/27/16,5.62,5.75,5.59,5.74,2735497,0.13,2.32%,5.74,15.58m,10811
27,09/26/16,5.78,5.7999,5.5835,5.61,2645001,-0.23,-3.94%,5.61,14.92m,10801
28,09/23/16,5.64,5.88,5.63,5.84,3446414,0.10,1.74%,5.84,19.98m,11781
29,09/22/16,5.69,5.79,5.645,5.74,3640669,0.10,1.77%,5.74,20.83m,10431
30,09/21/16,5.50,5.65,5.45,5.64,3675129,0.19,3.49%,5.64,20.42m,14430
31,09/20/16,5.56,5.59,5.42,5.45,5852525,-0.09,-1.62%,5.45,32.01m,13158
32,09/19/16,5.30,5.56,5.24,5.54,5033090,0.27,5.12%,5.54,27.52m,15187
33,09/16/16,5.29,5.30,5.17,5.27,5283129,0.00,0.00%,5.27,27.69m,13439
34,09/15/16,5.25,5.30,5.21,5.27,3700179,0.04,0.76%,5.27,19.46m,11520
35,09/14/16,5.27,5.29,5.20,5.23,4425785,-0.05,-0.95%,5.23,23.17m,15781
36,09/13/16,5.50,5.56,5.19,5.28,7650461,-0.38,-6.71%,5.28,40.6m,23680
37,09/12/16,5.40,5.66,5.35,5.66,3022180,0.22,4.04%,5.66,16.8m,12200
38,09/09/16,5.69,5.83,5.43,5.44,5894200,-0.41,-7.01%,5.44,32.97m,19720
39,09/08/16,5.92,5.93,5.77,5.85,3749270,-0.06,-1.02%,5.85,21.93m,14123
40,09/07/16,5.90,5.965,5.845,5.91,6531572,-0.01,-0.17%,5.91,38.46m,20103
41,09/06/16,5.81,5.92,5.80,5.92,5900425,0.09,1.54%,5.92,34.7m,19072
42,09/05/16,,,,5.83,0,,0.00%,5.83,,
43,09/02/16,5.59,5.85,5.56,5.83,7205905,0.27,4.86%,5.83,41.68m,18615
44,09/01/16,5.73,5.74,5.50,5.56,4410434,-0.14,-2.46%,5.56,24.56m,19028
45,08/31/16,5.73,5.77,5.64,5.70,4124399,-0.02,-0.35%,5.70,23.47m,15457
46,08/30/16,5.75,5.79,5.655,5.72,3019441,-0.04,-0.69%,5.72,17.28m,10544
47,08/29/16,5.78,5.84,5.72,5.76,4457218,0.03,0.52%,5.76,25.7m,13047
48,08/26/16,5.68,5.8363,5.63,5.73,4897666,0.03,0.53%,5.73,28.01m,21395
49,08/25/16,5.59,5.71,5.575,5.70,5434915,0.10,1.79%,5.70,30.8m,14072
50,08/24/16,5.57,5.65,5.49,5.60,4106953,-0.01,-0.18%,5.60,22.93m,11929
51,08/23/16,5.64,5.685,5.56,5.61,3899240,0.04,0.72%,5.61,21.89m,12856
52,08/22/16,5.55,5.635,5.42,5.57,4892394,-0.03,-0.54%,5.57,27.18m,15834
53,08/19/16,5.46,5.67,5.46,5.60,4147355,0.06,1.08%,5.60,23.17m,12841
54,08/18/16,5.40,5.54,5.38,5.54,4514848,0.17,3.17%,5.54,24.88m,9830
55,08/17/16,5.53,5.535,5.31,5.37,4097411,-0.17,-3.07%,5.37,22.09m,14482
56,08/16/16,5.50,5.565,5.39,5.54,4180562,0.00,0.00%,5.54,23.01m,13029
57,08/15/16,5.50,5.705,5.43,5.54,6910470,0.11,2.03%,5.54,38.51m,23834
58,08/12/16,5.25,5.49,5.21,5.43,9588871,0.21,4.02%,5.43,51.85m,20537
59,08/11/16,5.22,5.35,5.17,5.22,6631118,0.05,0.97%,5.22,34.82m,17156
60,08/10/16,5.17,5.20,5.035,5.17,4268071,0.01,0.19%,5.17,21.89m,15077
