,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,20.02,20.36,18.26,18.87,1405994,-1.6607,-8.18%,18.6537,26.46m,10786
2,10/31/16,20.73,20.85,20.44,20.55,355620,-0.088968,-0.44%,20.3144,7.32m,2684
3,10/28/16,20.62,20.82,20.50,20.64,108089,0.019771,0.10%,20.4034,2.23m,922
4,10/27/16,20.79,20.97,20.57,20.62,201912,-0.049427,-0.24%,20.3836,4.18m,1832
5,10/26/16,20.27,20.76,20.26,20.67,210793,0.27679,1.37%,20.433,4.35m,1765
6,10/25/16,20.53,20.55,20.16,20.39,157068,-0.168051,-0.83%,20.1562,3.2m,1389
7,10/24/16,20.54,21.12,20.495,20.56,293124,0.14828,0.73%,20.3243,6.07m,2667
8,10/21/16,19.97,20.46,19.97,20.41,336385,0.158166,0.79%,20.176,6.82m,1990
9,10/20/16,20.29,20.455,20.15,20.25,187018,-0.079083,-0.39%,20.0179,3.79m,1415
10,10/19/16,19.77,20.50,19.74,20.33,284013,0.603007,3.09%,20.0969,5.76m,2441
11,10/18/16,19.78,19.78,19.35,19.72,293217,0.237249,1.23%,19.4939,5.74m,2628
12,10/17/16,19.47,19.65,19.30,19.48,248742,0.00,0.00%,19.2567,4.85m,2266
13,10/14/16,19.86,20.12,19.44,19.48,213386,-0.168051,-0.87%,19.2567,4.18m,2025
14,10/13/16,19.98,19.98,19.44,19.65,481145,-0.494268,-2.48%,19.4247,9.46m,3116
15,10/12/16,20.27,20.408,20.08,20.15,190441,-0.079083,-0.40%,19.919,3.85m,1748
16,10/11/16,20.67,20.7925,20.00,20.23,480195,-0.573351,-2.79%,19.9981,9.75m,3565
17,10/10/16,20.54,20.97,20.495,20.81,259986,0.365758,1.81%,20.5714,5.4m,2348
18,10/07/16,20.31,20.5061,20.12,20.44,350133,0.098854,0.49%,20.2057,7.14m,2086
19,10/06/16,20.13,20.355,19.87,20.34,315713,0.197707,0.99%,20.1068,6.37m,2679
20,10/05/16,20.03,20.27,19.89,20.14,285538,0.266905,1.36%,19.9091,5.75m,2453
21,10/04/16,19.94,20.27,19.72,19.87,354848,0.029656,0.15%,19.6422,7.05m,2215
22,10/03/16,19.84,19.87,19.61,19.84,215427,-0.019771,-0.10%,19.6126,4.26m,1931
23,09/30/16,19.82,20.06,19.63,19.86,502093,0.27679,1.43%,19.6323,10m,3428
24,09/29/16,20.24,20.30,19.38,19.58,641782,-0.652434,-3.26%,19.3555,12.67m,5484
25,09/28/16,19.68,20.25,19.63,20.24,423929,0.603007,3.11%,20.008,8.47m,2954
26,09/27/16,19.79,20.15,19.49,19.63,536764,-0.217478,-1.11%,19.405,10.61m,3945
27,09/26/16,19.54,19.92,19.34,19.85,619467,0.108739,0.56%,19.6224,12.2m,4073
28,09/23/16,19.77,19.92,19.6554,19.74,196046,-0.088968,-0.45%,19.5137,3.87m,1822
29,09/22/16,19.68,20.02,19.68,19.83,188748,0.345988,1.80%,19.6027,3.74m,1592
