,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,28.25,28.27,27.82,27.99,5870574,-0.33,-1.17%,27.99,164.64m,28316
2,10/31/16,28.50,28.59,28.30,28.32,4552864,-0.28,-0.98%,28.32,129.44m,22522
3,10/28/16,28.44,28.765,28.08,28.60,13840721,0.06,0.21%,28.60,393.73m,55270
4,10/27/16,30.00,30.03,28.00,28.54,20211174,-1.05,-3.55%,28.54,578.81m,94463
5,10/26/16,29.45,29.72,29.39,29.59,3803069,-0.20,-0.67%,29.59,112.36m,19245
6,10/25/16,29.90,30.04,29.40,29.79,8936796,-0.29,-0.96%,29.79,266.17m,40134
7,10/24/16,30.24,30.27,30.02,30.08,4133652,-0.64,-2.08%,30.08,124.52m,20363
8,10/21/16,30.68,30.86,30.605,30.72,2681479,-0.28,-0.90%,30.72,82.4m,15600
9,10/20/16,30.78,31.139,30.76,31.00,3004649,0.22,0.71%,31.00,93.12m,15597
10,10/19/16,30.90,31.02,30.77,30.78,3033167,-0.49,-1.57%,30.78,93.64m,16583
11,10/18/16,31.39,31.41,31.155,31.27,3923081,0.54,1.76%,31.27,122.84m,22547
12,10/17/16,30.32,31.10,30.27,30.73,8283519,0.14,0.46%,30.73,253.95m,41268
13,10/14/16,30.72,30.84,30.57,30.59,4253067,-0.25,-0.81%,30.59,130.43m,19475
14,10/13/16,30.42,30.96,30.40,30.84,3447799,0.04,0.13%,30.84,105.89m,21450
15,10/12/16,30.98,31.08,30.685,30.80,3401032,-0.32,-1.03%,30.80,104.85m,15823
16,10/11/16,31.56,31.69,31.045,31.12,5619033,-0.94,-2.93%,31.12,176.01m,23653
17,10/10/16,32.02,32.195,32.02,32.06,3693999,-0.23,-0.71%,32.06,118.59m,18706
18,10/07/16,32.08,32.355,32.00,32.29,4009040,0.03,0.09%,32.29,128.9m,18241
19,10/06/16,32.30,32.44,32.17,32.26,3514564,-0.34,-1.04%,32.26,113.49m,16794
20,10/05/16,32.57,32.76,32.51,32.60,4325343,0.03,0.09%,32.60,141.14m,19580
21,10/04/16,32.97,33.27,32.335,32.57,5415371,-0.43,-1.30%,32.57,176.61m,28299
22,10/03/16,32.86,33.05,32.72,33.00,3088843,0.14,0.43%,33.00,101.61m,17849
23,09/30/16,32.91,33.17,32.86,32.86,4557364,-0.19,-0.57%,32.86,150.35m,22106
24,09/29/16,33.44,33.47,32.77,33.05,6969862,-0.77,-2.28%,33.05,230.64m,28935
25,09/28/16,33.99,34.09,33.73,33.82,8517959,0.21,0.62%,33.82,288.44m,21358
26,09/27/16,33.05,33.63,32.98,33.61,3677853,0.06,0.18%,33.61,122.85m,17875
27,09/26/16,33.67,33.705,33.4269,33.55,4243288,-0.42,-1.24%,33.55,142.45m,14868
28,09/23/16,33.95,34.15,33.89,33.97,3795020,-0.31,-0.90%,33.97,129.03m,19242
29,09/22/16,34.23,34.34,34.11,34.28,4547893,0.53,1.57%,34.28,155.83m,17959
30,09/21/16,33.48,33.78,33.185,33.75,3941453,0.10,0.30%,33.75,132.1m,18561
31,09/20/16,33.98,34.06,33.5899,33.65,3429700,0.13,0.39%,33.65,115.82m,16957
32,09/19/16,33.61,33.74,33.46,33.52,3330061,-0.30,-0.89%,33.52,111.88m,16986
33,09/16/16,34.12,34.15,33.68,33.82,5154736,0.16,0.48%,33.82,174.8m,22804
34,09/15/16,33.19,33.8194,33.00,33.66,6023890,0.56,1.69%,33.66,201.74m,24784
35,09/14/16,32.91,33.27,32.83,33.10,6971713,0.36,1.10%,33.10,230.94m,24675
36,09/13/16,32.86,32.985,32.48,32.74,5833713,-0.50,-1.50%,32.74,190.84m,22475
37,09/12/16,32.53,33.34,32.47,33.24,3603504,1.04,3.23%,33.24,118.77m,22566
38,09/09/16,32.85,32.85,32.185,32.20,4467135,-0.84,-2.54%,32.20,144.92m,15067
39,09/08/16,32.83,33.08,32.82,33.04,6069396,-0.14,-0.42%,33.04,200.25m,19593
40,09/07/16,33.07,33.21,32.96,33.18,4487444,0.09,0.27%,33.18,148.61m,17952
41,09/06/16,33.18,33.285,33.04,33.09,3789101,-0.22,-0.66%,33.09,125.56m,21671
42,09/05/16,,,,33.31,0,,0.00%,33.31,,
43,09/02/16,33.08,33.4769,32.96,33.31,3646805,0.71,2.18%,33.31,121.42m,19702
44,09/01/16,32.37,32.69,32.36,32.60,6530974,-0.21,-0.64%,32.60,212.66m,27890
45,08/31/16,32.72,32.86,32.61,32.81,4773605,-0.40,-1.20%,32.81,156.36m,25402
46,08/30/16,33.15,33.31,33.07,33.21,4694221,-0.09,-0.27%,33.21,155.89m,19737
47,08/29/16,33.11,33.418,33.05,33.30,2478380,0.25,0.76%,33.30,82.42m,16050
48,08/26/16,33.15,33.445,32.785,33.05,4839141,-0.18,-0.54%,33.05,160.1m,21110
49,08/25/16,33.30,33.56,33.12,33.23,3894928,-0.27,-0.81%,33.23,129.92m,16127
50,08/24/16,34.15,34.51,33.42,33.50,5432011,-0.33,-0.98%,33.50,184.33m,24807
51,08/23/16,33.98,34.07,33.72,33.83,4632250,-0.02,-0.06%,33.83,156.87m,17373
52,08/22/16,33.56,33.985,33.56,33.85,6350125,0.29,0.86%,33.85,214.99m,24758
53,08/19/16,33.53,33.57,33.3142,33.56,3266344,-0.01,-0.03%,33.56,109.3m,11453
54,08/18/16,33.41,33.69,33.38,33.57,3092237,-0.05,-0.15%,33.57,103.71m,12680
55,08/17/16,33.56,33.70,33.33,33.62,3680334,0.07,0.21%,33.62,123.33m,18236
56,08/16/16,33.50,33.72,33.445,33.55,3945206,0.11,0.33%,33.55,132.43m,20101
57,08/15/16,33.65,33.72,33.42,33.44,3672948,-0.10,-0.30%,33.44,123.32m,17676
58,08/12/16,33.57,33.75,33.38,33.54,5102921,-0.27,-0.80%,33.54,170.95m,21119
59,08/11/16,33.69,33.97,33.61,33.81,3568075,0.26,0.77%,33.81,120.6m,16096
60,08/10/16,33.76,33.76,33.50,33.55,3310140,-0.14,-0.42%,33.55,111.27m,20182
61,08/09/16,34.08,34.28,34.05,33.69,4840057,-0.365364,-1.07%,33.69,165.35m,25539
62,08/08/16,34.18,34.62,34.15,34.50,6084947,0.217165,0.64%,34.0554,209.64m,27991
63,08/05/16,34.98,35.04,34.18,34.28,11262579,-0.019743,-0.06%,33.8382,388.55m,51700
64,08/04/16,34.07,34.46,34.03,34.30,6766477,0.207294,0.62%,33.8579,232.03m,22764
65,08/03/16,33.76,34.26,33.76,34.09,9400315,-0.118454,-0.35%,33.6506,320.19m,40480
66,08/02/16,34.00,34.34,33.8301,34.21,7691553,0.365232,1.09%,33.7691,262.12m,37152
67,08/01/16,33.66,34.07,33.66,33.84,6605200,-0.296134,-0.88%,33.4039,223.87m,30026
68,07/29/16,34.01,34.335,33.47,34.14,11506526,-0.148066,-0.44%,33.70,391.79m,57922
69,07/28/16,32.54,34.35,32.51,34.29,20001285,2.7146,8.72%,33.8481,673.65m,87418
70,07/27/16,31.05,31.57,31.04,31.54,9422909,0.62188,2.04%,31.1335,295.25m,33785
71,07/26/16,31.12,31.20,30.75,30.91,8335475,-0.236907,-0.77%,30.5116,257.56m,26296
72,07/25/16,31.07,31.28,30.89,31.15,8189835,0.019742,0.06%,30.7485,254.75m,26744
73,07/22/16,30.44,31.23,30.40,31.13,12323120,0.592268,1.97%,30.7288,380.99m,47331
