,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,14.66,14.74,14.62,14.72,26425,0.059719,0.41%,14.651,388.02k,141
2,10/31/16,14.80,14.80,14.65,14.66,15502,-0.069771,-0.48%,14.5913,227.71k,80
3,10/28/16,14.78,14.78,14.73,14.7301,16325,-0.079526,-0.54%,14.6611,240.88k,48
4,10/27/16,14.84,14.8809,14.76,14.81,25951,-0.169204,-1.13%,14.7406,384.49k,163
5,10/26/16,15.16,15.18,14.91,14.98,39838,-0.104508,-0.70%,14.9098,599.62k,153
6,10/25/16,15.11,15.15,15.02,15.085,26040,0.01493,0.10%,15.0143,392.63k,87
7,10/24/16,15.24,15.24,15.01,15.07,36927,-0.024385,-0.16%,14.9994,557.24k,100
8,10/21/16,15.18,15.20,15.0004,15.0945,36916,0.004479,0.03%,15.0238,556.24k,159
9,10/20/16,15.01,15.1999,14.90,15.09,63942,0.149297,1.00%,15.0193,962.36k,396
10,10/19/16,14.70,14.97,14.70,14.94,38323,0.288641,1.98%,14.87,569.95k,147
11,10/18/16,14.64,14.74,14.62,14.65,51539,0.019907,0.14%,14.5814,756.17k,243
12,10/17/16,14.81,14.89,14.63,14.63,56855,-0.228923,-1.55%,14.5615,836.96k,194
13,10/14/16,15.02,15.02,14.86,14.86,27559,-0.154771,-1.04%,14.7904,411.79k,139
14,10/13/16,15.16,15.17,15.00,15.0155,16972,-0.143823,-0.95%,14.9452,255.75k,63
15,10/12/16,15.35,15.35,15.16,15.16,13370,-0.120924,-0.80%,15.089,203.88k,50
16,10/11/16,15.51,15.51,15.34,15.35,6152,-0.089178,-0.58%,15.2099,94.76k,48
17,10/10/16,15.51,15.52,15.44,15.44,6341,-0.07927,-0.52%,15.2991,98.1k,20
18,10/07/16,15.54,15.54,15.43,15.52,7841,0.039634,0.26%,15.3783,121.45k,28
19,10/06/16,15.50,15.53,15.48,15.48,10102,-0.023583,-0.15%,15.3387,156.49k,24
20,10/05/16,15.60,15.70,15.47,15.5038,11041,-0.025961,-0.17%,15.3623,171.68k,59
21,10/04/16,15.65,15.6999,15.46,15.53,35076,-0.138722,-0.89%,15.3883,545.08k,115
22,10/03/16,15.85,15.87,15.65,15.67,19588,-0.108996,-0.70%,15.527,308.55k,121
23,09/30/16,15.79,15.83,15.74,15.78,22589,0.019818,0.13%,15.636,356.35k,158
24,09/29/16,15.99,16.01,15.74,15.76,19173,-0.188266,-1.19%,15.6162,303.79k,105
25,09/28/16,16.00,16.06,15.94,15.95,35056,-0.009909,-0.06%,15.8044,560.12k,151
26,09/27/16,15.90,15.96,15.86,15.96,6747,0.099087,0.63%,15.8143,107.38k,23
27,09/26/16,15.82,15.90,15.82,15.86,8150,-0.010899,-0.07%,15.7152,129.19k,25
28,09/23/16,15.90,15.99,15.871,15.871,7787,-0.06837,-0.43%,15.7261,123.92k,38
29,09/22/16,15.89,16.05,15.89,15.94,10166,0.158539,1.01%,15.7945,162.35k,62
30,09/21/16,15.78,15.78,15.76,15.78,2014,0.00991,0.06%,15.636,31.78k,7
31,09/20/16,15.77,15.78,15.68,15.77,12761,0.06936,0.45%,15.6261,200.77k,74
32,09/19/16,15.77,15.92,15.65,15.70,14113,-0.029726,-0.19%,15.5567,221.83k,59
33,09/16/16,15.94,15.94,15.73,15.73,13925,-0.089178,-0.57%,15.5864,220.22k,60
34,09/15/16,15.87,15.91,15.82,15.82,12180,0.00,0.00%,15.6756,193.37k,63
35,09/14/16,15.91,15.95,15.81,15.82,9888,-0.059453,-0.38%,15.6756,156.87k,51
