,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,10.33,10.35,9.88,10.02,8153530,-0.389586,-3.75%,10.0094,81.96m,18398
2,10/31/16,10.36,10.45,10.23,10.41,10599737,0.299681,2.97%,10.399,109.98m,26238
3,10/28/16,10.14,10.21,9.965,10.11,9388113,-0.049947,-0.49%,10.0993,94.94m,22611
4,10/27/16,10.27,10.347,10.125,10.16,9207212,0.099893,0.99%,10.1492,94.09m,22128
5,10/26/16,10.10,10.20,10.01,10.06,10015921,-0.149841,-1.47%,10.0494,101.16m,23839
6,10/25/16,10.13,10.29,10.02,10.21,11949104,-0.029968,-0.29%,10.1992,121.22m,26534
7,10/24/16,10.39,10.43,10.145,10.24,9595478,0.019979,0.20%,10.2292,98.27m,22092
8,10/21/16,10.24,10.30,10.2001,10.22,6046054,-0.129862,-1.26%,10.2092,61.99m,13603
9,10/20/16,10.09,10.37,10.07,10.35,11681306,0.279703,2.78%,10.339,119.81m,32703
10,10/19/16,10.18,10.28,10.06,10.07,9721816,-0.099893,-0.98%,10.0593,98.6m,23236
11,10/18/16,9.97,10.21,9.84,10.17,38856600,0.359619,3.67%,10.1592,390.62m,25971
12,10/17/16,9.67,9.85,9.62,9.81,10666849,0.15983,1.66%,9.7996,104.27m,27285
13,10/14/16,9.76,9.8099,9.64,9.65,6290495,0.00,0.00%,9.6398,61.03m,15330
14,10/13/16,9.45,9.69,9.33,9.65,9356998,0.199789,2.12%,9.6398,89.26m,25625
15,10/12/16,9.54,9.595,9.41,9.45,31376081,-0.129864,-1.36%,9.44,297.18m,15805
16,10/11/16,9.50,9.58,9.44,9.58,6624801,-0.00999,-0.10%,9.5699,63.06m,15444
17,10/10/16,9.61,9.6864,9.53,9.59,6513557,0.059938,0.63%,9.5798,62.56m,15366
18,10/07/16,9.56,9.57,9.335,9.53,9351454,0.109884,1.17%,9.5199,88.8m,22124
19,10/06/16,9.35,9.45,9.33,9.42,12060943,0.00,0.00%,9.41,113.23m,25027
20,10/05/16,9.40,9.47,9.34,9.42,7816026,0.169819,1.84%,9.41,73.58m,19732
21,10/04/16,9.31,9.37,9.16,9.25,14038030,-0.034991,-0.38%,9.2402,129.94m,33545
22,10/03/16,8.97,9.30,8.93,9.29,11345494,0.381298,4.29%,9.2752,104.15m,28476
23,09/30/16,9.18,9.22,9.02,9.07,10680166,0.039224,0.44%,8.8939,97.46m,23910
24,09/29/16,9.33,9.37,9.00,9.03,13839753,-0.294174,-3.22%,8.8547,126.92m,30801
25,09/28/16,9.255,9.35,9.07,9.33,11590115,0.098058,1.08%,9.1488,106.81m,24157
26,09/27/16,9.02,9.25,8.94,9.23,11923157,0.235338,2.67%,9.0508,109m,31311
27,09/26/16,9.00,9.065,8.94,8.99,6148970,-0.107863,-1.21%,8.8155,55.4m,11388
28,09/23/16,9.11,9.20,9.02,9.10,8906022,-0.049028,-0.55%,8.9233,81.09m,20285
29,09/22/16,9.17,9.30,9.04,9.15,9089550,0.147087,1.67%,8.9723,83.17m,22360
30,09/21/16,8.83,9.03,8.67,9.00,13459804,0.313789,3.69%,8.8253,119.24m,29656
31,09/20/16,8.74,8.79,8.65,8.68,10693924,0.147086,1.76%,8.5115,93.2m,22438
32,09/19/16,8.66,8.79,8.50,8.53,8998619,0.029416,0.35%,8.3644,77.72m,18389
33,09/16/16,8.50,8.62,8.36,8.50,16430916,-0.088253,-1.05%,8.335,139.88m,28476
34,09/15/16,8.36,8.67,8.235,8.59,13617620,0.245146,3.00%,8.4232,115.99m,30380
35,09/14/16,8.27,8.44,8.25,8.34,13500729,0.058835,0.72%,8.1781,112.52m,25279
36,09/13/16,8.57,8.61,8.17,8.28,16705784,-0.539322,-6.23%,8.1192,139.64m,30057
37,09/12/16,8.57,8.85,8.52,8.83,11633458,0.117671,1.38%,8.6586,101.1m,26190
38,09/09/16,9.07,9.10,8.71,8.71,17747101,-0.666797,-7.24%,8.5409,157.51m,35807
39,09/08/16,9.33,9.46,9.27,9.39,11769583,0.088253,0.97%,9.2077,110.54m,28893
40,09/07/16,9.13,9.355,9.11,9.30,8405492,0.00,0.00%,9.1194,77.64m,20242
41,09/06/16,9.05,9.30,9.045,9.30,9073359,0.225534,2.54%,9.1194,83.59m,21908
42,09/05/16,,,,9.07,0,,0.00%,8.8939,,
43,09/02/16,8.93,9.11,8.93,9.07,10764852,0.280339,3.25%,8.8939,97.36m,24122
44,09/01/16,8.88,8.93,8.72,8.7841,22130598,-0.128309,-1.47%,8.6136,195.65m,40891
45,08/31/16,9.10,9.10,8.775,8.92,14921107,-0.058801,-0.67%,8.7419,132.97m,31665
46,08/30/16,8.92,9.01,8.82,8.98,8287162,0.009799,0.11%,8.8007,73.96m,17061
47,08/29/16,8.71,9.01,8.67,8.97,8042096,0.254808,2.99%,8.7909,71.72m,19793
48,08/26/16,8.76,9.07,8.60,8.71,13060819,0.00,0.00%,8.5361,114.98m,32469
49,08/25/16,8.69,8.77,8.62,8.71,8561506,0.029402,0.35%,8.5361,74.41m,17769
50,08/24/16,8.58,8.75,8.54,8.68,10459194,-0.009801,-0.12%,8.5067,90.58m,25752
51,08/23/16,9.01,9.08,8.68,8.69,14229162,-0.186205,-2.14%,8.5165,125.47m,30780
52,08/22/16,9.05,9.05,8.86,8.88,8124372,-0.225407,-2.52%,8.7027,72.38m,19599
53,08/19/16,9.03,9.15,8.90,9.11,5547482,0.0098,0.11%,8.9281,50.26m,11736
54,08/18/16,9.15,9.19,8.99,9.10,5079455,-0.039202,-0.44%,8.9183,46.21m,13799
55,08/17/16,8.99,9.14,8.86,9.14,9589275,0.039202,0.44%,8.9575,86.3m,22138
56,08/16/16,9.23,9.2735,9.09,9.10,10297515,-0.156806,-1.73%,8.9183,94.41m,21533
57,08/15/16,9.20,9.30,9.18,9.26,7469455,0.117604,1.31%,9.0751,69.1m,17492
58,08/12/16,9.18,9.30,9.08,9.14,7942627,-0.107805,-1.19%,8.9575,72.94m,15682
59,08/11/16,9.02,9.25,9.02,9.25,9207827,0.28421,3.24%,9.0653,84.29m,19895
60,08/10/16,9.16,9.21,8.82,8.96,14131392,-0.137203,-1.54%,8.7811,126.74m,26835
61,08/09/16,9.08,9.25,9.03,9.10,9176392,0.0392,0.44%,8.9183,83.63m,20504
62,08/08/16,9.06,9.1611,9.0244,9.06,11050474,-0.0686,-0.77%,8.8791,100.28m,20108
63,08/05/16,9.08,9.17,8.91,9.13,11579043,0.098003,1.11%,8.9477,104.75m,32774
64,08/04/16,8.86,9.10,8.85,9.03,11965262,0.245005,2.85%,8.8497,107.59m,25082
65,08/03/16,8.50,8.80,8.44,8.78,9946557,0.27441,3.29%,8.6047,86.1m,21422
66,08/02/16,8.74,8.78,8.43,8.50,15469873,-0.111222,-1.32%,8.3303,132.27m,31906
67,08/01/16,8.75,8.76,8.60,8.6141,7519293,-0.079874,-0.94%,8.4415,65.33m,19086
68,07/29/16,8.43,8.75,8.42,8.70,13038675,0.381992,4.69%,8.5214,112.27m,25807
69,07/28/16,8.51,8.53,8.23,8.31,16952290,-0.411372,-4.81%,8.1394,141.57m,34592
70,07/27/16,8.73,8.88,8.665,8.73,9896254,0.048971,0.58%,8.5507,86.76m,22297
