,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,5.31,5.42,5.02,5.18,1972739,-0.01,-0.19%,5.18,10.16m,9825
2,10/31/16,5.29,5.30,5.06,5.19,2217221,-0.15,-2.81%,5.19,11.42m,10894
3,10/28/16,5.46,5.63,5.27,5.34,2054530,-0.17,-3.09%,5.34,11.12m,10377
4,10/27/16,5.53,5.745,5.41,5.51,1964700,0.03,0.55%,5.51,10.95m,10084
5,10/26/16,5.45,5.55,5.35,5.48,2300032,-0.10,-1.79%,5.48,12.5m,12393
6,10/25/16,5.62,5.71,5.49,5.58,1763313,-0.11,-1.93%,5.58,9.82m,10392
7,10/24/16,5.89,5.94,5.56,5.69,1720974,-0.21,-3.56%,5.69,9.86m,9254
8,10/21/16,5.87,6.1361,5.8382,5.90,1545012,-0.04,-0.67%,5.90,9.22m,8663
9,10/20/16,5.63,6.15,5.59,5.94,2362815,0.16,2.77%,5.94,14.06m,12766
10,10/19/16,5.46,5.90,5.44,5.78,2184975,0.43,8.04%,5.78,12.56m,11242
11,10/18/16,5.27,5.38,5.135,5.35,1299884,0.23,4.49%,5.35,6.84m,6930
12,10/17/16,5.17,5.25,5.07,5.12,1215818,-0.05,-0.97%,5.12,6.27m,6667
13,10/14/16,5.30,5.46,5.13,5.17,2255947,-0.07,-1.34%,5.17,11.78m,11246
14,10/13/16,5.29,5.44,5.22,5.24,1834762,-0.13,-2.42%,5.24,9.74m,9941
15,10/12/16,5.28,5.58,5.26,5.37,1832121,0.07,1.32%,5.37,9.96m,10235
16,10/11/16,5.55,5.57,5.26,5.30,1663113,-0.29,-5.19%,5.30,8.89m,8589
17,10/10/16,5.55,5.785,5.50,5.59,1352380,0.24,4.49%,5.59,7.62m,6040
18,10/07/16,5.47,5.58,5.32,5.35,1222759,-0.07,-1.29%,5.35,6.6m,6149
19,10/06/16,5.51,5.6735,5.385,5.42,1381937,-0.01,-0.18%,5.42,7.62m,7644
