,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,26.08,26.2299,26.0504,26.1028,3279,-0.033927,-0.13%,25.5946,85.72k,28
2,10/31/16,26.01,26.1374,25.961,26.1374,4190,0.163356,0.64%,25.6285,109.15k,29
3,10/28/16,25.981,26.1115,25.951,25.9708,1680,-0.136489,-0.53%,25.4651,43.74k,20
4,10/27/16,26.1101,26.2209,25.981,26.11,8861,-0.019611,-0.08%,25.6016,230.97k,57
5,10/26/16,26.18,26.2699,26.091,26.13,8007,-0.147079,-0.57%,25.6212,209.99k,45
6,10/25/16,26.13,26.29,26.13,26.28,4323,0.16669,0.65%,25.7683,113.49k,22
7,10/24/16,26.28,26.29,26.06,26.11,11282,-0.176397,-0.68%,25.6016,295.54k,36
8,10/21/16,26.33,26.33,26.2253,26.2899,2441,0.019512,0.08%,25.778,64.16k,19
9,10/20/16,26.26,26.35,26.2323,26.27,9993,-0.009805,-0.04%,25.7585,262.47k,33
10,10/19/16,26.21,26.28,26.1901,26.28,1861,0.117663,0.46%,25.7683,48.84k,18
11,10/18/16,26.23,26.3711,26.15,26.16,4746,0.00,0.00%,25.6506,124.81k,45
12,10/17/16,26.05,26.19,26.019,26.16,10535,0.039222,0.15%,25.6506,275.32k,47
13,10/14/16,26.10,26.1522,25.991,26.12,12144,0.058831,0.23%,25.6114,317.05k,62
14,10/13/16,25.95,26.09,25.95,26.06,14819,0.029318,0.11%,25.5526,385.74k,59
15,10/12/16,26.00,26.0407,26.00,26.0301,3509,0.07854,0.31%,25.5233,91.33k,16
16,10/11/16,26.00,26.0699,25.92,25.95,2239,-0.051477,-0.20%,25.4447,58.12k,23
17,10/10/16,25.96,26.0025,25.96,26.0025,3463,0.022062,0.09%,25.4962,89.96k,29
18,10/07/16,26.10,26.13,25.98,25.98,6985,-0.078443,-0.31%,25.4741,181.95k,29
19,10/06/16,26.13,26.13,25.94,26.06,5712,-0.039221,-0.15%,25.5526,148.66k,35
20,10/05/16,26.00,26.17,26.00,26.10,7737,0.039221,0.15%,25.5918,201.66k,30
21,10/04/16,26.11,26.11,25.94,26.06,8371,0.068637,0.27%,25.5526,217.91k,58
22,10/03/16,25.94,26.19,25.94,25.99,22472,0.034319,0.13%,25.4839,586.05k,103
23,09/30/16,25.92,26.01,25.92,25.955,2184,0.044124,0.17%,25.4496,56.73k,20
24,09/29/16,25.93,26.02,25.88,25.91,30461,0.009805,0.04%,25.4055,790.77k,91
25,09/28/16,25.97,25.97,25.8675,25.90,4551,0.00,0.00%,25.3957,117.84k,30
26,09/27/16,25.93,26.00,25.90,25.90,9551,-0.049027,-0.19%,25.3957,247.74k,49
27,09/26/16,25.95,26.00,25.9101,25.95,10402,-0.088247,-0.35%,25.4447,269.99k,53
28,09/23/16,26.03,26.05,25.91,26.04,14983,0.029416,0.12%,25.533,389.47k,58
29,09/22/16,26.01,26.05,26.00,26.01,22729,0.058831,0.23%,25.5036,591.94k,50
30,09/21/16,25.91,25.9899,25.91,25.95,3957,0.019611,0.08%,25.4447,102.68k,36
31,09/20/16,25.99,25.99,25.90,25.93,6853,-0.009805,-0.04%,25.4251,177.72k,45
32,09/19/16,25.96,25.97,25.886,25.94,16834,0.009805,0.04%,25.4349,436.27k,60
33,09/16/16,25.89,25.96,25.80,25.93,12650,-0.058734,-0.23%,25.4251,327.36k,64
34,09/15/16,25.94,26.00,25.83,25.9899,20011,0.127371,0.50%,25.4839,518.27k,147
35,09/14/16,25.86,25.96,25.76,25.86,20298,-0.147079,-0.58%,25.3565,524.7k,143
36,09/13/16,25.89,26.10,25.81,26.01,9710,0.029416,0.12%,25.5036,251.64k,80
37,09/12/16,25.78,25.98,25.76,25.98,13265,0.050987,0.20%,25.4741,343.15k,89
38,09/09/16,26.05,26.0694,25.85,25.928,14451,-0.14904,-0.58%,25.4232,374.82k,83
39,09/08/16,26.22,26.22,26.08,26.08,9681,-0.127469,-0.50%,25.5722,252.99k,77
40,09/07/16,26.34,26.34,26.21,26.21,6136,-0.127469,-0.49%,25.6997,161.21k,58
41,09/06/16,26.25,26.40,26.25,26.34,10388,0.039221,0.15%,25.8271,273.66k,57
42,09/05/16,,,,26.30,0,,0.00%,25.7879,,
43,09/02/16,26.46,26.5499,26.26,26.30,7109,-0.039221,-0.15%,25.7879,187.19k,56
44,09/01/16,26.29,26.34,26.2701,26.34,1009,0.009805,0.04%,25.8271,26.53k,12
45,08/31/16,26.41,26.41,26.3183,26.33,2275,-0.088247,-0.34%,25.8173,59.93k,24
46,08/30/16,26.41,26.48,26.35,26.42,13225,0.076383,0.30%,25.9056,348.96k,79
47,08/29/16,26.74,26.90,26.71,26.3421,22834,0.105687,0.41%,25.8292,611.93k,76
48,08/26/16,26.75,26.91,26.73,26.75,20344,-0.10097,-0.39%,25.7235,544.88k,112
49,08/25/16,26.94,26.94,26.7485,26.855,45363,-0.081739,-0.32%,25.8245,1.22m,195
50,08/24/16,26.85,26.97,26.85,26.94,6599,0.003174,0.01%,25.9062,177.82k,43
51,08/23/16,26.71,26.9367,26.71,26.9367,16077,0.085489,0.33%,25.903,431.47k,48
52,08/22/16,26.79,26.8478,26.72,26.8478,969,0.018078,0.07%,25.8176,25.95k,10
