,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,35.50,35.55,34.62,34.86,3147121,-0.16,-0.46%,34.86,110.05m,22887
2,10/31/16,35.06,35.295,34.91,35.02,2289588,0.15,0.43%,35.02,80.36m,15877
3,10/28/16,34.64,35.07,34.63,34.87,2967215,0.22,0.63%,34.87,103.44m,18512
4,10/27/16,34.89,34.97,34.475,34.65,3464431,-0.60,-1.70%,34.65,120.27m,21572
5,10/26/16,35.12,35.36,34.98,35.25,4049540,-0.46,-1.29%,35.25,142.71m,25450
6,10/25/16,35.40,35.78,35.37,35.71,3229088,0.74,2.12%,35.71,115.16m,21631
7,10/24/16,35.40,35.41,34.73,34.97,1988639,0.01,0.03%,34.97,69.61m,13969
8,10/21/16,34.67,35.01,34.60,34.96,2985731,-0.06,-0.17%,34.96,104.1m,19126
9,10/20/16,34.66,35.16,34.36,35.02,3516083,0.07,0.20%,35.02,122.57m,20734
10,10/19/16,34.51,34.99,34.365,34.95,3899795,0.46,1.33%,34.95,135.37m,21651
11,10/18/16,35.01,35.0475,34.41,34.49,5085356,0.61,1.80%,34.49,175.89m,25005
12,10/17/16,33.94,34.21,33.82,33.88,2877894,-0.11,-0.32%,33.88,97.85m,19506
13,10/14/16,34.53,34.77,33.97,33.99,2641782,-0.06,-0.18%,33.99,90.47m,19531
14,10/13/16,33.63,34.18,33.31,34.05,3109004,-0.96,-2.74%,34.05,104.93m,20522
15,10/12/16,35.05,35.49,34.85,35.01,3411851,0.03,0.09%,35.01,119.8m,22542
16,10/11/16,35.59,35.70,34.78,34.98,2802929,-0.93,-2.59%,34.98,98.48m,19619
17,10/10/16,35.68,36.16,35.66,35.91,2093213,0.55,1.56%,35.91,75.22m,16042
18,10/07/16,35.71,35.75,34.9301,35.36,3578737,0.29,0.83%,35.36,126.43m,25693
19,10/06/16,34.99,35.27,34.93,35.07,1387451,-0.23,-0.65%,35.07,48.7m,10547
20,10/05/16,35.03,35.48,34.88,35.30,1836127,0.65,1.88%,35.30,64.64m,13980
21,10/04/16,35.67,35.67,34.51,34.65,3889770,-0.20,-0.57%,34.65,136.17m,27233
22,10/03/16,34.80,34.96,34.56,34.85,2372800,0.20,0.58%,34.85,82.55m,17062
23,09/30/16,34.80,34.89,34.47,34.65,2888120,0.25,0.73%,34.65,100.27m,18350
24,09/29/16,34.31,35.00,34.19,34.40,4499087,0.30,0.88%,34.40,155.54m,32807
