,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,15.10,15.13,15.04,15.07,129209,-0.029825,-0.20%,14.9824,1.95m,447
2,10/31/16,15.17,15.2072,15.10,15.10,214487,-0.089477,-0.59%,15.0122,3.25m,665
3,10/28/16,15.21,15.25,15.15,15.19,154161,-0.079535,-0.52%,15.1017,2.34m,324
4,10/27/16,15.32,15.3548,15.26,15.27,104069,-0.059551,-0.39%,15.1812,1.59m,287
5,10/26/16,15.33,15.34,15.28,15.3299,52819,-0.010042,-0.07%,15.2407,809.67k,198
6,10/25/16,15.28,15.36,15.26,15.34,82070,0.029826,0.20%,15.2508,1.26m,340
7,10/24/16,15.23,15.34,15.15,15.31,182330,0.059651,0.39%,15.221,2.78m,693
8,10/21/16,15.19,15.26,15.18,15.25,120579,0.00,0.00%,15.1613,1.83m,370
9,10/20/16,15.31,15.323,15.17,15.25,208524,-0.079535,-0.52%,15.1613,3.17m,671
10,10/19/16,15.23,15.33,15.23,15.33,71876,0.099419,0.66%,15.2408,1.1m,267
11,10/18/16,15.33,15.332,15.17,15.23,165235,-0.019884,-0.13%,15.1414,2.52m,422
12,10/17/16,15.40,15.41,15.25,15.25,115968,-0.122086,-0.80%,15.1613,1.78m,258
13,10/14/16,15.35,15.40,15.3262,15.3728,64951,0.022668,0.15%,15.2834,997.49k,188
14,10/13/16,15.34,15.36,15.31,15.35,74601,-0.059651,-0.39%,15.2607,1.14m,219
15,10/12/16,15.43,15.43,15.36,15.41,74765,-0.022862,-0.15%,15.3204,1.15m,234
16,10/11/16,15.52,15.55,15.47,15.52,98828,-0.019772,-0.13%,15.3432,1.53m,283
17,10/10/16,15.47,15.54,15.47,15.54,48142,0.069203,0.45%,15.363,746.68k,168
18,10/07/16,15.45,15.49,15.434,15.47,49208,0.019772,0.13%,15.2938,761.07k,190
19,10/06/16,15.41,15.51,15.38,15.45,96271,-0.059317,-0.39%,15.274,1.48m,373
20,10/05/16,15.52,15.56,15.49,15.51,64657,0.019773,0.13%,15.3334,1m,221
21,10/04/16,15.52,15.54,15.43,15.49,89249,-0.07909,-0.51%,15.3136,1.38m,319
22,10/03/16,15.52,15.57,15.49,15.57,61337,0.049431,0.32%,15.3927,951.27k,179
23,09/30/16,15.49,15.539,15.48,15.52,58148,0.049431,0.32%,15.3432,901.73k,212
