,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,15.57,15.57,15.32,15.34,36157,-0.149329,-0.97%,15.2714,556.57k,221
2,10/31/16,15.62,15.63,15.49,15.49,5741,0.00,0.00%,15.4207,89.31k,44
3,10/28/16,15.67,15.67,15.48,15.49,7883,-0.089598,-0.58%,15.4207,122.82k,50
4,10/27/16,15.60,15.76,15.58,15.58,26424,-0.139373,-0.89%,15.5103,413.83k,111
5,10/26/16,15.83,15.83,15.72,15.72,16248,-0.049777,-0.32%,15.6497,256.37k,89
6,10/25/16,15.65,15.79,15.65,15.77,4102,0.069687,0.45%,15.6995,64.43k,26
7,10/24/16,15.62,15.71,15.62,15.70,7631,0.034844,0.22%,15.6298,119.61k,39
8,10/21/16,15.60,15.69,15.60,15.665,12130,0.134396,0.87%,15.5949,189.81k,57
9,10/20/16,15.70,15.71,15.50,15.53,16510,-0.099553,-0.64%,15.4605,257.93k,94
10,10/19/16,15.49,15.83,15.49,15.63,6512,0.159284,1.03%,15.5601,102.13k,35
11,10/18/16,15.49,15.5124,15.26,15.47,16142,-0.039821,-0.26%,15.4008,249.24k,93
12,10/17/16,15.54,15.58,15.43,15.51,24855,-0.01991,-0.13%,15.4406,385.7k,115
13,10/14/16,15.69,15.72,15.51,15.53,10412,-0.209061,-1.33%,15.4605,162.56k,52
14,10/13/16,15.88,15.89,15.69,15.74,27816,-0.159284,-1.01%,15.6696,438.29k,153
15,10/12/16,16.00,16.00,15.85,15.90,13097,-0.088505,-0.56%,15.8289,209.07k,66
16,10/11/16,16.11,16.11,16.0585,16.0585,5301,-0.070872,-0.44%,15.9174,85.27k,31
17,10/10/16,16.07,16.17,16.00,16.13,11738,0.128858,0.81%,15.9883,188.59k,95
18,10/07/16,15.97,16.08,15.97,16.00,25566,-0.04956,-0.31%,15.8594,409.72k,108
19,10/06/16,15.94,16.05,15.92,16.05,11771,0.059472,0.38%,15.909,188.34k,61
20,10/05/16,16.09,16.09,15.99,15.99,13582,-0.109034,-0.68%,15.8495,217.56k,70
21,10/04/16,16.16,16.16,15.99,16.10,17929,-0.019824,-0.12%,15.9585,288.15k,129
22,10/03/16,16.11,16.205,16.03,16.12,21694,0.00,0.00%,15.9783,349.22k,197
23,09/30/16,16.06,16.13,16.035,16.12,13978,0.079297,0.50%,15.9783,224.84k,137
24,09/29/16,16.15,16.15,16.04,16.04,8676,-0.069384,-0.43%,15.899,139.52k,60
25,09/28/16,16.11,16.18,16.09,16.11,16419,0.019824,0.12%,15.9684,265.01k,99
26,09/27/16,16.05,16.09,16.00,16.09,11234,0.04956,0.31%,15.9486,180.07k,41
27,09/26/16,16.02,16.05,15.97,16.04,20170,0.069385,0.44%,15.899,323.01k,83
28,09/23/16,16.01,16.01,15.93,15.97,13540,0.00,0.00%,15.8297,216.5k,64
