,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,19.66,19.67,19.66,19.67,236,-0.169279,-0.86%,19.5866,4.64k,9
2,10/31/16,19.78,19.84,19.66,19.84,883,-0.029872,-0.15%,19.7558,17.43k,18
3,10/28/16,19.67,19.88,19.67,19.87,3960,0.298727,1.53%,19.7857,78.17k,31
4,10/27/16,20.12,20.12,19.57,19.57,5128,-0.644754,-3.20%,19.487,102.49k,29
5,10/26/16,,,,20.30,28,0.00,0.00%,20.1317,,6
6,10/25/16,,,,20.30,47,0.00,0.00%,20.1317,,6
7,10/24/16,20.35,20.35,20.30,20.30,1609,-0.208259,-1.02%,20.1317,32.67k,21
8,10/21/16,20.54,20.55,20.351,20.51,1610,-0.061884,-0.30%,20.34,33.01k,22
9,10/20/16,20.8699,20.8699,20.5724,20.5724,1873,-0.463723,-2.22%,20.4019,38.83k,13
10,10/19/16,20.94,21.04,20.875,21.04,431,0.188524,0.91%,20.8656,9.03k,11
11,10/18/16,20.8299,20.8499,20.81,20.8499,691,0.188326,0.92%,20.6771,14.39k,15
12,10/17/16,20.66,20.66,20.66,20.66,388,0.119006,0.58%,20.4888,8.02k,12
13,10/14/16,20.54,20.54,20.54,20.54,132,0.138839,0.69%,20.3697,2.71k,8
14,10/13/16,20.48,20.48,20.2616,20.40,1426,-0.20826,-1.02%,20.2309,29.05k,16
15,10/12/16,20.61,20.6189,20.61,20.61,555,-0.029751,-0.15%,20.4392,11.44k,12
16,10/11/16,20.22,20.83,20.22,20.64,1909,0.416519,2.08%,20.4689,39.34k,29
17,10/10/16,20.57,20.57,20.02,20.22,506,-0.094213,-0.47%,20.0524,10.24k,8
18,10/07/16,20.55,20.58,20.315,20.315,543,-0.461145,-2.24%,20.1466,11.1k,10
19,10/06/16,20.78,20.78,20.78,20.78,215,0.00,0.00%,20.6078,4.47k,9
20,10/05/16,20.93,20.94,20.78,20.78,433,0.089253,0.43%,20.6078,9.05k,10
21,10/04/16,21.02,21.02,20.69,20.69,379,-0.426435,-2.04%,20.5185,7.91k,12
22,10/03/16,20.87,21.13,20.7836,21.12,2774,0.119005,0.57%,20.9449,58.22k,18
23,09/30/16,20.74,21.12,20.74,21.00,5242,0.06942,0.33%,20.8259,109.9k,34
24,09/29/16,21.08,21.19,20.75,20.93,1708,-0.128923,-0.62%,20.7565,35.85k,19
25,09/28/16,20.84,21.1599,20.63,21.06,2635,-0.011949,-0.06%,20.8854,55.23k,26
26,09/27/16,21.19,21.19,21.1547,21.1547,452,-0.03487,-0.17%,20.8974,9.57k,21
27,09/26/16,21.41,21.41,21.19,21.19,619,-0.237081,-1.12%,20.9323,13.17k,23
28,09/23/16,21.61,21.61,21.39,21.43,2184,-0.039514,-0.19%,21.1693,46.81k,44
29,09/22/16,21.69,21.69,21.34,21.47,961,-0.098783,-0.46%,21.2089,20.66k,32
30,09/21/16,21.33,21.57,21.33,21.57,423,0.107081,0.51%,21.3076,9.07k,12
31,09/20/16,21.43,21.4616,21.43,21.4616,710,0.367081,1.76%,21.2006,15.23k,17
32,09/19/16,21.26,21.26,21.09,21.09,666,-0.187689,-0.89%,20.8335,14.12k,10
33,09/16/16,21.38,21.5163,21.28,21.28,1151,-0.167933,-0.79%,21.0212,24.72k,21
34,09/15/16,21.2801,21.56,21.211,21.45,1714,0.069149,0.33%,21.1891,36.66k,21
35,09/14/16,21.586,21.586,21.3321,21.38,3822,-0.246169,-1.15%,21.1199,81.73k,23
36,09/13/16,21.51,21.7142,21.51,21.6292,5349,-0.089696,-0.42%,21.3661,115.98k,50
37,09/12/16,21.50,21.8298,21.50,21.72,2578,0.059271,0.28%,21.4558,55.97k,20
38,09/09/16,21.90,21.90,21.4325,21.66,1056,-0.375378,-1.72%,21.3965,22.85k,13
39,09/08/16,22.04,22.04,22.04,22.04,235,0.147187,0.68%,21.7719,5.18k,7
40,09/07/16,21.91,22.25,21.63,21.891,876,-0.048403,-0.22%,21.6247,19.23k,13
41,09/06/16,21.7061,22.0433,21.7061,21.94,1536,0.140371,0.65%,21.6731,33.43k,17
42,09/05/16,,,,21.7979,0,,0.00%,21.5328,,
43,09/02/16,21.7979,21.7979,21.7979,21.7979,162,0.165858,0.78%,21.5328,3.53k,5
44,09/01/16,,,,21.63,47,0.00,0.00%,21.3669,,3
