,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,13.60,13.90,13.33,13.70,1299994,0.409055,3.09%,13.6684,17.77m,10488
2,10/31/16,12.94,13.42,12.82,13.29,1019889,0.379125,2.94%,13.2594,13.49m,7607
3,10/28/16,13.13,13.13,12.50,12.91,1843519,-0.359171,-2.71%,12.8802,23.6m,10505
4,10/27/16,13.53,13.68,13.20,13.27,827285,-0.149654,-1.12%,13.2394,11.02m,5632
5,10/26/16,13.47,13.67,13.04,13.42,872784,-0.1297,-0.96%,13.3891,11.68m,5954
6,10/25/16,13.39,13.83,13.33,13.55,1121285,0.279354,2.11%,13.5188,15.26m,7655
7,10/24/16,13.74,13.88,13.07,13.27,1299928,-0.349193,-2.57%,13.2394,17.22m,7519
8,10/21/16,13.78,13.83,13.46,13.62,752029,-0.189562,-1.38%,13.5886,10.25m,6358
9,10/20/16,13.89,14.205,13.57,13.81,1528682,-0.149654,-1.07%,13.7782,21.16m,10090
10,10/19/16,13.89,14.19,13.77,13.96,1371846,0.309285,2.27%,13.9278,19.14m,8441
11,10/18/16,13.24,13.70,13.05,13.65,1255014,0.718341,5.57%,13.6185,16.91m,7802
12,10/17/16,12.47,12.995,12.47,12.93,856630,0.498847,4.02%,12.9002,11m,6316
13,10/14/16,12.42,12.79,12.32,12.43,693054,-0.199539,-1.58%,12.4013,8.64m,5271
14,10/13/16,12.44,13.11,12.30,12.63,1405749,0.22947,1.85%,12.6009,17.87m,10294
15,10/12/16,12.37,12.60,12.12,12.40,884117,0.089793,0.73%,12.3714,10.93m,6841
16,10/11/16,12.33,12.7801,12.28,12.31,1284210,-0.159632,-1.28%,12.2816,15.98m,10746
17,10/10/16,12.53,12.805,12.40,12.47,2259755,0.069839,0.56%,12.4413,28.35m,12111
18,10/07/16,12.90,13.09,12.16,12.40,2268956,0.279355,2.31%,12.3714,28.47m,13985
19,10/06/16,12.05,12.37,11.911,12.12,1395506,-0.438986,-3.50%,12.0921,16.9m,9315
20,10/05/16,13.24,13.24,12.25,12.56,2197520,0.00,0.00%,12.531,27.76m,13718
21,10/04/16,13.13,13.23,12.56,12.56,2287906,-1.1473,-8.39%,12.531,29.44m,14130
22,10/03/16,13.78,13.86,13.44,13.71,881968,-0.129701,-0.94%,13.6784,12.01m,5726
23,09/30/16,14.11,14.45,13.794,13.84,1234315,-0.019954,-0.14%,13.8081,17.33m,7138
24,09/29/16,13.64,13.97,13.435,13.86,1068862,0.089793,0.65%,13.8281,14.72m,8015
25,09/28/16,13.23,13.78,12.9001,13.77,1627029,0.578663,4.40%,13.7383,21.68m,10511
26,09/27/16,13.64,13.70,12.97,13.19,1743411,-0.628548,-4.56%,13.1596,23.06m,12999
