,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,10.32,10.32,9.92,10.02,662884,-0.21,-2.05%,10.02,6.67m,4959
2,10/31/16,10.09,10.28,10.02,10.23,566622,0.19,1.89%,10.23,5.75m,3319
3,10/28/16,10.03,10.32,10.0099,10.04,699456,0.02,0.20%,10.04,7.08m,4116
4,10/27/16,10.84,10.8401,10.02,10.02,766470,-0.72,-6.70%,10.02,7.86m,4646
5,10/26/16,10.77,10.94,10.67,10.74,616165,-0.12,-1.10%,10.74,6.64m,4212
6,10/25/16,11.16,11.18,10.727,10.86,540327,-0.41,-3.64%,10.86,5.89m,2713
7,10/24/16,11.30,11.42,11.225,11.27,474311,0.10,0.90%,11.27,5.37m,3191
8,10/21/16,11.15,11.27,11.055,11.17,380602,-0.07,-0.62%,11.17,4.26m,2399
9,10/20/16,11.33,11.345,11.08,11.24,471500,-0.18,-1.58%,11.24,5.29m,3031
10,10/19/16,11.34,11.469,11.15,11.42,410093,0.13,1.15%,11.42,4.67m,2569
11,10/18/16,11.36,11.38,11.15,11.29,330833,0.15,1.35%,11.29,3.73m,2244
12,10/17/16,11.12,11.2901,11.08,11.14,380791,0.04,0.36%,11.14,4.25m,2450
13,10/14/16,11.18,11.33,11.01,11.10,432216,-0.01,-0.09%,11.10,4.81m,3300
14,10/13/16,11.17,11.25,10.93,11.11,495291,-0.15,-1.33%,11.11,5.5m,3412
15,10/12/16,11.30,11.47,11.23,11.26,324866,-0.02,-0.18%,11.26,3.68m,2280
16,10/11/16,11.43,11.45,11.13,11.28,372172,-0.18,-1.57%,11.28,4.19m,2233
17,10/10/16,11.22,11.70,11.15,11.46,527697,-0.12,-1.04%,11.46,6.07m,3728
18,10/07/16,11.895,11.93,11.52,11.58,667469,-0.28,-2.36%,11.58,7.79m,3783
19,10/06/16,11.78,11.91,11.6477,11.86,554894,0.07,0.59%,11.86,6.55m,3552
20,10/05/16,11.62,11.90,11.56,11.79,638530,0.26,2.25%,11.79,7.53m,3328
21,10/04/16,11.57,11.7601,11.43,11.53,620020,-0.03,-0.26%,11.53,7.18m,3363
22,10/03/16,11.60,11.76,11.475,11.56,448468,-0.10,-0.86%,11.56,5.19m,3606
23,09/30/16,11.69,11.73,11.50,11.66,582887,0.10,0.87%,11.66,6.78m,3651
24,09/29/16,11.84,12.01,11.48,11.56,768135,-0.36,-3.02%,11.56,8.95m,4501
25,09/28/16,11.47,11.93,11.33,11.92,1047448,0.49,4.29%,11.92,12.25m,5460
26,09/27/16,11.35,11.675,11.33,11.43,582720,0.01,0.09%,11.43,6.69m,3447
27,09/26/16,11.45,11.82,11.3007,11.42,1423757,-0.09,-0.78%,11.42,16.43m,7256
28,09/23/16,11.63,11.75,11.36,11.51,806720,-0.13,-1.12%,11.51,9.34m,3695
29,09/22/16,11.50,12.04,11.43,11.64,1272473,0.53,4.77%,11.64,14.88m,6467
30,09/21/16,10.97,11.16,10.86,11.11,721376,0.26,2.40%,11.11,7.96m,3363
31,09/20/16,11.15,11.20,10.5311,10.85,918591,-0.29,-2.60%,10.85,10.01m,5885
32,09/19/16,11.10,11.59,11.04,11.14,744825,0.14,1.27%,11.14,8.41m,4198
33,09/16/16,11.14,11.23,10.96,11.00,958771,-0.23,-2.05%,11.00,10.6m,5084
34,09/15/16,11.44,11.47,11.19,11.23,718034,-0.21,-1.84%,11.23,8.11m,4890
35,09/14/16,11.58,11.79,11.38,11.44,759357,-0.11,-0.95%,11.44,8.74m,5145
36,09/13/16,11.88,12.0399,11.43,11.55,1593288,-0.46,-3.83%,11.55,18.66m,8731
37,09/12/16,11.19,12.08,11.13,12.01,978725,0.65,5.72%,12.01,11.53m,6438
38,09/09/16,12.07,12.075,10.98,11.36,1637306,-0.89,-7.27%,11.36,18.74m,8881
39,09/08/16,12.50,12.60,12.12,12.25,886925,-0.34,-2.70%,12.25,10.89m,5453
40,09/07/16,11.97,12.71,11.89,12.59,1546568,0.92,7.88%,12.59,19.31m,9242
41,09/06/16,11.49,11.84,11.40,11.67,654146,0.31,2.73%,11.67,7.59m,4572
42,09/05/16,,,,11.36,0,,0.00%,11.36,,
43,09/02/16,11.26,11.80,11.21,11.36,1055552,0.27,2.43%,11.36,12.13m,6516
44,09/01/16,11.23,11.37,10.97,11.09,643886,-0.16,-1.42%,11.09,7.15m,4104
45,08/31/16,11.38,11.38,11.06,11.25,499821,0.00,0.00%,11.25,5.6m,3140
46,08/30/16,10.96,11.30,10.93,11.25,482013,0.32,2.93%,11.25,5.39m,3006
47,08/29/16,10.73,11.36,10.73,10.93,1016214,0.28,2.63%,10.93,11.17m,4766
48,08/26/16,10.73,10.836,10.50,10.65,655545,-0.05,-0.47%,10.65,6.96m,4319
49,08/25/16,10.77,11.0299,10.65,10.70,599515,-0.16,-1.47%,10.70,6.45m,3752
50,08/24/16,10.88,10.96,10.75,10.86,765730,0.00,0.00%,10.86,8.31m,4845
51,08/23/16,10.42,11.13,10.32,10.86,1365903,0.55,5.33%,10.86,14.76m,7609
52,08/22/16,10.25,10.3899,10.08,10.31,530066,0.03,0.29%,10.31,5.44m,3155
53,08/19/16,10.20,10.285,10.09,10.28,460278,0.03,0.29%,10.28,4.71m,2776
54,08/18/16,10.16,10.31,10.06,10.25,405350,0.07,0.69%,10.25,4.14m,3039
55,08/17/16,10.30,10.361,10.00,10.18,595252,-0.15,-1.45%,10.18,6.02m,3928
56,08/16/16,10.25,10.42,10.14,10.33,583952,-0.01,-0.10%,10.33,6.02m,3676
57,08/15/16,10.08,10.52,10.03,10.34,879384,0.36,3.61%,10.34,9.13m,5099
58,08/12/16,10.09,10.09,9.87,9.98,570734,-0.05,-0.50%,9.98,5.7m,3588
59,08/11/16,9.91,10.145,9.78,10.03,689789,0.21,2.14%,10.03,6.88m,3900
60,08/10/16,10.06,10.08,9.7399,9.82,494323,-0.17,-1.70%,9.82,4.86m,3137
61,08/09/16,9.95,10.24,9.94,9.99,939972,0.28,2.88%,9.99,9.44m,5339
62,08/08/16,9.76,9.86,9.65,9.71,617511,-0.07,-0.72%,9.71,6.01m,3871
63,08/05/16,9.60,9.98,9.60,9.78,897890,0.26,2.73%,9.78,8.81m,5185
64,08/04/16,9.63,9.68,9.43,9.52,628855,-0.10,-1.04%,9.52,6.01m,4165
65,08/03/16,9.20,9.77,9.20,9.62,794480,0.32,3.44%,9.62,7.6m,5334
66,08/02/16,9.79,9.87,9.12,9.30,1243310,-0.50,-5.10%,9.30,11.59m,7579
67,08/01/16,9.60,9.85,9.53,9.80,978799,0.21,2.19%,9.80,9.52m,6436
68,07/29/16,9.50,9.78,9.36,9.59,1209400,0.07,0.74%,9.59,11.55m,8038
69,07/28/16,9.43,9.72,9.245,9.52,2071427,0.31,3.37%,9.52,19.71m,9171
70,07/27/16,9.16,9.37,9.02,9.21,649084,0.12,1.32%,9.21,5.95m,4046
71,07/26/16,8.98,9.10,8.86,9.09,521755,0.13,1.45%,9.09,4.71m,3629
72,07/25/16,9.02,9.18,8.87,8.96,638656,-0.09,-0.99%,8.96,5.73m,4240
73,07/22/16,9.13,9.13,8.88,9.05,569414,-0.06,-0.66%,9.05,5.13m,3938
74,07/21/16,8.99,9.17,8.91,9.11,396110,0.15,1.67%,9.11,3.59m,2604
75,07/20/16,8.83,9.04,8.768,8.96,316098,0.11,1.24%,8.96,2.83m,1788
76,07/19/16,8.89,8.975,8.81,8.85,283798,-0.09,-1.01%,8.85,2.52m,1692
77,07/18/16,8.82,8.97,8.67,8.94,386006,0.14,1.59%,8.94,3.4m,2264
78,07/15/16,8.74,8.88,8.58,8.80,340806,0.08,0.92%,8.80,2.98m,1811
79,07/14/16,8.75,8.87,8.63,8.72,623093,0.07,0.81%,8.72,5.47m,3337
80,07/13/16,8.69,8.7941,8.54,8.65,412121,-0.08,-0.92%,8.65,3.56m,2649
