,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,20.55,20.80,20.15,20.30,166648,-0.15,-0.73%,20.30,3.39m,1235
2,10/31/16,20.40,20.65,20.35,20.45,272534,0.05,0.25%,20.45,5.59m,1603
3,10/28/16,20.25,20.95,20.25,20.40,231213,0.20,0.99%,20.40,4.75m,1677
4,10/27/16,20.65,20.65,20.05,20.20,235610,-0.25,-1.22%,20.20,4.78m,1688
5,10/26/16,20.65,20.95,20.425,20.45,249631,-0.25,-1.21%,20.45,5.14m,1682
6,10/25/16,21.00,21.10,20.60,20.70,474077,-0.40,-1.90%,20.70,9.85m,3161
7,10/24/16,20.70,21.175,20.65,21.10,191133,0.46,2.23%,21.10,4.01m,1561
8,10/21/16,20.27,20.68,20.01,20.64,242888,0.32,1.57%,20.64,4.97m,1939
9,10/20/16,20.38,20.41,20.04,20.32,257251,-0.04,-0.20%,20.32,5.22m,1694
10,10/19/16,20.47,20.54,20.02,20.36,185355,-0.05,-0.24%,20.36,3.76m,1789
11,10/18/16,20.68,20.70,20.37,20.41,160221,-0.04,-0.20%,20.41,3.28m,1471
12,10/17/16,20.58,20.69,20.25,20.45,359283,-0.13,-0.63%,20.45,7.35m,2481
13,10/14/16,20.42,20.80,20.42,20.58,248677,0.29,1.43%,20.58,5.13m,1848
14,10/13/16,20.19,20.46,20.05,20.29,286392,-0.02,-0.10%,20.29,5.82m,2488
15,10/12/16,20.02,20.40,19.93,20.31,244831,0.25,1.25%,20.31,4.95m,1974
16,10/11/16,20.48,20.48,19.86,20.06,239863,-0.42,-2.05%,20.06,4.81m,1801
17,10/10/16,20.36,20.84,20.36,20.48,408101,0.23,1.14%,20.48,8.38m,3516
18,10/07/16,21.13,21.14,20.15,20.25,406321,-0.95,-4.48%,20.25,8.29m,3271
19,10/06/16,20.67,21.28,20.49,21.20,247810,0.49,2.37%,21.20,5.23m,2321
20,10/05/16,20.80,20.84,20.63,20.71,138775,0.00,0.00%,20.71,2.88m,1506
21,10/04/16,20.73,21.05,20.56,20.71,197386,0.04,0.19%,20.71,4.1m,1892
22,10/03/16,20.90,20.92,20.59,20.67,243592,-0.32,-1.52%,20.67,5.04m,2164
23,09/30/16,21.10,21.195,20.75,20.99,272879,-0.06,-0.29%,20.99,5.72m,2272
24,09/29/16,21.35,21.35,20.94,21.05,230047,-0.27,-1.27%,21.05,4.85m,1624
25,09/28/16,21.15,21.3699,21.04,21.32,271850,0.15,0.71%,21.32,5.77m,2360
26,09/27/16,21.40,21.49,21.06,21.17,345765,-0.30,-1.40%,21.17,7.35m,3542
27,09/26/16,21.61,21.85,21.36,21.47,208943,-0.26,-1.20%,21.47,4.52m,1975
28,09/23/16,21.74,21.95,21.47,21.73,154975,-0.01,-0.05%,21.73,3.36m,1443
29,09/22/16,21.72,21.875,21.66,21.74,243398,0.19,0.88%,21.74,5.3m,2089
30,09/21/16,21.23,21.62,21.12,21.55,272721,0.43,2.04%,21.55,5.83m,1954
31,09/20/16,21.48,21.663,21.02,21.12,225353,-0.29,-1.35%,21.12,4.76m,1957
32,09/19/16,21.15,21.64,21.15,21.41,248127,0.28,1.33%,21.41,5.32m,1766
33,09/16/16,21.26,21.40,21.07,21.13,524727,-0.31,-1.45%,21.13,11.12m,3098
34,09/15/16,21.09,21.68,21.08,21.44,369120,0.31,1.47%,21.44,7.92m,2522
35,09/14/16,21.38,21.44,21.07,21.13,252808,-0.16,-0.75%,21.13,5.36m,2431
36,09/13/16,21.27,21.42,21.09,21.29,375973,-0.26,-1.21%,21.29,7.98m,2799
37,09/12/16,21.10,21.55,21.03,21.55,413904,0.40,1.89%,21.55,8.81m,2550
38,09/09/16,21.96,21.96,21.02,21.15,559214,-1.04,-4.69%,21.15,11.97m,4009
39,09/08/16,22.18,22.35,22.02,22.19,263476,-0.10,-0.45%,22.19,5.83m,3130
40,09/07/16,22.12,22.37,22.05,22.29,181622,0.15,0.68%,22.29,4.04m,1596
41,09/06/16,22.14,22.20,21.73,22.14,321804,0.07,0.32%,22.14,7.08m,2440
42,09/05/16,,,,22.07,0,,0.00%,22.07,,
43,09/02/16,22.17,22.35,21.99,22.07,169974,-0.01,-0.05%,22.07,3.76m,1700
44,09/01/16,22.13,22.30,21.78,22.08,263079,-0.13,-0.59%,22.08,5.8m,2378
45,08/31/16,22.80,22.80,21.98,22.21,346000,-0.56,-2.46%,22.21,7.69m,2889
46,08/30/16,23.07,23.17,22.68,22.77,273646,-0.38,-1.64%,22.77,6.26m,2352
47,08/29/16,22.80,23.34,22.52,23.15,392187,0.42,1.85%,23.15,9.03m,2997
48,08/26/16,22.75,22.91,22.56,22.73,345889,-0.05,-0.22%,22.73,7.86m,3185
49,08/25/16,22.44,22.95,22.44,22.78,351587,0.23,1.02%,22.78,7.98m,2826
50,08/24/16,22.46,22.76,22.46,22.55,308219,0.00,0.00%,22.55,6.97m,2411
51,08/23/16,22.30,22.88,22.30,22.55,277114,0.30,1.35%,22.55,6.28m,2599
52,08/22/16,21.87,22.29,21.82,22.25,225536,0.24,1.09%,22.25,4.99m,1958
53,08/19/16,21.82,22.21,21.72,22.01,257862,0.18,0.82%,22.01,5.68m,2170
54,08/18/16,21.76,21.91,21.66,21.83,223515,0.02,0.09%,21.83,4.88m,1930
55,08/17/16,22.16,22.2126,21.79,21.81,325475,-0.30,-1.36%,21.81,7.14m,2824
56,08/16/16,22.18,22.47,22.03,22.11,340124,-0.18,-0.81%,22.11,7.57m,2664
57,08/15/16,21.97,22.45,21.92,22.29,307536,0.42,1.92%,22.29,6.85m,2681
58,08/12/16,22.05,22.05,21.78,21.87,336028,-0.17,-0.77%,21.87,7.36m,2843
59,08/11/16,21.83,22.27,21.53,22.04,449102,0.16,0.73%,22.04,9.91m,2909
60,08/10/16,22.42,22.42,21.75,21.88,602508,-0.53,-2.37%,21.88,13.24m,4714
61,08/09/16,22.87,22.99,22.35,22.41,481357,-0.50,-2.18%,22.41,10.84m,3731
62,08/08/16,23.14,23.36,22.78,22.91,352028,-0.36,-1.55%,22.91,8.1m,2946
63,08/05/16,23.07,23.95,23.001,23.27,510400,0.25,1.09%,23.27,11.97m,4271
64,08/04/16,23.04,23.10,21.76,23.02,1356525,-0.75,-3.16%,23.02,30.66m,9639
65,08/03/16,23.48,23.83,23.38,23.77,553965,0.19,0.81%,23.77,13.09m,4301
66,08/02/16,23.64,23.93,23.4976,23.58,389054,-0.09,-0.38%,23.58,9.18m,2881
67,08/01/16,23.39,24.15,23.16,23.67,495756,0.22,0.94%,23.67,11.78m,4821
68,07/29/16,23.73,23.75,23.37,23.45,469850,-0.35,-1.47%,23.45,11.03m,2811
69,07/28/16,23.98,24.06,23.80,23.80,269212,-0.18,-0.75%,23.80,6.42m,2557
70,07/27/16,24.30,24.47,23.845,23.98,387210,-0.19,-0.79%,23.98,9.31m,3748
71,07/26/16,24.18,24.52,23.74,24.17,646331,-0.11,-0.45%,24.17,15.6m,4911
72,07/25/16,24.26,24.52,24.26,24.28,231893,-0.09,-0.37%,24.28,5.65m,2003
73,07/22/16,24.12,24.43,23.915,24.37,282599,0.28,1.16%,24.37,6.87m,2362
74,07/21/16,24.46,24.59,23.8863,24.09,502801,-0.45,-1.83%,24.09,12.13m,4255
75,07/20/16,24.15,24.78,24.00,24.54,497359,0.41,1.70%,24.54,12.19m,3952
76,07/19/16,24.44,24.54,24.08,24.13,761090,-0.22,-0.90%,24.13,18.48m,5771
77,07/18/16,23.50,24.42,23.50,24.35,1517157,0.95,4.06%,24.35,36.7m,8398
78,07/15/16,22.64,23.41,22.40,23.40,1030208,0.84,3.72%,23.40,23.69m,4252
79,07/14/16,23.00,23.00,22.44,22.56,661650,-0.29,-1.27%,22.56,14.95m,5000
80,07/13/16,23.09,23.22,22.85,22.85,585051,-0.05,-0.22%,22.85,13.42m,4468
81,07/12/16,23.31,23.40,22.88,22.90,281610,-0.27,-1.17%,22.90,6.51m,1837
82,07/11/16,23.15,23.40,22.94,23.17,484326,0.10,0.43%,23.17,11.2m,3269
83,07/08/16,22.95,23.29,22.87,23.07,265193,0.41,1.81%,23.07,6.12m,2348
84,07/07/16,22.46,22.89,22.40,22.66,205815,0.20,0.89%,22.66,4.66m,1927
85,07/06/16,22.02,22.47,21.87,22.46,189724,0.37,1.67%,22.46,4.23m,1681
86,07/05/16,21.78,22.21,21.57,22.09,461482,0.15,0.68%,22.09,10.12m,3180
87,07/04/16,,,,21.94,0,,0.00%,21.94,,
88,07/01/16,22.14,22.50,21.86,21.94,293692,-0.29,-1.30%,21.94,6.5m,2219
