,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,7.74,7.74,7.41,7.46,3169735,-0.24,-3.12%,7.46,23.84m,12479
2,10/31/16,7.93,7.94,7.69,7.70,1701750,-0.23,-2.90%,7.70,13.19m,6541
3,10/28/16,7.92,8.05,7.88,7.93,1777417,0.00,0.00%,7.93,14.16m,7440
4,10/27/16,7.96,8.04,7.88,7.93,1965263,-0.01,-0.13%,7.93,15.64m,7975
5,10/26/16,7.83,8.10,7.83,7.94,2321667,0.06,0.76%,7.94,18.48m,7096
6,10/25/16,7.93,8.01,7.81,7.88,2114144,0.00,0.00%,7.88,16.68m,7278
7,10/24/16,8.05,8.06,7.87,7.88,1851994,-0.16,-1.99%,7.88,14.71m,6940
8,10/21/16,8.05,8.09,7.995,8.04,1342852,-0.08,-0.99%,8.04,10.79m,4863
9,10/20/16,8.00,8.15,7.93,8.12,2081187,0.09,1.12%,8.12,16.8m,7562
10,10/19/16,8.07,8.0899,8.00,8.03,1528776,0.03,0.37%,8.03,12.29m,6098
11,10/18/16,8.01,8.01,7.8447,8.00,1485906,0.09,1.14%,8.00,11.8m,5389
12,10/17/16,7.97,8.06,7.88,7.91,2306950,-0.11,-1.37%,7.91,18.32m,8595
13,10/14/16,7.91,8.075,7.87,8.02,3583891,0.20,2.56%,8.02,28.66m,10854
14,10/13/16,7.67,7.83,7.45,7.82,4117426,0.06,0.77%,7.82,31.55m,13937
15,10/12/16,7.89,7.93,7.74,7.76,2165051,-0.18,-2.27%,7.76,16.9m,7989
16,10/11/16,7.98,8.02,7.88,7.94,2139765,-0.02,-0.25%,7.94,17.03m,9244
17,10/10/16,7.92,8.03,7.88,7.96,1900921,0.08,1.02%,7.96,15.13m,7969
18,10/07/16,8.07,8.08,7.86,7.88,3007098,-0.16,-1.99%,7.88,23.86m,12380
19,10/06/16,8.08,8.21,7.92,8.04,2439707,-0.09,-1.11%,8.04,19.52m,9937
20,10/05/16,8.22,8.23,8.09,8.13,3163223,0.03,0.37%,8.13,25.74m,12216
21,10/04/16,8.39,8.4181,8.09,8.10,4302840,-0.33,-3.91%,8.10,35.24m,12756
22,10/03/16,8.56,8.62,8.37,8.43,2099715,-0.13,-1.52%,8.43,17.7m,8159
23,09/30/16,8.74,8.82,8.55,8.56,1974639,-0.12,-1.38%,8.56,16.99m,7473
24,09/29/16,8.72,8.83,8.62,8.68,2882859,0.05,0.58%,8.68,25.17m,12694
25,09/28/16,8.55,8.65,8.33,8.63,3778284,0.146638,1.73%,8.63,32.18m,13536
26,09/27/16,8.64,8.6683,8.50,8.56,2487467,-0.148657,-1.72%,8.4834,21.33m,8354
27,09/26/16,8.81,8.86,8.69,8.71,1115028,-0.128836,-1.47%,8.632,9.77m,4488
28,09/23/16,8.89,9.00,8.75,8.84,1782032,-0.109016,-1.23%,8.7609,15.81m,7429
29,09/22/16,9.08,9.16,8.89,8.95,1345351,-0.00991,-0.11%,8.8699,12.07m,5079
30,09/21/16,8.82,8.96,8.80,8.96,1373014,0.21803,2.52%,8.8798,12.23m,6642
31,09/20/16,8.78,8.92,8.71,8.74,1805301,-0.00991,-0.11%,8.6618,15.92m,6810
32,09/19/16,8.91,8.91,8.71,8.75,2567358,-0.019821,-0.23%,8.6717,22.6m,9666
33,09/16/16,8.78,8.81,8.68,8.77,1752039,-0.069373,-0.79%,8.6915,15.35m,6609
34,09/15/16,8.68,8.90,8.68,8.84,2039940,0.158567,1.84%,8.7609,18.02m,8275
35,09/14/16,8.63,8.845,8.59,8.68,3379931,0.039642,0.46%,8.6023,29.39m,13012
36,09/13/16,8.99,8.99,8.57,8.64,3157081,-0.386508,-4.32%,8.5626,27.49m,11746
37,09/12/16,8.96,9.095,8.93,9.03,2893087,-0.009911,-0.11%,8.9492,26.05m,12269
38,09/09/16,9.20,9.28,9.01,9.04,2579198,-0.287404,-3.11%,8.9591,23.49m,9430
39,09/08/16,9.41,9.43,9.27,9.33,1655046,-0.039641,-0.43%,9.2465,15.44m,6601
40,09/07/16,9.51,9.59,9.35,9.37,1568175,-0.118926,-1.26%,9.2861,14.78m,7194
41,09/06/16,9.40,9.52,9.31,9.49,2222813,0.188299,2.04%,9.405,20.97m,8434
42,09/05/16,,,,9.30,0,,0.00%,9.2167,,
43,09/02/16,9.24,9.3157,9.18,9.30,3161470,0.168478,1.86%,9.2167,29.26m,13575
44,09/01/16,9.19,9.22,9.05,9.13,3526652,-0.089194,-0.98%,9.0483,32.18m,13156
45,08/31/16,9.31,9.32,9.09,9.22,2237486,-0.118926,-1.28%,9.1375,20.57m,9015
46,08/30/16,9.36,9.49,9.31,9.34,1563076,-0.00991,-0.11%,9.2564,14.69m,6920
47,08/29/16,9.30,9.38,9.25,9.35,3082044,0.059462,0.65%,9.2663,28.73m,8981
48,08/26/16,9.45,9.59,9.275,9.29,1461481,-0.128836,-1.38%,9.2068,13.71m,6485
49,08/25/16,9.55,9.56,9.39,9.42,1169128,-0.138746,-1.46%,9.3357,11.04m,4786
50,08/24/16,9.47,9.66,9.46,9.56,1481817,0.059462,0.63%,9.4744,14.19m,6412
51,08/23/16,9.45,9.57,9.39,9.50,1271336,0.079284,0.85%,9.4149,12.09m,5318
52,08/22/16,9.40,9.46,9.314,9.42,1350489,-0.029731,-0.32%,9.3357,12.7m,5809
53,08/19/16,9.49,9.56,9.43,9.45,1417512,-0.099105,-1.05%,9.3654,13.44m,6198
54,08/18/16,9.62,9.65,9.50,9.55,1339173,-0.059463,-0.62%,9.4645,12.78m,6166
55,08/17/16,9.65,9.665,9.51,9.61,1392602,-0.059462,-0.62%,9.524,13.34m,5717
56,08/16/16,9.90,9.92,9.67,9.67,1458251,-0.178389,-1.83%,9.5834,14.22m,6435
57,08/15/16,9.82,9.87,9.67,9.85,1395858,0.109015,1.13%,9.7618,13.67m,6705
58,08/12/16,9.84,9.84,9.65,9.74,1496258,-0.039642,-0.41%,9.6528,14.58m,7809
59,08/11/16,9.52,9.79,9.49,9.78,2120831,0.327046,3.49%,9.6924,20.56m,9148
60,08/10/16,9.61,9.63,9.39,9.45,1227338,-0.069373,-0.74%,9.3654,11.63m,5387
61,08/09/16,9.73,9.75,9.49,9.52,1532834,-0.168478,-1.75%,9.4348,14.73m,7650
62,08/08/16,9.65,9.72,9.56,9.69,1834315,0.168478,1.79%,9.6032,17.7m,7621
63,08/05/16,9.43,9.53,9.30,9.52,1475270,0.089194,0.95%,9.4348,13.93m,7354
64,08/04/16,9.47,9.68,9.415,9.43,2051205,-0.049553,-0.53%,9.3456,19.56m,10010
65,08/03/16,9.45,9.48,9.25,9.48,2062743,0.029732,0.32%,9.3951,19.38m,10723
66,08/02/16,9.49,9.56,9.29,9.45,3235371,0.307224,3.39%,9.3654,30.5m,14005
67,08/01/16,9.55,9.63,9.075,9.14,2927188,-0.416239,-4.39%,9.0582,27.13m,11727
68,07/29/16,9.58,9.85,9.38,9.56,4256982,0.059462,0.63%,9.4744,40.85m,18895
69,07/28/16,10.40,10.42,9.39,9.50,8255223,-1.1199,-10.63%,9.4149,80.73m,31978
70,07/27/16,10.60,10.68,10.49,10.63,2753874,0.079284,0.76%,10.5348,29.22m,10857
71,07/26/16,10.22,10.55,10.20,10.55,2321331,0.287404,2.83%,10.4555,24.2m,9612
72,07/25/16,10.30,10.34,10.15,10.26,1485183,-0.089194,-0.87%,10.1681,15.18m,6373
73,07/22/16,10.50,10.54,10.28,10.35,1568209,-0.178389,-1.71%,10.2573,16.26m,6688
74,07/21/16,10.57,10.66,10.42,10.53,1966677,-0.079284,-0.75%,10.4357,20.66m,8180
75,07/20/16,10.53,10.70,10.51,10.61,1235685,0.019821,0.19%,10.515,13.12m,6236
76,07/19/16,10.69,10.71,10.51,10.59,1375620,-0.178388,-1.67%,10.4952,14.56m,6318
77,07/18/16,10.73,10.80,10.68,10.77,989280,-0.019821,-0.19%,10.6736,10.64m,5572
78,07/15/16,10.93,10.99,10.73,10.79,983802,-0.128836,-1.19%,10.6934,10.64m,4590
79,07/14/16,10.79,10.965,10.75,10.92,1981694,0.237851,2.25%,10.8222,21.62m,9825
80,07/13/16,10.82,10.82,10.58,10.68,2278325,-0.109015,-1.02%,10.5844,24.3m,11639
81,07/12/16,10.70,10.89,10.651,10.79,2262756,0.21803,2.08%,10.6934,24.38m,10303
82,07/11/16,10.68,10.73,10.55,10.57,1112639,0.00,0.00%,10.4754,11.81m,5539
83,07/08/16,10.56,10.68,10.48,10.57,2073129,0.138747,1.34%,10.4754,21.97m,8386
84,07/07/16,10.71,10.72,10.34,10.43,1703065,-0.138747,-1.32%,10.3366,17.85m,7981
85,07/06/16,10.58,10.65,10.48,10.57,1531326,-0.039642,-0.38%,10.4754,16.19m,6623
86,07/05/16,10.85,10.92,10.55,10.61,1432873,-0.317135,-2.93%,10.515,15.3m,6834
87,07/04/16,,,,10.93,0,,0.00%,10.8321,,
88,07/01/16,10.93,11.05,10.83,10.93,687180,-0.039642,-0.36%,10.8321,7.5m,4389
89,06/30/16,10.81,11.0175,10.72,10.97,1874097,0.178389,1.67%,10.8718,20.46m,9473
90,06/29/16,10.67,10.87,10.60,10.79,1475512,0.247762,2.37%,10.6934,15.88m,6851
91,06/28/16,10.79,10.83,10.41,10.54,2324190,-0.081861,-0.78%,10.4456,24.54m,11414
92,06/27/16,10.77,10.90,10.61,10.6226,2878124,-0.13689,-1.28%,10.5275,30.85m,13287
93,06/24/16,10.87,11.08,10.81,10.84,1835186,-0.580442,-5.16%,10.6644,20.02m,8643
