,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,73.31,74.07,71.86,72.42,1070986,-0.50,-0.69%,72.42,77.85m,9542
2,10/31/16,72.61,73.15,72.54,72.92,1132946,0.60,0.83%,72.92,82.58m,11101
3,10/28/16,71.74,73.00,71.74,72.32,1372526,0.61,0.85%,72.32,99.3m,11679
4,10/27/16,71.38,71.825,70.64,71.71,1066911,0.899978,1.27%,71.71,76.32m,10782
5,10/26/16,71.25,71.71,70.90,71.17,824679,-0.596965,-0.84%,70.81,58.76m,7579
6,10/25/16,71.76,72.356,71.335,71.77,1081158,0.019898,0.03%,71.407,77.84m,10696
7,10/24/16,71.02,71.94,70.83,71.75,1290701,1.0944,1.56%,71.3871,92.46m,9200
8,10/21/16,70.01,71.13,69.96,70.65,1154553,-0.248736,-0.35%,70.2927,81.57m,10384
9,10/20/16,70.16,71.37,70.111,70.90,1357101,0.358179,0.51%,70.5414,96.28m,11877
10,10/19/16,69.73,70.77,69.395,70.54,1786766,1.1641,1.69%,70.1832,125.66m,14353
11,10/18/16,67.88,69.61,67.10,69.37,3468384,5.7607,9.11%,69.0191,237.34m,27303
12,10/17/16,63.47,64.26,63.02,63.58,2118499,0.208937,0.33%,63.2584,134.69m,18025
13,10/14/16,64.17,64.67,63.31,63.37,1485997,-0.268634,-0.42%,63.0495,94.67m,12370
14,10/13/16,63.61,64.045,63.04,63.64,1185455,-1.184,-1.84%,63.3181,75.54m,10132
15,10/12/16,65.43,65.675,64.62,64.83,946967,-0.656662,-1.01%,64.5021,61.49m,9659
16,10/11/16,66.13,66.34,64.96,65.49,1388980,-0.935245,-1.42%,65.1588,91.14m,7913
17,10/10/16,66.76,67.525,66.075,66.43,861162,0.378078,0.58%,66.094,57.27m,8102
18,10/07/16,66.83,66.90,65.60,66.05,1682806,-0.527319,-0.80%,65.7159,111.18m,10491
19,10/06/16,65.65,66.69,65.27,66.58,1252814,0.716358,1.09%,66.2432,82.77m,8339
20,10/05/16,65.81,66.11,65.19,65.86,991162,0.636763,0.98%,65.5269,65.25m,7250
21,10/04/16,65.90,66.86,65.15,65.22,1498286,-0.368129,-0.56%,64.8901,98.51m,11073
22,10/03/16,66.39,66.80,65.30,65.59,1339324,-0.965094,-1.46%,65.2582,87.9m,12286
23,09/30/16,65.93,66.89,65.73,66.56,845647,0.935246,1.43%,66.2233,56.28m,8533
24,09/29/16,66.10,66.54,65.1992,65.62,664450,-0.457673,-0.70%,65.2881,43.75m,7462
25,09/28/16,64.12,66.15,64.12,66.08,1839331,2.3083,3.64%,65.7458,120.16m,13269
26,09/27/16,62.59,63.92,62.495,63.76,1115282,0.845701,1.35%,63.4375,70.92m,10167
27,09/26/16,62.68,63.15,62.3101,62.91,955480,0.198988,0.32%,62.5918,60.09m,9095
28,09/23/16,62.81,63.12,62.22,62.71,1109437,-0.437774,-0.70%,62.3928,69.62m,11114
29,09/22/16,63.23,63.69,62.81,63.15,1247957,0.388027,0.62%,62.8306,78.93m,7486
30,09/21/16,62.17,62.89,61.67,62.76,886719,0.994942,1.62%,62.4426,55.21m,9238
31,09/20/16,62.32,62.535,61.36,61.76,635751,-0.318381,-0.52%,61.4476,39.26m,6790
