,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,7.76,7.8015,7.54,7.71,115030,-0.07,-0.90%,7.71,881.28k,841
2,10/31/16,7.79,8.12,7.77,7.78,136861,-0.02,-0.26%,7.78,1.08m,756
3,10/28/16,7.72,7.98,7.63,7.80,128615,0.09,1.17%,7.80,1.01m,860
4,10/27/16,7.91,7.9849,7.70,7.71,100866,-0.19,-2.41%,7.71,789.36k,634
5,10/26/16,7.86,8.05,7.82,7.90,92737,0.02,0.25%,7.90,735.01k,630
6,10/25/16,7.98,8.07,7.87,7.88,67927,-0.13,-1.62%,7.88,540.84k,436
7,10/24/16,8.15,8.20,7.87,8.01,200112,-0.05,-0.62%,8.01,1.6m,1089
8,10/21/16,8.18,8.32,7.82,8.06,424089,-0.32,-3.82%,8.06,3.41m,2030
9,10/20/16,8.96,8.98,8.35,8.38,453949,-0.59,-6.58%,8.38,3.92m,1414
10,10/19/16,9.01,9.04,8.85,8.97,42687,-0.05,-0.55%,8.97,382.5k,301
11,10/18/16,9.03,9.16,8.85,9.02,319031,0.04,0.45%,9.02,2.89m,742
12,10/17/16,8.75,9.05,8.71,8.98,64229,0.25,2.86%,8.98,573.13k,472
13,10/14/16,8.63,8.75,8.51,8.73,66571,0.17,1.99%,8.73,576.43k,365
14,10/13/16,8.50,8.70,8.43,8.56,83019,-0.03,-0.35%,8.56,709.48k,706
15,10/12/16,8.42,8.7359,8.32,8.59,90911,0.22,2.63%,8.59,775.92k,615
16,10/11/16,8.46,8.50,8.30,8.37,124580,-0.07,-0.83%,8.37,1.05m,795
17,10/10/16,8.51,8.60,8.30,8.44,144677,0.01,0.12%,8.44,1.23m,877
18,10/07/16,8.55,8.65,8.34,8.43,205291,-0.07,-0.82%,8.43,1.73m,1228
19,10/06/16,8.62,8.66,8.48,8.50,93350,-0.05,-0.58%,8.50,800.81k,717
20,10/05/16,8.73,8.85,8.54,8.55,66867,-0.10,-1.16%,8.55,578.44k,429
21,10/04/16,9.23,9.25,8.52,8.65,217840,-0.64,-6.89%,8.65,1.92m,1177
22,10/03/16,9.21,9.44,9.031,9.29,221014,-0.07,-0.75%,9.29,2.04m,1378
23,09/30/16,9.42,9.60,9.29,9.36,185201,-0.07,-0.74%,9.36,1.75m,1066
24,09/29/16,10.57,10.57,9.40,9.43,143144,-1.28,-11.95%,9.43,1.41m,1004
25,09/28/16,10.25,10.744,10.25,10.71,89634,0.32,3.08%,10.71,945.43k,626
26,09/27/16,9.96,10.67,9.79,10.39,142062,0.27,2.67%,10.39,1.47m,1142
27,09/26/16,10.03,10.19,9.94,10.12,63586,-0.08,-0.78%,10.12,641.8k,425
28,09/23/16,10.02,10.24,9.85,10.20,101031,-0.11,-1.07%,10.20,1.02m,599
29,09/22/16,9.95,10.39,9.70,10.31,159383,0.31,3.10%,10.31,1.61m,947
30,09/21/16,9.64,10.20,9.30,10.00,142754,0.46,4.82%,10.00,1.39m,852
31,09/20/16,9.70,9.85,9.53,9.54,77432,-0.24,-2.45%,9.54,748.32k,535
32,09/19/16,9.73,9.80,9.56,9.78,59869,0.00,0.00%,9.78,582k,568
33,09/16/16,9.27,9.87,9.20,9.78,207035,0.58,6.30%,9.78,1.97m,800
34,09/15/16,9.00,9.31,9.00,9.20,74842,0.19,2.11%,9.20,685.65k,500
35,09/14/16,8.91,9.22,8.86,9.01,65510,0.00,0.00%,9.01,592.41k,530
36,09/13/16,9.58,9.69,8.89,9.01,106251,-0.75,-7.68%,9.01,970.16k,865
37,09/12/16,9.27,9.78,8.79,9.76,120549,0.34,3.61%,9.76,1.13m,919
38,09/09/16,9.83,9.83,9.39,9.42,85372,-0.49,-4.94%,9.42,812.67k,597
39,09/08/16,9.87,10.02,9.78,9.91,67097,-0.07,-0.70%,9.91,664.58k,616
40,09/07/16,9.95,10.09,9.695,9.98,102675,-0.01,-0.10%,9.98,1.02m,675
41,09/06/16,9.76,10.02,9.73,9.99,74240,0.06,0.60%,9.99,736.66k,590
42,09/05/16,,,,9.93,0,,0.00%,9.93,,
43,09/02/16,10.13,10.29,9.86,9.93,80995,-0.47,-4.52%,9.93,813.7k,503
44,09/01/16,10.64,10.8999,10.23,10.40,136762,-0.48,-4.41%,10.40,1.43m,996
45,08/31/16,10.61,10.95,10.40,10.88,190484,-0.04,-0.37%,10.88,2.04m,1027
46,08/30/16,10.31,10.9933,10.31,10.92,242087,0.61,5.92%,10.92,2.58m,1285
47,08/29/16,9.89,10.40,9.89,10.31,94809,0.36,3.62%,10.31,972.59k,662
48,08/26/16,9.76,10.00,9.73,9.95,124757,0.05,0.51%,9.95,1.24m,615
49,08/25/16,9.65,9.99,9.65,9.90,55123,0.18,1.85%,9.90,543.87k,387
50,08/24/16,9.62,9.80,9.56,9.72,71921,0.02,0.21%,9.72,696.99k,466
51,08/23/16,9.37,9.74,9.36,9.70,78059,0.32,3.41%,9.70,751.34k,539
52,08/22/16,9.49,9.70,9.30,9.38,111241,-0.20,-2.09%,9.38,1.06m,877
53,08/19/16,9.40,9.63,9.30,9.58,87714,0.12,1.27%,9.58,832.56k,501
54,08/18/16,9.34,9.51,9.34,9.46,31821,0.04,0.42%,9.46,299.54k,222
55,08/17/16,9.67,9.77,9.31,9.42,53633,-0.33,-3.38%,9.42,509.01k,297
56,08/16/16,9.64,9.87,9.62,9.75,90644,-0.05,-0.51%,9.75,883.63k,636
57,08/15/16,9.32,9.90,9.32,9.80,96962,0.25,2.62%,9.80,943.42k,685
58,08/12/16,9.27,9.59,9.12,9.55,85682,0.02,0.21%,9.55,802.36k,590
59,08/11/16,9.40,9.55,9.12,9.53,91896,-0.07,-0.73%,9.53,865.69k,656
60,08/10/16,9.70,9.9199,9.05,9.60,121353,-0.23,-2.34%,9.60,1.15m,739
