,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,29.92,30.015,29.353,29.50,26647,-0.57,-1.90%,29.50,788.89k,230
2,10/31/16,31.25,31.25,29.53,30.07,34550,-0.83,-2.69%,30.07,1.05m,302
3,10/28/16,31.26,31.71,30.90,30.90,22982,-0.47,-1.50%,30.90,718.96k,195
4,10/27/16,31.26,31.49,31.032,31.37,16985,0.19,0.61%,31.37,529.29k,122
5,10/26/16,31.22,31.41,31.032,31.18,18023,-0.003009,-0.01%,31.18,561.37k,137
6,10/25/16,31.37,31.99,31.2478,31.75,23591,0.559821,1.83%,31.183,747.54k,161
7,10/24/16,32.00,32.00,31.04,31.18,30724,-0.599106,-1.92%,30.6232,966.76k,185
8,10/21/16,31.75,31.88,31.61,31.79,25060,-0.019643,-0.06%,31.2223,795.88k,217
9,10/20/16,31.91,32.00,31.6601,31.81,9864,-0.176786,-0.56%,31.2419,314.23k,97
10,10/19/16,31.47,31.99,31.35,31.99,35532,0.942071,3.09%,31.4187,1.13m,229
11,10/18/16,31.46,31.48,30.8001,31.0308,59675,-0.087607,-0.29%,30.4767,1.86m,165
12,10/17/16,30.95,31.54,30.75,31.12,22637,0.432142,1.43%,30.5643,703.93k,209
13,10/14/16,31.25,31.68,30.67,30.68,17151,-0.412499,-1.35%,30.1321,533.84k,160
14,10/13/16,30.81,31.6929,30.2554,31.10,46193,0.088393,0.29%,30.5446,1.43m,502
15,10/12/16,31.13,31.658,31.01,31.01,15948,-0.392857,-1.27%,30.4562,499.32k,193
16,10/11/16,30.65,31.55,30.03,31.41,36816,0.83482,2.78%,30.8491,1.13m,298
17,10/10/16,31.25,31.6874,30.50,30.56,16582,-0.76607,-2.49%,30.0143,513.14k,142
18,10/07/16,30.97,31.4854,30.6101,31.34,54295,0.481249,1.59%,30.7803,1.68m,521
19,10/06/16,30.86,31.50,30.61,30.85,34966,-0.216169,-0.71%,30.2991,1.08m,330
20,10/05/16,31.03,31.245,30.8203,31.0701,36866,0.049205,0.16%,30.5152,1.14m,272
21,10/04/16,31.30,31.57,30.76,31.02,37398,-0.530357,-1.71%,30.466,1.17m,311
22,10/03/16,30.89,31.56,30.536,31.56,24532,0.422322,1.38%,30.9964,759.01k,215
23,09/30/16,30.56,31.21,30.43,31.13,39137,0.726785,2.44%,30.5741,1.21m,288
24,09/29/16,31.02,31.49,30.00,30.39,21305,-0.785714,-2.56%,29.8473,660.42k,236
25,09/28/16,30.23,31.24,29.83,31.19,45713,0.775892,2.60%,30.633,1.4m,368
26,09/27/16,29.84,30.4735,29.64,30.40,23191,0.726785,2.49%,29.8571,696.59k,197
27,09/26/16,30.25,30.6999,29.38,29.66,30067,-0.756249,-2.53%,29.1303,905.99k,237
28,09/23/16,30.49,31.01,30.05,30.43,21534,-0.019643,-0.07%,29.8866,654.25k,185
29,09/22/16,30.37,30.50,30.01,30.45,15733,0.34375,1.16%,29.9062,475.68k,136
30,09/21/16,30.26,30.33,29.961,30.10,20149,0.029366,0.10%,29.5625,606.95k,173
31,09/20/16,29.98,30.3366,29.98,30.0701,11063,-0.078473,-0.27%,29.5331,333.29k,92
32,09/19/16,29.97,30.36,29.756,30.15,37093,0.176785,0.60%,29.6116,1.11m,282
33,09/16/16,29.97,30.26,29.72,29.97,9608,-0.06875,-0.23%,29.4348,288.39k,91
34,09/15/16,30.03,30.25,29.6601,30.04,21985,-0.098214,-0.33%,29.5035,659.74k,144
35,09/14/16,30.09,30.31,29.20,30.14,29338,0.108036,0.37%,29.6018,877.46k,257
36,09/13/16,29.87,30.1999,29.5595,30.03,50563,-0.225893,-0.76%,29.4937,1.51m,374
37,09/12/16,29.07,30.355,29.07,30.26,42020,1.0607,3.70%,29.7196,1.25m,346
38,09/09/16,30.96,31.25,29.00,29.18,53947,-1.8857,-6.17%,28.6589,1.61m,468
39,09/08/16,30.63,31.10,30.111,31.10,31739,0.324107,1.07%,30.5446,972.67k,280
40,09/07/16,30.55,30.915,29.99,30.77,37898,0.402678,1.35%,30.2205,1.15m,353
41,09/06/16,29.73,30.976,29.73,30.36,43702,0.638392,2.19%,29.8178,1.32m,349
