,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,62.54,62.89,60.79,60.96,127542,-1.25,-2.01%,60.96,7.81m,1496
2,10/31/16,62.17,62.47,61.88,62.21,303088,0.28,0.45%,62.21,18.86m,2070
3,10/28/16,61.26,62.68,61.16,61.93,161480,0.68,1.11%,61.93,10.02m,1693
4,10/27/16,61.67,61.92,61.0003,61.25,119084,-0.28,-0.46%,61.25,7.29m,1377
5,10/26/16,60.48,61.63,60.48,61.53,179315,0.78,1.28%,61.53,11m,1723
6,10/25/16,61.16,61.615,59.99,60.75,251387,-0.22,-0.36%,60.75,15.25m,2223
7,10/24/16,62.02,62.02,60.75,60.97,151862,-0.14,-0.23%,60.97,9.29m,1486
8,10/21/16,60.51,61.22,60.22,61.11,145140,-0.07,-0.11%,61.11,8.86m,1605
9,10/20/16,61.37,61.74,60.90,61.18,147563,-0.53,-0.86%,61.18,9.05m,1623
10,10/19/16,61.61,62.01,61.27,61.71,188103,0.15,0.24%,61.71,11.6m,2150
11,10/18/16,62.66,62.66,61.54,61.56,147927,-0.32,-0.52%,61.56,9.14m,1629
12,10/17/16,61.78,62.21,61.78,61.88,107343,0.00,0.00%,61.88,6.65m,1246
13,10/14/16,62.08,62.60,61.84,61.88,166536,0.23,0.37%,61.88,10.33m,1536
14,10/13/16,61.82,61.99,61.40,61.65,116222,-0.88997,-1.42%,61.65,7.16m,1531
15,10/12/16,62.02,63.03,61.89,62.79,249501,0.956177,1.55%,62.54,15.61m,2451
16,10/11/16,63.30,63.30,61.54,61.83,231077,-1.5139,-2.40%,61.5838,14.32m,2358
17,10/10/16,63.58,63.94,62.951,63.35,163943,0.069721,0.11%,63.0977,10.4m,1892
18,10/07/16,64.99,64.99,63.04,63.28,165076,-1.5637,-2.42%,63.028,10.48m,1880
19,10/06/16,64.47,64.88,63.67,64.85,129123,0.388447,0.61%,64.5918,8.33m,1752
20,10/05/16,64.02,64.72,63.93,64.46,492685,0.826695,1.30%,64.2033,31.77m,2302
21,10/04/16,64.45,64.62,63.43,63.63,130153,-0.587651,-0.92%,63.3766,8.31m,2224
22,10/03/16,64.61,65.58,64.10,64.22,151447,-0.776894,-1.20%,63.9643,9.75m,1881
23,09/30/16,64.64,65.33,64.48,65.00,156025,0.826695,1.29%,64.7412,10.15m,1739
24,09/29/16,64.94,65.30,64.14,64.17,173183,-0.936257,-1.44%,63.9145,11.19m,2275
25,09/28/16,64.19,65.14,63.97,65.11,139956,1.1155,1.75%,64.8507,9.06m,1525
26,09/27/16,63.79,64.19,63.54,63.99,142858,0.378487,0.60%,63.7352,9.14m,1795
27,09/26/16,63.73,64.16,63.30,63.61,158447,-0.288845,-0.45%,63.3567,10.09m,1661
28,09/23/16,64.92,64.98,63.86,63.90,144379,-1.1554,-1.78%,63.6456,9.26m,1411
29,09/22/16,64.51,65.11,64.51,65.06,206702,1.1454,1.80%,64.8009,13.41m,2032
30,09/21/16,63.24,63.96,62.9401,63.91,200346,0.836655,1.33%,63.6555,12.75m,2241
31,09/20/16,63.33,63.60,62.90,63.07,203884,0.298805,0.48%,62.8189,12.9m,2120
32,09/19/16,61.87,62.84,61.87,62.77,201864,1.2151,1.98%,62.52,12.65m,1947
33,09/16/16,61.43,62.05,60.86,61.55,501120,0.109562,0.18%,61.3049,30.85m,3082
34,09/15/16,59.84,61.77,58.84,61.44,346415,-0.438248,-0.71%,61.1953,21.15m,3400
35,09/14/16,62.39,62.58,61.75,61.88,178874,-0.308765,-0.50%,61.6336,11.09m,1783
36,09/13/16,63.20,63.60,62.07,62.19,140749,-1.7132,-2.69%,61.9424,8.79m,1520
37,09/12/16,62.61,63.97,62.57,63.91,152517,1.0159,1.62%,63.6555,9.69m,2306
38,09/09/16,64.30,64.76,62.88,62.89,195223,-1.8825,-2.92%,62.6396,12.37m,1918
39,09/08/16,65.00,65.26,64.65,64.78,111158,-0.438248,-0.67%,64.522,7.21m,1293
40,09/07/16,64.93,65.34,64.80,65.22,156213,0.069721,0.11%,64.9603,10.17m,1597
41,09/06/16,66.53,66.59,64.82,65.15,166304,-1.2948,-1.96%,64.8906,10.85m,1783
42,09/05/16,,,,66.45,0,,0.00%,66.1854,,
43,09/02/16,66.10,66.46,65.855,66.45,150219,0.756974,1.16%,66.1854,9.95m,1646
44,09/01/16,65.51,65.71,64.73,65.69,115147,0.219124,0.34%,65.4284,7.53m,1563
45,08/31/16,65.48,65.84,65.10,65.47,202884,-0.139443,-0.21%,65.2093,13.28m,1595
46,08/30/16,65.41,65.85,65.27,65.61,178176,0.129482,0.20%,65.3487,11.67m,1660
47,08/29/16,65.47,65.74,65.28,65.48,128939,0.189244,0.29%,65.2193,8.45m,1404
48,08/26/16,66.08,66.10,64.95,65.29,278291,-0.56773,-0.87%,65.03,18.25m,3181
49,08/25/16,65.49,65.987,65.25,65.86,221066,0.268924,0.41%,65.5977,14.54m,2312
50,08/24/16,65.51,65.82,65.18,65.59,240836,0.079682,0.12%,65.3288,15.78m,2377
51,08/23/16,64.64,65.57,64.37,65.51,358897,1.3247,2.07%,65.2491,23.39m,3132
52,08/22/16,63.65,64.33,63.405,64.18,270636,0.328686,0.52%,63.9244,17.32m,2664
53,08/19/16,62.81,64.00,62.78,63.85,232937,0.727093,1.16%,63.5957,14.81m,1592
54,08/18/16,63.16,63.55,63.08,63.12,174762,0.109562,0.17%,62.8687,11.04m,1808
55,08/17/16,62.88,63.11,62.495,63.01,121344,0.278885,0.45%,62.7591,7.63m,1413
56,08/16/16,63.27,63.27,62.71,62.73,111731,-0.56773,-0.90%,62.4802,7.02m,1115
57,08/15/16,62.81,63.30,62.72,63.30,246646,0.517929,0.83%,63.0479,15.57m,2218
58,08/12/16,63.10,63.11,62.67,62.78,98421,-0.468129,-0.74%,62.53,6.19m,1178
59,08/11/16,63.36,63.64,63.17,63.25,174191,0.199204,0.32%,62.9981,11.03m,1712
60,08/10/16,63.47,63.47,62.72,63.05,162660,-0.338646,-0.54%,62.7989,10.24m,2177
61,08/09/16,63.11,63.39,62.90,63.39,124877,0.119522,0.19%,63.1376,7.89m,1478
62,08/08/16,63.43,63.5776,63.12,63.27,137461,-0.129482,-0.21%,63.0181,8.69m,1482
63,08/05/16,62.85,63.41,62.43,63.40,221651,0.986058,1.59%,63.1475,14.03m,1747
64,08/04/16,62.18,62.77,62.18,62.41,180436,0.258964,0.42%,62.1615,11.27m,1501
65,08/03/16,61.75,62.17,61.70,62.15,175275,0.478089,0.78%,61.9025,10.88m,1291
66,08/02/16,62.38,62.50,61.57,61.67,204262,-0.657372,-1.06%,61.4244,12.61m,1746
67,08/01/16,62.25,62.75,61.70,62.33,137711,0.069721,0.11%,62.0818,8.59m,1896
68,07/29/16,62.68,62.78,62.05,62.26,310574,-0.388447,-0.62%,62.0121,19.37m,2259
69,07/28/16,62.86,62.99,62.29,62.65,153667,-0.278885,-0.44%,62.4005,9.64m,1680
70,07/27/16,62.76,62.99,62.58,62.93,210904,0.338646,0.54%,62.6794,13.25m,3071
71,07/26/16,62.00,62.68,62.00,62.59,142350,0.727094,1.18%,62.3408,8.89m,1546
72,07/25/16,61.88,62.31,61.68,61.86,104300,-0.308766,-0.50%,61.6137,6.45m,1321
73,07/22/16,61.40,62.24,61.20,62.17,115157,0.846615,1.39%,61.9224,7.14m,1322
74,07/21/16,62.06,62.17,61.18,61.32,114762,-0.647411,-1.05%,61.0758,7.06m,1274
75,07/20/16,61.79,62.26,61.30,61.97,108914,0.298805,0.49%,61.7232,6.75m,1080
76,07/19/16,61.72,62.005,61.49,61.67,98464,-0.308766,-0.50%,61.4244,6.07m,1088
77,07/18/16,62.21,62.35,61.69,61.98,129781,-0.448208,-0.72%,61.7332,8.05m,1513
78,07/15/16,62.50,62.625,61.86,62.43,138109,0.398407,0.64%,62.1814,8.62m,1280
79,07/14/16,62.29,62.63,62.01,62.03,197718,-0.059761,-0.10%,61.783,12.31m,1980
80,07/13/16,62.60,62.60,61.93,62.09,202100,-0.059761,-0.10%,61.8428,12.56m,1916
81,07/12/16,61.75,62.50,61.35,62.15,255948,0.796815,1.30%,61.9025,15.89m,2590
82,07/11/16,61.35,62.21,60.855,61.35,173889,0.327501,0.54%,61.1057,10.74m,1748
83,07/08/16,60.82,61.29,60.60,61.24,267844,1.2406,2.08%,60.7782,16.35m,2242
84,07/07/16,60.04,60.61,59.68,59.99,273705,0.148868,0.25%,59.5376,16.43m,2567
85,07/06/16,59.54,60.02,59.22,59.84,305919,0.079397,0.13%,59.3888,18.3m,2757
