,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,20.99,21.06,20.40,20.54,9265431,-0.33967,-1.63%,20.52,191.19m,49909
2,10/31/16,20.46,20.97,20.32,20.88,7782591,0.35965,1.75%,20.8597,161.54m,45581
3,10/28/16,20.70,21.96,20.245,20.52,13362058,-1.1289,-5.22%,20.5001,279.08m,65410
4,10/27/16,20.92,21.675,20.86,21.65,12384593,0.7193,3.44%,21.629,265m,58007
5,10/26/16,20.37,21.04,20.18,20.93,9518240,0.299708,1.45%,20.9097,196.74m,50871
6,10/25/16,20.94,21.27,20.55,20.63,5082273,-0.479533,-2.27%,20.6099,105.88m,27476
7,10/24/16,21.25,21.42,20.84,21.11,4883362,-0.259747,-1.22%,21.0895,102.95m,28393
8,10/21/16,21.89,22.06,21.30,21.37,7864994,-0.68933,-3.13%,21.3492,169.98m,40735
9,10/20/16,21.09,22.14,21.00,22.06,10226748,0.479534,2.22%,22.0386,223.14m,58109
10,10/19/16,22.22,22.25,21.56,21.58,8212301,-0.529485,-2.40%,21.559,180.15m,34316
11,10/18/16,22.16,22.26,21.66,22.11,7972239,0.179825,0.82%,22.0885,175.39m,40984
12,10/17/16,22.33,22.42,21.45,21.93,8678385,-0.619397,-2.75%,21.9087,189.76m,46538
13,10/14/16,23.04,23.37,22.40,22.55,11193081,-0.199806,-0.88%,22.5281,255.37m,52980
14,10/13/16,23.71,24.17,22.19,22.75,26264894,-1.1089,-4.65%,22.7279,607.35m,105590
15,10/12/16,23.55,23.92,23.25,23.86,4251142,0.219786,0.93%,23.8368,101.17m,24047
16,10/11/16,24.03,24.12,23.54,23.64,6605198,-0.519494,-2.15%,23.617,156.87m,30656
17,10/10/16,25.57,25.57,23.87,24.16,11863046,-0.609408,-2.46%,24.1365,288.47m,58296
18,10/07/16,25.55,25.67,24.4612,24.77,12567538,-0.749271,-2.94%,24.7459,311.31m,52444
19,10/06/16,25.75,25.93,25.41,25.52,4173026,-0.169834,-0.66%,25.4952,106.73m,26184
20,10/05/16,25.54,25.8465,25.34,25.69,5973761,0.479533,1.90%,25.665,153.45m,29395
21,10/04/16,25.60,25.63,25.08,25.21,5671384,-0.499514,-1.94%,25.1855,143.13m,31793
22,10/03/16,25.89,25.89,25.45,25.71,3604587,-0.089912,-0.35%,25.685,92.45m,23521
23,09/30/16,25.58,25.91,25.44,25.80,4747168,0.329679,1.30%,25.7749,122.06m,29979
24,09/29/16,25.42,25.80,24.97,25.47,8725566,-0.019981,-0.08%,25.4452,221.88m,50015
25,09/28/16,24.59,25.60,24.40,25.49,8310127,1.1489,4.72%,25.4652,208.24m,52564
26,09/27/16,24.82,24.82,24.2249,24.34,6158840,-0.779241,-3.11%,24.3163,150.66m,38520
27,09/26/16,25.54,25.69,25.10,25.12,3862616,-0.389621,-1.53%,25.0956,97.59m,23784
28,09/23/16,25.72,25.96,24.99,25.51,5362719,-0.059942,-0.23%,25.4852,136.46m,33640
29,09/22/16,25.55,25.79,25.40,25.57,5491185,0.329679,1.31%,25.5451,140.44m,33547
30,09/21/16,24.79,25.27,24.60,25.24,6099417,0.7193,2.94%,25.2155,152.57m,35018
31,09/20/16,24.50,24.88,24.35,24.52,5479776,0.169835,0.70%,24.4962,134.94m,30182
32,09/19/16,24.52,24.669,24.185,24.35,3497116,0.049952,0.21%,24.3263,85.33m,20996
33,09/16/16,24.71,24.74,24.02,24.30,7010201,-0.739281,-2.96%,24.2764,170.66m,35208
34,09/15/16,25.15,25.27,24.78,25.04,5444628,-0.049952,-0.20%,25.0157,136.2m,29301
35,09/14/16,25.11,25.76,24.99,25.09,5446420,-0.119883,-0.48%,25.0656,137.43m,37986
36,09/13/16,26.02,26.04,25.00,25.21,6149140,-1.0889,-4.14%,25.1855,155.37m,35028
37,09/12/16,25.92,26.4775,25.835,26.30,4075897,0.239766,0.92%,26.2744,106.74m,27146
38,09/09/16,26.22,26.74,26.03,26.06,5718279,-0.439572,-1.66%,26.0347,150.43m,33651
39,09/08/16,25.50,26.56,25.50,26.50,8842924,1.2488,4.95%,26.4742,231.7m,49355
40,09/07/16,24.80,25.48,24.80,25.25,6854234,0.479533,1.94%,25.2255,172.71m,35751
41,09/06/16,24.39,24.78,24.32,24.77,5508997,0.359651,1.47%,24.7459,135.41m,29823
42,09/05/16,,,,24.41,0,,0.00%,24.3863,,
43,09/02/16,24.69,24.77,24.37,24.41,4385477,-0.049952,-0.20%,24.3863,107.28m,26646
44,09/01/16,24.44,24.80,24.21,24.46,5155734,-0.169835,-0.69%,24.4362,126.1m,28387
45,08/31/16,24.70,24.865,24.40,24.63,7187519,-0.209796,-0.85%,24.6061,176.95m,28270
46,08/30/16,25.32,25.41,24.76,24.84,7326495,-0.319688,-1.27%,24.8159,183.74m,28790
47,08/29/16,25.31,25.34,25.04,25.16,5414217,-0.069932,-0.28%,25.1355,136.18m,27975
48,08/26/16,25.51,25.85,25.09,25.23,5259747,-0.169835,-0.67%,25.2055,133.38m,31597
49,08/25/16,25.62,25.68,25.32,25.40,4476696,-0.209796,-0.82%,25.3753,114m,22211
50,08/24/16,25.94,26.01,25.54,25.61,3303452,-0.399611,-1.54%,25.5851,85.11m,22046
51,08/23/16,25.83,26.14,25.77,26.01,2881161,0.269737,1.05%,25.9847,74.87m,21241
52,08/22/16,25.71,26.01,25.655,25.74,3785764,-0.219786,-0.85%,25.715,97.59m,25329
53,08/19/16,25.95,26.22,25.63,25.96,5255219,-0.099903,-0.38%,25.9348,136.28m,31593
54,08/18/16,25.12,26.32,25.06,26.06,7229927,1.049,4.20%,26.0347,187.55m,41628
55,08/17/16,25.10,25.3899,24.79,25.01,3152191,-0.069932,-0.28%,24.9857,78.75m,23592
56,08/16/16,25.33,25.39,24.84,25.08,4095574,-0.329679,-1.30%,25.0556,102.97m,27178
57,08/15/16,25.20,25.60,25.175,25.41,3861709,0.329679,1.32%,25.3853,98.25m,26316
58,08/12/16,24.72,25.15,24.46,25.08,3882031,0.519494,2.12%,25.0556,96.97m,25215
59,08/11/16,24.28,24.68,24.06,24.56,5268650,0.549466,2.29%,24.5361,129.26m,25562
60,08/10/16,24.33,24.62,23.92,24.01,5685383,-0.179825,-0.74%,23.9867,136.93m,33242
61,08/09/16,25.05,25.092,24.14,24.19,5897931,-0.809213,-3.24%,24.1665,143.93m,34864
62,08/08/16,24.74,25.59,24.71,25.00,5038717,0.459553,1.87%,24.9757,127.05m,31245
63,08/05/16,24.46,24.69,24.28,24.54,3785668,0.139742,0.57%,24.5161,92.74m,23231
64,08/04/16,24.37,24.68,24.26,24.42,5710899,0.00,0.00%,24.3764,139.72m,35688
65,08/03/16,24.05,24.495,23.71,24.42,6285287,0.41925,1.75%,24.3764,152.39m,36021
66,08/02/16,23.77,24.15,23.53,24.00,5258562,0.269518,1.14%,23.9572,125.37m,32774
67,08/01/16,24.58,24.70,23.62,23.73,7873761,-0.938322,-3.81%,23.6876,188.32m,47313
68,07/29/16,23.56,25.345,23.26,24.67,9824796,0.818536,3.44%,24.626,242.18m,54738
69,07/28/16,23.60,24.14,23.31,23.85,7661015,0.22959,0.97%,23.8074,182.59m,46623
70,07/27/16,23.77,24.01,23.33,23.62,5437001,0.059893,0.25%,23.5778,128.45m,36319
71,07/26/16,23.41,23.88,23.28,23.56,5739448,-0.009983,-0.04%,23.5179,135.48m,33992
72,07/25/16,24.20,24.36,23.50,23.57,7709367,-0.808554,-3.32%,23.5279,183.01m,42324
73,07/22/16,24.41,24.69,23.94,24.38,6299662,0.169697,0.70%,24.3365,153.2m,41923
74,07/21/16,24.50,25.14,24.17,24.21,6252359,-0.289482,-1.18%,24.1668,153.49m,33992
75,07/20/16,24.69,24.91,24.20,24.50,4250528,-0.439215,-1.76%,24.4563,104.61m,27162
76,07/19/16,25.37,25.46,24.70,24.94,2543077,-0.409268,-1.62%,24.8955,63.43m,17570
77,07/18/16,25.08,25.5275,24.91,25.35,2988112,0.289482,1.16%,25.3047,75.57m,20939
78,07/15/16,25.45,25.48,24.96,25.06,2783230,-0.149732,-0.60%,25.0153,69.96m,17266
79,07/14/16,26.14,26.14,25.205,25.21,2515867,-0.489125,-1.91%,25.165,63.81m,18057
80,07/13/16,25.96,26.08,25.16,25.70,3990168,-0.209625,-0.81%,25.6541,101.92m,28754
81,07/12/16,26.00,26.53,25.875,25.91,4477727,0.309446,1.21%,25.8637,116.91m,32628
82,07/11/16,25.50,25.77,25.40,25.60,3111394,0.159715,0.63%,25.5543,79.56m,22419
83,07/08/16,25.85,25.90,25.07,25.44,4312672,0.019964,0.08%,25.3946,109.81m,27042
84,07/07/16,26.16,26.21,24.96,25.42,4924068,-0.41925,-1.63%,25.3746,125.54m,33382
85,07/06/16,25.28,25.865,25.13,25.84,3299902,0.469161,1.85%,25.7939,84.8m,26591
86,07/05/16,25.26,25.52,24.61,25.37,4296391,-0.459179,-1.78%,25.3247,107.61m,29963
87,07/04/16,,,,25.83,0,,0.00%,25.7839,,
88,07/01/16,25.81,26.09,25.62,25.83,5015474,0.089839,0.35%,25.7839,129.61m,35655
89,06/30/16,25.33,26.00,25.11,25.74,5241368,0.349375,1.38%,25.694,134.81m,36243
90,06/29/16,26.28,26.44,25.37,25.39,5448125,-0.598928,-2.31%,25.3447,139.6m,37193
91,06/28/16,24.56,26.05,24.42,25.99,5681938,1.9266,8.02%,25.9436,145.26m,39694
92,06/27/16,24.53,25.10,23.79,24.06,4771092,-0.678786,-2.75%,24.017,115.9m,39756
93,06/24/16,24.53,25.02,24.50,24.74,6339596,-0.50909,-2.02%,24.6958,156.98m,33708
94,06/23/16,25.39,25.50,25.09,25.25,2472261,0.019965,0.08%,25.2049,62.34m,17383
95,06/22/16,25.52,25.52,24.90,25.23,3254676,-0.239571,-0.94%,25.185,82.02m,24249
96,06/21/16,24.98,25.59,24.98,25.47,2784985,0.339392,1.35%,25.4245,70.84m,18412
97,06/20/16,25.04,25.51,24.76,25.13,3854818,0.469161,1.91%,25.0851,97.21m,26845
98,06/17/16,24.66,24.86,24.46,24.66,6384435,0.259536,1.07%,24.616,157.14m,31162
99,06/16/16,24.26,24.61,24.20,24.40,3991578,-0.13975,-0.57%,24.3564,97.54m,30502
100,06/15/16,24.63,25.00,24.45,24.54,4644874,-0.109804,-0.45%,24.4962,114.54m,31029
101,06/14/16,25.02,25.29,24.35,24.65,3821318,-0.439214,-1.75%,24.606,94.17m,23632
102,06/13/16,24.92,25.15,24.82,25.09,4192034,0.039929,0.16%,25.0452,104.85m,27389
103,06/10/16,25.56,25.85,24.95,25.05,4325659,-0.848483,-3.28%,25.0053,109.19m,31247
104,06/09/16,24.85,26.08,24.78,25.90,5877915,0.868446,3.48%,25.8538,150.87m,36544
105,06/08/16,25.70,25.86,24.99,25.03,4667821,-0.399285,-1.57%,24.9853,118.05m,28605
106,06/07/16,24.61,25.82,24.47,25.43,5806474,0.918357,3.75%,25.3846,146.22m,36700
107,06/06/16,24.65,24.72,24.29,24.51,4479797,0.2795,1.16%,24.4662,109.8m,27974
108,06/03/16,24.79,24.85,23.97,24.23,5331970,-0.509089,-2.06%,24.1867,129.65m,31454
109,06/02/16,24.36,24.79,24.12,24.74,3600379,0.069875,0.28%,24.6958,88.06m,25335
110,06/01/16,23.82,24.73,23.82,24.67,5308768,0.698751,2.92%,24.626,130.04m,33070
111,05/31/16,24.02,24.19,23.71,23.97,6510763,0.359357,1.52%,23.9272,156.23m,28931
112,05/30/16,,,,23.61,0,,0.00%,23.5679,,
113,05/27/16,23.69,24.16,23.48,23.61,4367694,-0.079857,-0.34%,23.5679,103.46m,30591
114,05/26/16,24.23,24.24,23.64,23.69,3295625,-0.299465,-1.25%,23.6477,78.5m,23654
115,05/25/16,23.57,24.095,23.50,23.99,3625181,0.688768,2.96%,23.9472,86.77m,26095
116,05/24/16,23.43,23.50,22.945,23.30,2817502,-0.039928,-0.17%,23.2584,65.57m,20379
117,05/23/16,22.89,23.58,22.89,23.34,3338929,0.169696,0.73%,23.2983,77.77m,20256
118,05/20/16,23.38,23.42,22.84,23.17,3297922,-0.019964,-0.09%,23.1286,76.24m,20918
119,05/19/16,22.81,23.30,22.70,23.19,6565588,0.019964,0.09%,23.1486,151.42m,39548
120,05/18/16,23.78,23.92,23.09,23.17,6748898,-0.69875,-2.93%,23.1286,157.51m,36663
121,05/17/16,23.91,24.11,23.61,23.87,4361337,0.099822,0.42%,23.8274,104.13m,28252
122,05/16/16,24.11,24.20,23.51,23.77,4983788,-0.03993,-0.17%,23.7276,118.36m,36158
123,05/13/16,24.19,24.67,23.77,23.81,3843545,-0.588946,-2.42%,23.7675,92.78m,28265
124,05/12/16,24.80,25.04,24.24,24.40,3069854,-0.069875,-0.29%,24.3564,75.22m,25632
125,05/11/16,24.37,24.70,24.17,24.47,3658312,-0.129653,-0.53%,24.4263,89.49m,28937
126,05/10/16,24.14,24.64,24.05,24.62,4799242,0.608413,2.54%,24.556,116.84m,33209
127,05/09/16,23.65,24.18,23.33,24.01,4809365,0.199481,0.84%,23.9476,115.02m,32000
128,05/06/16,23.79,24.445,23.75,23.81,5618582,-0.379013,-1.57%,23.7481,135.42m,38622
129,05/05/16,24.37,24.74,23.85,24.19,5736778,0.34909,1.47%,24.1271,138.56m,36121
130,05/04/16,24.29,24.53,23.56,23.84,6109635,-0.039896,-0.17%,23.778,145.87m,44354
131,05/03/16,24.03,24.40,23.75,23.88,6052803,-0.359064,-1.49%,23.8179,144.98m,40180
132,05/02/16,23.33,24.62,23.28,24.24,7860726,0.837816,3.59%,24.177,189.54m,59157
133,04/29/16,23.71,24.00,22.78,23.40,8403157,-0.179533,-0.76%,23.3391,195.44m,57013
134,04/28/16,23.79,24.10,23.45,23.58,8760592,-0.488725,-2.04%,23.5187,207.73m,48975
135,04/27/16,23.08,24.17,22.6499,24.07,9104960,1.2567,5.52%,24.0074,214.68m,55724
136,04/26/16,22.41,22.85,21.90,22.81,7699726,0.518648,2.33%,22.7507,173.02m,45855
137,04/25/16,22.88,23.19,21.94,22.29,12323856,-0.967478,-4.17%,22.232,274.54m,77720
138,04/22/16,23.00,23.63,22.93,23.26,5510842,0.428882,1.88%,23.1995,128.09m,38798
139,04/21/16,23.46,23.63,22.71,22.83,5989743,-0.688205,-2.93%,22.7706,138.38m,45089
140,04/20/16,23.40,23.77,23.31,23.52,4432045,0.039895,0.17%,23.4588,104.4m,33676
141,04/19/16,23.70,23.9399,23.25,23.48,4796810,0.069818,0.30%,23.4189,112.62m,31057
142,04/18/16,22.39,23.66,22.20,23.41,4518504,0.379013,1.65%,23.3491,105.02m,32734
143,04/15/16,22.60,23.23,22.33,23.03,6105158,0.219427,0.96%,22.9701,139.95m,33816
144,04/14/16,23.14,23.2899,22.515,22.81,6293355,-0.388986,-1.68%,22.7507,143.88m,35569
145,04/13/16,23.78,23.78,22.86,23.20,6176320,-0.588466,-2.48%,23.1397,143.53m,44775
146,04/12/16,23.13,23.99,22.98,23.79,6140256,0.877712,3.84%,23.7281,144.48m,43255
147,04/11/16,23.49,23.83,22.76,22.91,5525024,-0.568518,-2.43%,22.8504,127.16m,33100
148,04/08/16,23.71,23.80,22.97,23.48,5596439,0.209455,0.90%,23.4189,130.52m,37312
149,04/07/16,22.30,23.29,22.225,23.27,5166685,0.917607,4.12%,23.2095,118.93m,36378
150,04/06/16,22.35,22.685,21.97,22.35,6151738,0.029922,0.13%,22.2919,137.11m,42640
1,04/05/16,22.42,22.62,22.10,22.32,7657861,-0.379012,-1.67%,22.262,171.1m,43499
2,04/04/16,22.61,23.34,22.50,22.70,6589447,0.189506,0.84%,22.641,151.05m,46022
3,04/01/16,22.26,22.71,22.20,22.51,5176844,-0.19948,-0.88%,22.4515,116.79m,35672
4,03/31/16,22.74,22.89,22.51,22.71,6860138,0.00,0.00%,22.6509,155.85m,31810
5,03/30/16,22.88,22.90,22.33,22.71,4798472,0.069818,0.31%,22.6509,108.59m,31641
6,03/29/16,21.67,22.72,21.61,22.64,4779606,0.578491,2.63%,22.5811,106.33m,33960
7,03/28/16,22.00,22.17,21.41,22.06,5571646,0.089766,0.41%,22.0026,121.99m,35541
8,03/25/16,,,,21.97,0,,0.00%,21.9129,,
9,03/24/16,21.02,22.14,20.93,21.97,5672833,0.4987,2.33%,21.9129,123.48m,39835
10,03/23/16,21.63,22.00,21.39,21.47,5256532,-0.29922,-1.38%,21.4142,113.79m,40274
11,03/22/16,21.80,22.08,21.4195,21.77,5288225,-0.019948,-0.09%,21.7134,115.1m,33284
12,03/21/16,22.64,22.69,21.64,21.79,7292581,-0.977451,-4.30%,21.7333,159.96m,46232
13,03/18/16,22.89,22.92,22.08,22.77,9133447,0.009975,0.04%,22.7108,206.55m,48279
14,03/17/16,23.25,23.31,22.42,22.76,6494797,-0.179533,-0.78%,22.7008,147.67m,44174
15,03/16/16,22.60,23.02,22.27,22.94,6480832,0.359064,1.59%,22.8803,147.29m,47467
16,03/15/16,21.87,22.60,21.65,22.58,5829637,0.478752,2.17%,22.5213,129.46m,1
17,03/14/16,21.57,22.21,21.47,22.10,5385609,0.139635,0.64%,22.0425,118.36m,0
18,03/11/16,22.41,22.50,21.64,21.96,5833690,0.04987,0.23%,21.9029,128.39m,0
19,03/10/16,20.68,22.16,20.45,21.91,12204276,0.658283,3.11%,21.853,263.22m,78894
20,03/09/16,21.86,21.98,19.77,21.25,22277883,-0.119687,-0.56%,21.1947,467.5m,114009
21,03/08/16,22.02,22.06,21.255,21.37,8914125,-1.0173,-4.56%,21.3144,191.81m,58241
22,03/07/16,21.44,22.49,21.01,22.39,12308668,0.917606,4.29%,22.3318,269.13m,79436
23,03/04/16,22.52,22.70,21.13,21.47,10681979,-0.698179,-3.16%,21.4142,233.42m,74220
24,03/03/16,21.89,22.55,21.675,22.17,10157200,0.119688,0.54%,22.1123,224.86m,66715
25,03/02/16,20.86,22.06,20.795,22.05,9646351,1.0572,5.05%,21.9927,207.2m,60966
