,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,13.19,13.45,12.96,13.22,6635249,0.23,1.77%,13.22,87.54m,33424
2,10/31/16,13.30,13.34,12.70,12.99,6958313,-0.49,-3.64%,12.99,90.01m,32083
3,10/28/16,13.83,14.18,13.45,13.48,2614332,-0.44,-3.16%,13.48,35.91m,16978
4,10/27/16,14.23,14.34,13.90,13.92,2045132,-0.15,-1.07%,13.92,28.85m,12810
5,10/26/16,14.00,14.22,13.635,14.07,5747161,-0.18,-1.26%,14.07,80.04m,30101
6,10/25/16,14.86,14.92,14.24,14.25,2702033,-0.63,-4.23%,14.25,39.19m,18083
7,10/24/16,15.07,15.275,14.63,14.88,3153339,-0.18,-1.20%,14.88,47.06m,19991
8,10/21/16,14.82,15.31,14.775,15.06,2441709,0.07,0.47%,15.06,36.79m,15635
9,10/20/16,14.91,15.38,14.56,14.99,2563748,-0.17,-1.12%,14.99,38.61m,16801
10,10/19/16,15.01,15.69,15.01,15.16,5233374,0.31,2.09%,15.16,80.16m,28289
11,10/18/16,15.18,15.18,14.7248,14.85,3055402,-0.05,-0.34%,14.85,45.44m,18095
12,10/17/16,15.21,15.29,14.87,14.90,3268346,-0.30,-1.97%,14.90,49.09m,19570
13,10/14/16,15.51,15.66,15.05,15.20,3521463,-0.22,-1.43%,15.20,53.76m,21760
14,10/13/16,15.63,15.79,15.205,15.42,3420580,-0.38,-2.41%,15.42,52.99m,21908
15,10/12/16,15.72,15.87,15.49,15.80,4155752,-0.04,-0.25%,15.80,65.17m,22131
16,10/11/16,15.90,15.975,15.615,15.84,3223299,-0.12,-0.75%,15.84,50.88m,19150
17,10/10/16,15.83,16.36,15.78,15.96,5075976,0.42,2.70%,15.96,81.33m,24496
18,10/07/16,15.61,15.81,15.39,15.54,2673327,-0.11,-0.70%,15.54,41.73m,15573
19,10/06/16,15.87,16.03,15.43,15.65,3282117,-0.02,-0.13%,15.65,51.39m,18600
20,10/05/16,15.63,15.83,15.515,15.67,4760028,0.30,1.95%,15.67,74.62m,27308
21,10/04/16,15.69,15.79,15.175,15.37,3319676,-0.24,-1.54%,15.37,50.97m,22670
22,10/03/16,15.74,15.77,15.08,15.61,5356153,-0.09,-0.57%,15.61,82.5m,33133
23,09/30/16,15.13,15.86,15.02,15.70,7451572,0.72,4.81%,15.70,116.21m,35461
24,09/29/16,14.66,15.24,14.66,14.98,6603843,0.32,2.18%,14.98,99.05m,41586
25,09/28/16,13.83,14.67,13.455,14.66,8512523,1.11,8.19%,14.66,120.7m,48520
26,09/27/16,13.88,13.90,13.33,13.55,3548232,-0.51,-3.63%,13.55,48.04m,22705
27,09/26/16,14.34,14.53,14.055,14.06,4094666,-0.13,-0.92%,14.06,58.2m,25087
28,09/23/16,14.73,14.85,14.01,14.19,4777335,-0.66,-4.44%,14.19,68.62m,25992
29,09/22/16,15.17,15.27,14.765,14.85,3676883,-0.05,-0.34%,14.85,54.88m,23375
30,09/21/16,14.45,14.935,14.42,14.90,4107010,0.75,5.30%,14.90,60.12m,28111
31,09/20/16,14.16,14.35,14.06,14.15,2935533,-0.22,-1.53%,14.15,41.67m,19605
32,09/19/16,14.68,14.89,14.361,14.37,3015719,-0.11,-0.76%,14.37,43.78m,19707
33,09/16/16,13.94,14.50,13.78,14.48,7124486,0.29,2.04%,14.48,102.21m,22873
34,09/15/16,14.23,14.45,13.98,14.19,5179662,0.06,0.42%,14.19,73.71m,26710
35,09/14/16,14.38,14.65,14.02,14.13,4137932,-0.23,-1.60%,14.13,58.94m,28563
36,09/13/16,14.99,15.00,14.32,14.36,5897820,-0.91,-5.96%,14.36,86m,36651
37,09/12/16,14.77,15.28,14.58,15.27,6041238,0.25,1.66%,15.27,90.72m,37518
38,09/09/16,15.40,15.58,14.87,15.02,6715689,-0.52,-3.35%,15.02,101.45m,34469
39,09/08/16,15.75,15.91,15.3201,15.54,6146047,0.08,0.52%,15.54,95.84m,33147
40,09/07/16,15.05,15.68,15.05,15.46,22900555,0.16,1.05%,15.46,349.91m,91793
41,09/06/16,15.29,15.30,14.9275,15.30,2527729,0.34,2.27%,15.30,38.3m,16890
42,09/05/16,,,,14.96,0,,0.00%,14.96,,
43,09/02/16,14.84,15.19,14.83,14.96,2388042,0.30,2.05%,14.96,35.83m,17015
44,09/01/16,14.47,14.68,14.275,14.66,3099799,0.11,0.76%,14.66,44.92m,21444
45,08/31/16,14.66,14.79,14.23,14.55,3301362,-0.20,-1.36%,14.55,47.9m,19239
46,08/30/16,14.88,15.09,14.61,14.75,2375396,0.03,0.20%,14.75,35.34m,14299
47,08/29/16,14.39,14.77,14.27,14.72,1997007,0.27,1.87%,14.72,29.25m,13398
48,08/26/16,14.45,14.65,14.19,14.45,3158706,0.01,0.07%,14.45,45.62m,20570
49,08/25/16,14.16,14.52,13.9563,14.44,3049589,0.30,2.12%,14.44,43.56m,19179
50,08/24/16,14.17,14.36,13.98,14.14,2795700,-0.14,-0.98%,14.14,39.67m,17183
51,08/23/16,13.96,14.375,13.88,14.28,2691534,0.26,1.85%,14.28,38.26m,17260
52,08/22/16,13.92,14.137,13.725,14.02,2658709,-0.10,-0.71%,14.02,37.16m,16436
53,08/19/16,14.09,14.20,13.96,14.12,2419138,-0.02,-0.14%,14.12,34.12m,13485
54,08/18/16,14.10,14.30,13.93,14.14,2860869,0.15,1.07%,14.14,40.27m,18132
55,08/17/16,13.93,14.06,13.53,13.99,3167710,0.13,0.94%,13.99,43.91m,18944
56,08/16/16,13.97,14.01,13.69,13.86,2985423,-0.18,-1.28%,13.86,41.43m,19028
57,08/15/16,13.71,14.18,13.71,14.04,3124640,0.43,3.16%,14.04,43.73m,18305
58,08/12/16,13.63,13.76,13.315,13.61,4006866,0.05,0.37%,13.61,54.35m,23416
59,08/11/16,13.20,13.85,12.95,13.56,5917195,0.67,5.20%,13.56,80.15m,32866
60,08/10/16,12.97,13.26,12.755,12.89,5007688,0.05,0.39%,12.89,64.84m,29766
61,08/09/16,12.54,13.23,12.45,12.84,6744175,0.42,3.38%,12.84,86.82m,38396
62,08/08/16,12.30,12.57,12.22,12.42,4459554,0.41,3.41%,12.42,55.38m,24255
63,08/05/16,11.69,12.25,11.53,12.01,3850256,0.34,2.91%,12.01,46.15m,22829
64,08/04/16,11.31,11.87,11.2199,11.67,3293981,0.24,2.10%,11.67,38.3m,20813
65,08/03/16,10.75,11.44,10.63,11.43,4572037,0.72,6.72%,11.43,51.26m,26081
66,08/02/16,10.77,10.84,10.34,10.71,2858920,0.15,1.42%,10.71,30.26m,18136
