,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,25.65,25.88,25.37,25.43,113303,-0.198947,-0.78%,25.2961,2.89m,1567
2,10/31/16,25.38,25.66,25.0611,25.63,174985,0.29842,1.18%,25.495,4.46m,1941
3,10/28/16,25.61,26.15,25.295,25.33,142254,-0.009947,-0.04%,25.1966,3.63m,1600
4,10/27/16,24.95,25.51,24.54,25.34,118753,0.308367,1.24%,25.2065,3.01m,1488
5,10/26/16,24.96,25.35,24.96,25.03,69592,-0.129315,-0.52%,24.8982,1.75m,879
6,10/25/16,25.27,25.55,25.03,25.16,60350,-0.14921,-0.59%,25.0275,1.52m,777
7,10/24/16,25.08,25.50,25.08,25.31,63745,0.358104,1.44%,25.1767,1.61m,858
8,10/21/16,24.72,25.12,24.72,24.95,67777,-0.079579,-0.32%,24.8186,1.69m,766
9,10/20/16,25.01,25.21,24.8901,25.03,50836,0.019895,0.08%,24.8982,1.27m,636
10,10/19/16,24.74,25.22,24.68,25.01,77777,0.338209,1.38%,24.8783,1.95m,945
11,10/18/16,24.60,24.85,24.5831,24.67,116048,0.079579,0.33%,24.5401,2.87m,1226
12,10/17/16,24.64,24.85,24.58,24.59,79447,-0.079579,-0.32%,24.4605,1.96m,966
13,10/14/16,25.00,25.30,24.626,24.67,193214,0.049737,0.20%,24.5401,4.78m,2105
14,10/13/16,25.34,25.34,24.56,24.62,192752,-0.944997,-3.72%,24.4903,4.77m,2408
15,10/12/16,25.58,25.73,25.48,25.57,53151,0.019895,0.08%,25.4353,1.36m,803
16,10/11/16,25.82,25.96,25.39,25.55,73206,-0.278525,-1.08%,25.4154,1.87m,970
17,10/10/16,25.75,26.085,25.68,25.83,81328,0.208894,0.82%,25.694,2.11m,993
18,10/07/16,25.77,25.78,25.355,25.62,109085,-0.089526,-0.35%,25.4851,2.79m,1612
19,10/06/16,25.65,25.81,25.44,25.71,74002,0.019894,0.08%,25.5746,1.9m,1005
