,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,17.60,17.60,17.17,17.25,16520,-0.31791,-1.82%,17.1374,287.13k,98
2,10/31/16,18.08,18.13,17.55,17.57,13669,-0.57681,-3.20%,17.4553,242.93k,91
3,10/28/16,18.46,18.4877,18.15,18.1506,7874,-0.347119,-1.89%,18.0321,143.93k,46
4,10/27/16,18.38,18.80,18.21,18.50,26021,0.13032,0.71%,18.3792,481.38k,107
5,10/26/16,18.62,18.6729,18.2343,18.48,10371,-0.069125,-0.38%,18.2489,192k,76
6,10/25/16,18.58,18.8709,18.55,18.55,7364,-0.066064,-0.36%,18.318,138.03k,57
7,10/24/16,18.88,18.88,18.516,18.6169,16964,-0.200559,-1.08%,18.3841,315.44k,64
8,10/21/16,18.75,19.0261,18.75,18.82,10729,-0.079,-0.42%,18.5846,202.58k,56
9,10/20/16,18.55,19.10,18.55,18.90,12601,0.347796,1.90%,18.6636,237.08k,95
10,10/19/16,18.18,18.67,18.16,18.5478,26270,0.38295,2.14%,18.3158,485.25k,170
11,10/18/16,18.10,18.18,17.94,18.16,49611,0.108723,0.61%,17.9329,896.46k,182
12,10/17/16,18.10,18.40,18.01,18.0499,7783,-0.039599,-0.22%,17.8242,140.84k,65
13,10/14/16,18.50,18.50,18.07,18.09,4926,-0.335747,-1.84%,17.8638,89.88k,64
14,10/13/16,18.42,18.485,18.23,18.43,11123,-0.029626,-0.16%,18.1995,204.46k,88
15,10/12/16,18.60,18.75,18.2501,18.46,9316,0.039501,0.22%,18.2291,171.46k,66
16,10/11/16,18.25,18.75,18.15,18.42,78265,0.167873,0.93%,18.1896,1.45m,355
17,10/10/16,18.35,18.37,18.01,18.25,55098,0.0395,0.22%,18.0218,1m,234
18,10/07/16,18.28,18.6672,18.20,18.21,17132,-0.098749,-0.55%,17.9823,314.4k,134
19,10/06/16,18.30,18.49,17.825,18.31,5771,0.00,0.00%,18.081,105.34k,63
20,10/05/16,18.02,18.88,17.9444,18.31,47153,0.325873,1.84%,18.081,867.62k,202
21,10/04/16,18.29,18.29,17.75,17.98,37855,-0.335748,-1.86%,17.7551,678.56k,135
22,10/03/16,18.32,18.32,17.97,18.32,5047,0.079,0.44%,18.0909,91.44k,63
23,09/30/16,18.69,18.70,18.24,18.24,14824,-0.375248,-2.04%,18.0119,273.71k,123
24,09/29/16,18.37,18.74,18.15,18.62,13087,0.301185,1.67%,18.3871,240.32k,90
25,09/28/16,17.82,18.3626,17.65,18.315,13333,0.48246,2.74%,18.086,239.06k,112
26,09/27/16,18.10,18.24,17.77,17.90,18847,-0.147516,-0.83%,17.6035,339.25k,147
27,09/26/16,18.29,18.3568,17.901,18.05,12296,-0.344203,-1.90%,17.751,223.02k,109
28,09/23/16,18.50,18.51,18.40,18.40,10097,-0.137681,-0.76%,18.0952,186.43k,36
29,09/22/16,18.42,18.71,18.39,18.54,16879,0.228157,1.27%,18.2329,313.48k,108
30,09/21/16,18.15,18.40,18.04,18.308,14613,0.243893,1.37%,18.0047,265.71k,88
31,09/20/16,18.01,18.1798,17.8501,18.06,8559,0.20652,1.18%,17.7608,154.3k,60
32,09/19/16,18.11,18.30,17.85,17.85,6929,-0.304863,-1.71%,17.5543,125.03k,62
33,09/16/16,18.12,18.2342,17.91,18.16,6246,0.009833,0.06%,17.8592,112.72k,48
34,09/15/16,18.15,18.46,18.00,18.15,10101,0.078675,0.44%,17.8494,183.85k,85
35,09/14/16,18.21,18.542,17.91,18.07,16145,-0.06884,-0.39%,17.7707,293.68k,117
36,09/13/16,18.55,18.5501,18.00,18.14,32397,-0.403209,-2.21%,17.8395,594.55k,186
37,09/12/16,18.74,18.99,18.55,18.55,18352,-0.422877,-2.27%,18.2427,342.65k,124
38,09/09/16,19.14,19.399,18.76,18.98,6823,-0.422877,-2.22%,18.6656,129.99k,41
