,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,4.47,4.47,4.42,4.43,87643,-0.058,-1.29%,4.43,390.4k,204
2,10/31/16,4.50,4.50,4.45,4.488,59996,0.008,0.18%,4.488,268.66k,283
3,10/28/16,4.47,4.49,4.47,4.48,61292,-0.01,-0.22%,4.48,274.68k,112
4,10/27/16,4.48,4.49,4.47,4.49,51968,0.001,0.02%,4.49,232.84k,129
5,10/26/16,4.50,4.51,4.47,4.489,49249,-0.031,-0.69%,4.489,221.22k,64
6,10/25/16,4.54,4.545,4.46,4.52,110619,-0.02,-0.44%,4.52,499.09k,270
7,10/24/16,4.55,4.58,4.54,4.54,60982,-0.01,-0.22%,4.54,278.05k,178
8,10/21/16,4.52,4.55,4.505,4.55,61736,0.03,0.66%,4.55,279.63k,214
9,10/20/16,4.50,4.54,4.50,4.52,61206,0.01,0.22%,4.52,276.44k,145
10,10/19/16,4.50,4.54,4.4901,4.51,211433,0.01,0.22%,4.51,955.28k,312
11,10/18/16,4.49,4.52,4.49,4.50,114975,0.02,0.45%,4.50,518.52k,108
12,10/17/16,4.50,4.52,4.43,4.48,133246,-0.01,-0.22%,4.48,594.13k,398
13,10/14/16,4.52,4.53,4.48,4.49,44540,0.01,0.22%,4.49,201.09k,175
14,10/13/16,4.49,4.51,4.47,4.48,46340,-0.01,-0.22%,4.48,208.25k,102
15,10/12/16,4.52,4.58,4.49,4.49,68919,-0.03,-0.66%,4.49,312.42k,149
16,10/11/16,4.54,4.5706,4.4801,4.52,43908,-0.019999,-0.44%,4.52,198.24k,81
17,10/10/16,4.6245,4.67,4.60,4.64,186164,0.029354,0.65%,4.54,863.85k,886
18,10/07/16,4.64,4.64,4.58,4.61,101280,-0.048923,-1.07%,4.5106,467.8k,263
19,10/06/16,4.63,4.66,4.62,4.66,70600,0.019569,0.43%,4.5596,326.82k,118
20,10/05/16,4.66,4.67,4.61,4.64,119522,-0.039138,-0.85%,4.54,554.78k,481
21,10/04/16,4.68,4.705,4.65,4.68,153529,-0.019569,-0.43%,4.5791,717.6k,349
22,10/03/16,4.72,4.73,4.69,4.70,151284,-0.039138,-0.84%,4.5987,711.35k,476
23,09/30/16,4.72,4.74,4.70,4.74,138521,0.039138,0.85%,4.6378,654.14k,574
24,09/29/16,4.71,4.75,4.70,4.70,193327,0.00,0.00%,4.5987,911.69k,887
25,09/28/16,4.66,4.72,4.63,4.70,317477,0.127199,2.84%,4.5987,1.49m,1049
26,09/27/16,4.55,4.60,4.53,4.57,124032,0.029353,0.66%,4.4715,564.16k,525
27,09/26/16,4.56,4.58,4.54,4.54,128480,-0.039138,-0.87%,4.4422,584.98k,573
28,09/23/16,4.59,4.61,4.56,4.58,171051,-0.039138,-0.87%,4.4813,783.74k,453
29,09/22/16,4.61,4.63,4.58,4.62,144892,0.048923,1.09%,4.5204,667.64k,596
30,09/21/16,4.56,4.57,4.51,4.57,428230,0.048922,1.11%,4.4715,1.95m,1433
31,09/20/16,4.55,4.56,4.52,4.52,109831,-0.009784,-0.22%,4.4226,497.58k,459
32,09/19/16,4.55,4.56,4.53,4.53,98508,-0.019569,-0.44%,4.4324,447.13k,598
33,09/16/16,4.53,4.56,4.50,4.55,138991,0.039138,0.89%,4.4519,628.63k,372
34,09/15/16,4.50,4.54,4.49,4.51,119850,0.009784,0.22%,4.4128,541.11k,420
35,09/14/16,4.52,4.54,4.48,4.50,160269,-0.030723,-0.69%,4.403,723.67k,691
36,09/13/16,4.58,4.58,4.53,4.5314,168089,-0.047553,-1.06%,4.4337,764.79k,699
37,09/12/16,4.51,4.61,4.51,4.58,172929,0.00,0.00%,4.4813,788.07k,493
38,09/09/16,4.65,4.65,4.58,4.58,154874,-0.097845,-2.14%,4.4813,713.04k,648
39,09/08/16,4.62,4.68,4.62,4.68,394592,0.039138,0.86%,4.5791,1.83m,744
40,09/07/16,4.66,4.67,4.62,4.64,314622,-0.019569,-0.43%,4.54,1.46m,978
41,09/06/16,4.62,4.70,4.62,4.66,83651,0.048923,1.08%,4.5596,390.55k,132
42,09/05/16,,,,4.61,0,,0.00%,4.5106,,
43,09/02/16,4.58,4.64,4.58,4.61,47298,0.039138,0.88%,4.5106,218.33k,147
44,09/01/16,4.60,4.61,4.55,4.57,87404,-0.029354,-0.65%,4.4715,399.53k,393
45,08/31/16,4.60,4.63,4.5901,4.60,28762,-0.019569,-0.43%,4.5009,132.56k,116
46,08/30/16,4.67,4.68,4.62,4.62,95569,-0.039138,-0.86%,4.5204,444.22k,311
47,08/29/16,4.66,4.67,4.64,4.66,30424,0.00,0.00%,4.5596,141.81k,100
48,08/26/16,4.66,4.70,4.6401,4.66,38120,-0.019569,-0.43%,4.5596,178k,115
49,08/25/16,4.67,4.6899,4.65,4.68,26486,0.009785,0.21%,4.5791,123.72k,41
50,08/24/16,4.68,4.71,4.63,4.67,60030,-0.029354,-0.64%,4.5694,280.93k,155
51,08/23/16,4.71,4.72,4.68,4.70,47961,0.019569,0.43%,4.5987,225.57k,194
52,08/22/16,4.67,4.74,4.67,4.68,93155,-0.009784,-0.21%,4.5791,438.6k,172
53,08/19/16,4.69,4.74,4.68,4.69,111099,0.009784,0.21%,4.5889,522.06k,300
54,08/18/16,4.63,4.68,4.63,4.68,51431,0.019569,0.43%,4.5791,238.84k,100
55,08/17/16,4.60,4.66,4.60,4.66,67891,0.048923,1.08%,4.5596,313.8k,128
56,08/16/16,4.62,4.62,4.60,4.61,84432,-0.029354,-0.65%,4.5106,389.39k,461
57,08/15/16,4.60,4.64,4.60,4.64,114376,0.039138,0.87%,4.54,527.8k,510
58,08/12/16,4.62,4.625,4.60,4.60,126228,-0.009784,-0.22%,4.5009,582.3k,458
59,08/11/16,4.59,4.64,4.58,4.61,154237,0.019569,0.44%,4.5106,710.05k,411
60,08/10/16,4.57,4.60,4.56,4.59,111846,0.019569,0.44%,4.4911,511.86k,342
61,08/09/16,4.56,4.579,4.56,4.57,119837,0.00,0.00%,4.4715,547.55k,465
62,08/08/16,4.555,4.58,4.54,4.57,180785,0.019569,0.44%,4.4715,823.83k,844
63,08/05/16,4.59,4.59,4.55,4.55,173866,-0.029354,-0.66%,4.4519,792.47k,1084
64,08/04/16,4.58,4.60,4.57,4.58,144451,-0.009491,-0.21%,4.4813,660.61k,861
65,08/03/16,4.57,4.60,4.55,4.5897,160244,0.009491,0.21%,4.4908,732.97k,952
66,08/02/16,4.58,4.60,4.56,4.58,140764,-0.009784,-0.22%,4.4813,644.6k,482
67,08/01/16,4.60,4.63,4.58,4.59,114632,-0.029354,-0.65%,4.4911,528.05k,609
68,07/29/16,4.57,4.62,4.57,4.62,107147,0.029354,0.65%,4.5204,492.92k,522
69,07/28/16,4.59,4.59,4.57,4.59,148133,0.000098,0.00%,4.4911,678.25k,476
70,07/27/16,4.60,4.61,4.57,4.5899,99428,-0.009883,-0.22%,4.491,456.22k,665
71,07/26/16,4.61,4.64,4.58,4.60,96635,-0.029353,-0.65%,4.5009,445.14k,472
72,07/25/16,4.61,4.67,4.59,4.63,81647,0.00,0.00%,4.5302,377.32k,187
73,07/22/16,4.63,4.63,4.57,4.63,162033,0.039138,0.87%,4.5302,744.15k,292
74,07/21/16,4.62,4.63,4.59,4.59,69179,-0.048923,-1.08%,4.4911,318.94k,334
75,07/20/16,4.60,4.64,4.59,4.64,96133,0.019569,0.43%,4.54,443.11k,389
76,07/19/16,4.62,4.62,4.59,4.62,86398,0.009785,0.22%,4.5204,397.9k,380
77,07/18/16,4.59,4.662,4.58,4.61,194986,0.039138,0.88%,4.5106,899.42k,677
78,07/15/16,4.57,4.62,4.56,4.57,175659,-0.029354,-0.65%,4.4715,803.9k,666
79,07/14/16,4.58,4.60,4.52,4.60,166268,0.058707,1.32%,4.5009,759.08k,706
80,07/13/16,4.58,4.59,4.54,4.54,202694,-0.019569,-0.44%,4.4422,924.25k,642
81,07/12/16,4.54,4.58,4.54,4.56,152908,0.019569,0.44%,4.4617,697.84k,653
82,07/11/16,4.53,4.56,4.53,4.54,154751,0.009785,0.22%,4.4422,703.24k,590
83,07/08/16,4.50,4.54,4.50,4.53,177794,0.00,0.00%,4.4324,803.04k,1050
84,07/07/16,4.54,4.5473,4.48,4.53,216684,-0.009785,-0.22%,4.4324,977.77k,723
85,07/06/16,4.60,4.65,4.58,4.54,114043,0.018958,0.43%,4.4422,524.61k,426
86,07/05/16,4.61,4.63,4.59,4.6202,136493,-0.016946,-0.38%,4.4232,628.87k,539
87,07/04/16,,,,4.6379,0,,0.00%,4.4401,,
88,07/01/16,4.62,4.6699,4.6021,4.6379,109551,-0.001915,-0.04%,4.4401,507.34k,172
