,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,36.58,36.63,35.90,36.03,517768,-0.488093,-1.34%,35.8897,18.71m,4633
2,10/31/16,36.46,36.66,36.30,36.52,1357331,0.139455,0.38%,36.3778,49.59m,6047
3,10/28/16,36.13,36.64,35.9201,36.38,527629,0.268949,0.75%,36.2384,19.21m,4483
4,10/27/16,36.43,36.48,35.91,36.11,496919,-0.249027,-0.69%,35.9694,17.91m,4157
5,10/26/16,35.88,36.60,35.85,36.36,409462,0.318755,0.89%,36.2185,14.88m,3592
6,10/25/16,36.21,36.30,35.95,36.04,461953,-0.27891,-0.77%,35.8997,16.67m,3903
7,10/24/16,36.56,36.89,36.20,36.32,396494,0.029883,0.08%,36.1786,14.44m,3188
8,10/21/16,36.00,36.48,35.95,36.29,278088,-0.009961,-0.03%,36.1487,10.09m,2806
9,10/20/16,36.49,36.795,36.25,36.30,321487,-0.358599,-0.98%,36.1587,11.7m,2964
10,10/19/16,36.54,36.82,36.28,36.66,304172,0.249027,0.69%,36.5173,11.16m,2625
11,10/18/16,37.02,37.05,36.37,36.41,378422,-0.219143,-0.60%,36.2683,13.82m,3236
12,10/17/16,36.53,36.80,36.48,36.63,492655,0.079688,0.22%,36.4874,18.06m,4459
13,10/14/16,36.50,36.81,36.41,36.55,476132,0.27891,0.77%,36.4077,17.41m,4305
14,10/13/16,36.19,36.42,36.09,36.27,556763,-0.288871,-0.79%,36.1288,20.2m,4029
15,10/12/16,36.11,36.6839,36.11,36.56,755493,0.428326,1.19%,36.4177,27.6m,5968
16,10/11/16,36.67,36.865,36.03,36.13,546506,-0.617586,-1.69%,35.9893,19.84m,5126
17,10/10/16,36.68,36.89,36.47,36.75,552813,0.229104,0.63%,36.6069,20.28m,4643
18,10/07/16,37.05,37.06,36.39,36.52,579889,-0.607625,-1.64%,36.3778,21.24m,4679
19,10/06/16,36.93,37.15,36.66,37.13,543620,0.199221,0.54%,36.9855,20.1m,4486
20,10/05/16,36.60,37.17,36.58,36.93,717001,0.587704,1.62%,36.7862,26.52m,6569
21,10/04/16,36.89,37.16,36.215,36.34,823031,-0.378521,-1.03%,36.1985,30.1m,8195
22,10/03/16,37.17,37.45,36.71,36.72,1283581,-0.607625,-1.63%,36.577,47.44m,8421
23,09/30/16,37.12,37.545,37.10,37.33,765896,0.46817,1.28%,37.1847,28.63m,6255
24,09/29/16,37.38,37.46,36.86,36.86,707052,-0.577742,-1.55%,36.7165,26.23m,6508
25,09/28/16,37.05,37.45,36.91,37.44,738741,0.488092,1.33%,37.2942,27.48m,5773
26,09/27/16,36.92,37.12,36.74,36.95,526587,0.029884,0.08%,36.8062,19.46m,4460
27,09/26/16,36.59,37.12,36.50,36.92,630113,0.258987,0.71%,36.7763,23.28m,5144
28,09/23/16,37.19,37.40,36.66,36.66,538595,-0.727158,-1.95%,36.5173,19.83m,3970
29,09/22/16,37.26,37.49,37.26,37.39,720539,0.438287,1.19%,37.2444,26.92m,5259
30,09/21/16,36.60,36.97,36.55,36.95,681766,0.468171,1.29%,36.8062,25.11m,5541
31,09/20/16,37.01,37.09,36.47,36.48,585843,-0.328716,-0.90%,36.338,21.51m,4197
32,09/19/16,36.74,37.045,36.62,36.81,622655,0.268949,0.74%,36.6667,22.94m,5082
33,09/16/16,36.11,36.64,35.80,36.54,2094009,0.318754,0.88%,36.3978,76.34m,7312
34,09/15/16,36.30,36.43,36.085,36.22,804740,-0.019922,-0.06%,36.079,29.18m,7981
35,09/14/16,36.33,36.54,36.06,36.24,609173,-0.039844,-0.11%,36.0989,22.12m,5352
36,09/13/16,36.51,37.01,36.21,36.28,705283,-0.727158,-1.97%,36.1388,25.71m,5941
37,09/12/16,36.14,37.14,36.08,37.01,789308,0.388482,1.06%,36.8659,29.04m,5949
38,09/09/16,36.28,36.87,36.14,36.62,907449,0.009961,0.03%,36.4774,33.29m,7066
39,09/08/16,36.74,37.50,35.59,36.61,1380946,-0.707236,-1.90%,36.4675,50.73m,10439
40,09/07/16,37.38,37.58,37.11,37.32,819324,-0.029883,-0.08%,37.1747,30.57m,5694
41,09/06/16,38.41,38.65,37.23,37.35,997765,-0.906458,-2.38%,37.2046,37.46m,8257
42,09/05/16,,,,38.26,0,,0.00%,38.1111,,
