,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,15.21,15.23,14.76,14.94,3726776,-0.35,-2.29%,14.94,55.8m,18616
2,10/31/16,15.22,15.31,15.145,15.29,4315984,0.08,0.53%,15.29,65.73m,16827
3,10/28/16,15.16,15.26,15.01,15.21,6658267,0.04,0.26%,15.21,101.05m,26428
4,10/27/16,15.80,15.85,15.07,15.17,6861298,-0.74,-4.65%,15.17,104.71m,27781
5,10/26/16,16.01,16.01,15.80,15.91,2145686,-0.21,-1.30%,15.91,34.12m,12634
6,10/25/16,16.14,16.22,16.09,16.12,1858493,-0.11,-0.68%,16.12,29.99m,9643
7,10/24/16,16.35,16.45,16.09,16.23,2119928,-0.02,-0.12%,16.23,34.4m,10685
8,10/21/16,16.27,16.34,16.19,16.25,1792774,-0.12,-0.73%,16.25,29.14m,9633
9,10/20/16,16.28,16.39,16.145,16.37,1923200,0.05,0.31%,16.37,31.34m,9509
10,10/19/16,16.35,16.43,16.22,16.32,3282702,-0.05,-0.31%,16.32,53.51m,15057
11,10/18/16,16.43,16.52,16.25,16.37,2817448,0.01,0.06%,16.37,46.23m,12517
12,10/17/16,16.46,16.53,16.35,16.36,1153070,-0.08,-0.49%,16.36,18.94m,7829
13,10/14/16,16.51,16.59,16.35,16.44,1945843,-0.07,-0.42%,16.44,32m,12852
14,10/13/16,16.41,16.63,16.39,16.51,2883164,-0.01,-0.06%,16.51,47.69m,10811
15,10/12/16,16.36,16.565,16.30,16.52,2847945,0.20,1.23%,16.52,46.91m,13623
16,10/11/16,16.33,16.395,16.17,16.32,1893190,-0.10,-0.61%,16.32,30.85m,12442
17,10/10/16,16.51,16.60,16.32,16.42,2289685,0.02,0.12%,16.42,37.62m,12696
18,10/07/16,16.49,16.78,16.38,16.40,2754568,-0.04,-0.24%,16.40,45.4m,14592
19,10/06/16,16.52,16.635,16.28,16.44,3428570,-0.14,-0.84%,16.44,56.49m,21439
20,10/05/16,16.88,17.00,16.51,16.58,3234010,-0.28,-1.66%,16.58,53.69m,15344
21,10/04/16,16.91,16.96,16.64,16.86,5828843,-0.08,-0.47%,16.86,97.83m,26084
22,10/03/16,17.32,17.325,16.895,16.94,4473462,-0.49,-2.81%,16.94,76.13m,23616
23,09/30/16,17.76,17.82,17.43,17.43,2889386,-0.22,-1.25%,17.43,50.64m,14851
24,09/29/16,17.83,17.925,17.63,17.65,4212150,-0.29,-1.62%,17.65,74.81m,20097
25,09/28/16,17.74,17.95,17.69,17.94,3012895,0.26,1.47%,17.94,53.83m,16777
26,09/27/16,17.91,17.94,17.68,17.68,6152008,-0.21,-1.17%,17.68,109.35m,22388
