,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,78.15,79.22,76.91,77.46,301658,-1.64,-2.07%,77.46,23.52m,3044
2,10/31/16,78.50,80.18,78.39,79.10,219507,0.70,0.89%,79.10,17.39m,2061
3,10/28/16,78.09,79.10,78.02,78.40,107759,0.36,0.46%,78.40,8.45m,1339
4,10/27/16,78.41,78.61,77.64,78.04,152572,0.16,0.21%,78.04,11.9m,1308
5,10/26/16,78.15,78.67,77.82,77.88,120787,-0.62,-0.79%,77.88,9.43m,1489
6,10/25/16,80.06,80.06,78.44,78.50,119915,-2.09,-2.59%,78.50,9.46m,1340
7,10/24/16,80.34,80.80,79.98,80.59,120437,0.80,1.00%,80.59,9.7m,1428
8,10/21/16,79.33,79.99,79.04,79.79,143329,0.51,0.64%,79.79,11.42m,1498
9,10/20/16,78.96,79.32,78.0279,79.28,128866,0.05,0.06%,79.28,10.15m,1190
10,10/19/16,78.62,79.86,78.38,79.23,110685,0.85,1.08%,79.23,8.78m,1073
11,10/18/16,79.05,79.17,78.27,78.38,94650,0.17,0.22%,78.38,7.43m,1124
12,10/17/16,78.75,78.79,78.14,78.21,105175,-0.39,-0.50%,78.21,8.25m,981
13,10/14/16,78.43,79.31,77.99,78.60,81572,0.27,0.34%,78.60,6.42m,1145
14,10/13/16,78.03,78.61,77.849,78.33,137182,-0.38,-0.48%,78.33,10.75m,1243
15,10/12/16,78.90,79.10,78.51,78.71,85209,0.09,0.11%,78.71,6.71m,1084
16,10/11/16,79.13,79.13,78.41,78.62,116712,-0.38,-0.48%,78.62,9.18m,1406
17,10/10/16,78.55,79.18,78.14,79.00,88756,0.63,0.80%,79.00,7.01m,1295
18,10/07/16,78.22,78.725,77.8001,78.37,169391,0.21,0.27%,78.37,13.27m,1800
19,10/06/16,77.97,78.44,77.55,78.16,185808,-0.10,-0.13%,78.16,14.52m,1795
20,10/05/16,78.89,79.5917,78.035,78.26,128900,-0.71,-0.90%,78.26,10.11m,1427
21,10/04/16,79.27,79.8485,78.5469,78.97,99474,0.12,0.15%,78.97,7.87m,1194
22,10/03/16,78.86,79.10,78.6115,78.85,104068,-0.34,-0.43%,78.85,8.21m,1515
23,09/30/16,79.60,79.60,78.12,79.19,189848,1.03,1.32%,79.19,15m,2155
24,09/29/16,79.35,79.41,78.05,78.16,128657,-1.38,-1.73%,78.16,10.1m,1794
25,09/28/16,79.76,80.55,79.42,79.54,239772,-0.55,-0.69%,79.54,19.14m,2932
26,09/27/16,79.91,80.3712,79.111,80.09,195791,0.19,0.24%,80.09,15.66m,2310
27,09/26/16,79.72,80.37,78.80,79.90,131226,-0.35,-0.44%,79.90,10.49m,1314
28,09/23/16,79.60,80.46,79.54,80.25,102137,0.32,0.40%,80.25,8.18m,1179
29,09/22/16,78.89,80.15,78.89,79.93,149503,1.17,1.49%,79.93,11.92m,1551
30,09/21/16,77.92,78.81,77.77,78.76,165418,0.91,1.17%,78.76,12.94m,1771
31,09/20/16,78.23,78.25,77.64,77.85,198367,-0.03,-0.04%,77.85,15.45m,2066
32,09/19/16,77.22,77.90,77.22,77.88,172857,0.71,0.92%,77.88,13.42m,2208
33,09/16/16,76.98,77.345,76.297,77.17,268528,0.23,0.30%,77.17,20.66m,1969
34,09/15/16,76.91,77.23,76.48,76.94,127016,0.21,0.27%,76.94,9.76m,1454
35,09/14/16,77.60,77.86,76.59,76.73,199139,-1.02,-1.31%,76.73,15.34m,2158
36,09/13/16,79.36,79.36,78.31,78.67,236327,-0.958657,-1.22%,77.75,18.61m,2786
37,09/12/16,78.41,79.76,77.815,79.64,238437,0.988306,1.27%,78.7087,18.81m,2793
38,09/09/16,79.66,79.66,78.53,78.64,191985,-1.2354,-1.56%,77.7204,15.13m,2215
39,09/08/16,82.73,82.73,79.775,79.89,254372,-2.7673,-3.39%,78.9558,20.43m,2755
40,09/07/16,79.96,82.70,79.43,82.69,397823,4.3485,5.62%,81.723,32.4m,3563
