,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,57.10,57.525,55.95,56.05,173438,-0.85,-1.49%,56.05,9.78m,1910
2,10/31/16,56.80,57.40,56.50,56.90,121420,0.20,0.35%,56.90,6.92m,1408
3,10/28/16,56.45,56.975,56.25,56.70,124274,0.40,0.71%,56.70,7.04m,1163
4,10/27/16,56.70,57.05,56.15,56.30,108507,-0.10,-0.18%,56.30,6.13m,1231
5,10/26/16,56.35,57.00,55.95,56.40,333684,-0.40,-0.70%,56.40,18.78m,2045
6,10/25/16,59.20,59.20,56.55,56.80,329643,-2.65,-4.46%,56.80,18.84m,2540
7,10/24/16,59.85,60.15,59.30,59.45,150044,0.10,0.17%,59.45,8.95m,1095
8,10/21/16,58.65,59.40,58.475,59.35,122984,0.10,0.17%,59.35,7.26m,1450
9,10/20/16,59.05,59.40,58.25,59.25,305398,0.20,0.34%,59.25,18m,1787
10,10/19/16,60.05,60.05,58.85,59.05,286216,-0.65,-1.09%,59.05,16.92m,1732
11,10/18/16,60.20,60.20,59.45,59.70,121102,0.25,0.42%,59.70,7.23m,1267
12,10/17/16,59.80,59.80,59.075,59.45,240338,-0.14,-0.23%,59.45,14.28m,1624
13,10/14/16,60.25,61.17,59.37,59.59,194542,-0.43,-0.72%,59.59,11.67m,1664
14,10/13/16,59.39,60.23,58.50,60.02,246495,0.11,0.18%,60.02,14.71m,2560
15,10/12/16,60.29,60.95,59.67,59.91,232679,-0.39,-0.65%,59.91,14.01m,2478
16,10/11/16,62.18,62.18,60.14,60.30,208576,-2.23,-3.57%,60.30,12.66m,2492
17,10/10/16,62.69,63.61,62.44,62.53,139257,0.26,0.42%,62.53,8.76m,1611
18,10/07/16,63.30,63.30,61.40,62.27,141547,-1.16,-1.83%,62.27,8.79m,1650
19,10/06/16,62.29,63.57,62.16,63.43,97165,0.81,1.29%,63.43,6.12m,1299
20,10/05/16,62.16,63.05,62.07,62.62,162018,0.64,1.03%,62.62,10.13m,1848
21,10/04/16,61.89,62.31,61.735,61.98,154585,0.29,0.47%,61.98,9.58m,1903
22,10/03/16,61.94,62.37,61.35,61.69,152961,-0.48,-0.77%,61.69,9.43m,1816
23,09/30/16,62.34,62.46,61.56,62.17,117662,0.21,0.34%,62.17,7.3m,1546
24,09/29/16,63.16,63.16,61.88,61.96,97075,-1.30,-2.06%,61.96,6.05m,1207
25,09/28/16,63.37,63.37,62.63,63.26,88241,0.06,0.09%,63.26,5.56m,1393
26,09/27/16,62.95,63.50,62.71,63.20,89570,0.26,0.41%,63.20,5.66m,1152
27,09/26/16,62.57,63.61,61.97,62.94,218887,-0.13,-0.21%,62.94,13.83m,1814
28,09/23/16,63.53,63.90,62.97,63.07,158803,-0.56,-0.88%,63.07,10.06m,1772
29,09/22/16,63.01,63.99,62.51,63.63,157446,1.08,1.73%,63.63,9.96m,2034
30,09/21/16,63.05,63.38,61.59,62.55,171340,-0.31,-0.49%,62.55,10.68m,1906
31,09/20/16,64.16,64.20,62.65,62.86,146267,-0.96,-1.50%,62.86,9.22m,1586
32,09/19/16,63.62,64.36,62.97,63.82,113729,0.49,0.77%,63.82,7.25m,1377
33,09/16/16,63.96,63.96,63.05,63.33,399731,-0.86,-1.34%,63.33,25.37m,1813
34,09/15/16,63.98,64.48,63.675,64.19,151388,0.01,0.02%,64.19,9.7m,1812
35,09/14/16,63.78,64.45,63.545,64.18,156137,0.37,0.58%,64.18,10.01m,1967
36,09/13/16,63.58,63.99,63.01,63.81,201383,-0.46,-0.72%,63.81,12.78m,2391
37,09/12/16,62.51,64.67,62.51,64.27,294829,1.53,2.44%,64.27,18.94m,3338
38,09/09/16,65.51,65.53,62.72,62.74,265520,-3.37,-5.10%,62.74,16.95m,2296
39,09/08/16,67.46,67.50,65.93,66.11,137127,-1.42,-2.10%,66.11,9.1m,1305
40,09/07/16,67.33,67.71,67.155,67.53,118328,0.33,0.49%,67.53,7.98m,1346
41,09/06/16,66.25,67.22,65.64,67.20,225948,1.08,1.63%,67.20,15.03m,2004
42,09/05/16,,,,66.12,0,,0.00%,66.12,,
43,09/02/16,66.38,66.66,65.87,66.12,130261,-0.12,-0.18%,66.12,8.62m,1361
44,09/01/16,66.64,66.66,65.63,66.24,122584,-0.49,-0.73%,66.24,8.11m,1862
45,08/31/16,67.95,67.95,66.24,66.73,216014,-1.23,-1.81%,66.73,14.42m,1942
46,08/30/16,67.96,68.10,67.75,67.96,123772,0.05,0.07%,67.96,8.41m,1271
47,08/29/16,67.92,68.43,67.67,67.91,121064,0.01,0.01%,67.91,8.23m,1327
48,08/26/16,68.01,68.17,67.27,67.90,153468,-0.09,-0.13%,67.90,10.41m,1824
49,08/25/16,68.01,68.36,67.6301,67.99,387891,-0.05,-0.07%,67.99,26.37m,2203
50,08/24/16,68.63,68.63,67.87,68.04,128388,-0.50,-0.73%,68.04,8.76m,1547
51,08/23/16,67.08,68.62,67.08,68.54,149497,1.52,2.27%,68.54,10.22m,1786
52,08/22/16,66.93,67.12,66.12,67.02,161208,-0.18,-0.27%,67.02,10.76m,1916
53,08/19/16,66.81,67.39,66.32,67.20,129264,0.29,0.43%,67.20,8.67m,1529
54,08/18/16,66.90,67.3099,66.385,66.91,169436,-0.12,-0.18%,66.91,11.35m,2138
55,08/17/16,67.57,67.73,66.875,67.03,149498,-0.37,-0.55%,67.03,10.04m,2196
56,08/16/16,68.82,69.24,67.34,67.40,147270,-1.68,-2.43%,67.40,10.02m,1760
57,08/15/16,67.31,69.165,67.1365,69.08,220071,2.35,3.52%,69.08,15.11m,2350
58,08/12/16,67.18,67.32,66.11,66.73,248751,-0.45,-0.67%,66.73,16.58m,2652
59,08/11/16,69.58,69.58,64.805,67.18,778875,-4.79,-6.66%,67.18,51.81m,6075
60,08/10/16,71.85,72.355,70.81,71.97,189034,0.09,0.13%,71.97,13.53m,1704
61,08/09/16,72.07,72.13,71.62,71.88,109752,-0.20,-0.28%,71.88,7.89m,1189
62,08/08/16,72.63,72.75,71.98,72.08,125465,-0.18,-0.25%,72.08,9.06m,1672
63,08/05/16,71.08,72.30,70.59,72.26,239025,1.46,2.06%,72.26,17.21m,1895
64,08/04/16,70.79,71.197,70.0375,70.80,184015,-0.09,-0.13%,70.80,13m,1741
65,08/03/16,70.29,70.89,69.705,70.89,100097,0.56,0.80%,70.89,7.06m,1779
66,08/02/16,70.36,71.00,69.592,70.33,298032,-0.04,-0.06%,70.33,20.95m,2098
67,08/01/16,70.00,70.72,68.80,70.37,210507,0.54,0.77%,70.37,14.77m,2478
68,07/29/16,69.91,70.11,69.05,69.83,275889,-0.08,-0.11%,69.83,19.24m,2885
