,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,58.69,58.79,57.50,57.82,2612538,-0.80,-1.36%,57.82,151.39m,22556
2,10/31/16,55.49,59.72,55.49,58.62,6291056,3.46,6.27%,58.62,366.8m,37714
3,10/28/16,55.86,56.21,54.50,55.16,2500921,-0.77,-1.38%,55.16,138.81m,20296
4,10/27/16,56.89,57.07,55.87,55.93,1747239,-0.93,-1.64%,55.93,98.17m,14616
5,10/26/16,57.79,57.8793,56.77,56.86,2802741,-1.43,-2.45%,56.86,160.26m,20700
6,10/25/16,58.27,58.95,58.11,58.29,2054019,0.19,0.33%,58.29,120.11m,16267
7,10/24/16,61.55,61.55,57.58,58.10,6225425,-2.86,-4.69%,58.10,365.55m,39055
8,10/21/16,60.82,61.11,60.24,60.96,2525925,-0.14,-0.23%,60.96,153.27m,16811
9,10/20/16,62.74,62.74,61.05,61.10,2925253,-1.68,-2.68%,61.10,179.85m,21960
10,10/19/16,62.55,62.82,62.06,62.78,1614675,0.27,0.43%,62.78,101.04m,11318
11,10/18/16,62.82,62.975,62.45,62.51,1508531,0.25,0.40%,62.51,94.4m,9453
12,10/17/16,62.80,62.97,62.12,62.26,1439796,-0.59,-0.94%,62.26,89.75m,10733
13,10/14/16,63.02,63.34,62.84,62.85,1329729,-0.14,-0.22%,62.85,83.8m,10765
14,10/13/16,62.30,63.12,61.74,62.99,1431767,0.33,0.53%,62.99,89.78m,11377
15,10/12/16,62.01,62.88,62.01,62.66,2332950,0.66,1.06%,62.66,146.09m,17954
16,10/11/16,63.61,63.61,61.95,62.00,2447966,-1.70,-2.67%,62.00,152.96m,16625
17,10/10/16,63.79,64.40,63.70,63.70,1201493,0.27,0.43%,63.70,76.77m,10689
18,10/07/16,64.27,64.43,63.01,63.43,1828425,-0.85,-1.32%,63.43,116m,13773
19,10/06/16,63.88,64.50,63.35,64.28,1504168,0.17,0.27%,64.28,96.29m,13526
20,10/05/16,64.33,64.66,64.01,64.11,1226443,-0.23,-0.36%,64.11,78.78m,12234
21,10/04/16,64.15,64.58,63.90,64.34,1706899,0.24,0.37%,64.34,109.63m,15483
22,10/03/16,65.69,65.89,63.72,64.10,2880196,-1.97,-2.98%,64.10,184.85m,23283
23,09/30/16,65.50,66.36,64.715,66.07,3478786,0.61,0.93%,66.07,227.81m,24763
24,09/29/16,66.18,66.36,65.29,65.46,1519777,-0.75,-1.13%,65.46,99.92m,14458
25,09/28/16,66.22,66.295,65.45,66.21,1729884,-0.12,-0.18%,66.21,114.17m,15650
26,09/27/16,66.09,66.58,65.84,66.33,1783990,0.18,0.27%,66.33,118.13m,15850
27,09/26/16,66.09,66.35,65.95,66.15,1673784,-0.35,-0.53%,66.15,110.69m,14595
28,09/23/16,66.58,66.82,66.20,66.50,1792714,-0.22,-0.33%,66.50,119.22m,16075
29,09/22/16,65.98,66.88,65.97,66.72,1650675,0.89,1.35%,66.72,110m,13318
30,09/21/16,64.98,65.87,64.97,65.83,1530014,0.84,1.29%,65.83,100.01m,13940
31,09/20/16,65.99,65.99,64.94,64.99,1873187,1.39,2.19%,64.99,122m,16951
32,09/19/16,64.48,64.85,63.38,63.60,1776819,-0.84,-1.30%,63.60,113.61m,14970
33,09/16/16,63.95,64.56,63.57,64.44,2480597,0.37,0.58%,64.44,159.42m,17884
34,09/15/16,63.19,64.35,63.09,64.07,1691268,0.73,1.15%,64.07,107.94m,16836
35,09/14/16,64.13,64.27,63.25,63.34,2097465,-0.61,-0.95%,63.34,133.34m,21294
36,09/13/16,64.22,64.51,63.73,63.95,2228295,-0.76,-1.17%,63.95,142.87m,18850
