,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,25.20,25.25,25.15,25.2499,5848,0.019646,0.08%,24.9283,147.27k,57
2,10/31/16,25.22,25.382,25.18,25.23,15250,-0.009872,-0.04%,24.9087,385.03k,96
3,10/28/16,25.376,25.376,25.2005,25.24,10307,-0.108599,-0.43%,24.9185,260.64k,77
4,10/27/16,25.3999,25.499,25.278,25.35,6330,-0.083029,-0.33%,25.0271,160.49k,62
5,10/26/16,25.43,25.5795,25.40,25.4341,11368,-0.005825,-0.02%,25.1102,289.57k,99
6,10/25/16,25.5084,25.5084,25.43,25.44,27040,-0.039491,-0.16%,25.116,688.93k,84
7,10/24/16,25.45,25.48,25.45,25.48,1395,-0.138217,-0.55%,25.1555,35.51k,32
8,10/21/16,25.35,25.62,25.35,25.62,4250,0.33567,1.34%,25.2937,108.04k,48
9,10/20/16,25.29,25.4222,25.278,25.28,7985,-0.027841,-0.11%,24.958,202.34k,65
10,10/19/16,25.36,25.52,25.3082,25.3082,3536,-0.031395,-0.13%,24.9859,89.8k,61
11,10/18/16,25.27,25.64,25.23,25.34,27292,0.059236,0.24%,25.0173,691.94k,158
12,10/17/16,25.25,25.36,25.20,25.28,5120,0.009873,0.04%,24.958,129.51k,55
13,10/14/16,25.316,25.316,25.2695,25.27,1858,0.095666,0.38%,24.9482,47k,41
14,10/13/16,25.11,25.27,25.11,25.1731,9564,0.00543,0.02%,24.8525,240.96k,100
15,10/12/16,25.01,25.19,25.01,25.1676,8361,0.116102,0.47%,24.8471,209.91k,71
16,10/11/16,25.26,25.33,24.80,25.05,19453,-0.197453,-0.79%,24.731,488.1k,115
17,10/10/16,25.37,25.4889,25.23,25.25,6646,-0.228354,-0.91%,24.9284,168.42k,83
18,10/07/16,25.604,25.6299,25.37,25.4813,3030,0.109882,0.44%,25.1568,77.15k,41
19,10/06/16,25.52,25.52,25.30,25.37,13640,-0.256688,-1.01%,25.0469,347.81k,98
20,10/05/16,25.64,25.6463,25.62,25.63,2682,-0.009873,-0.04%,25.3036,68.75k,53
21,10/04/16,25.64,25.64,25.64,25.64,490,0.019745,0.08%,25.3134,12.56k,32
22,10/03/16,25.5601,25.8154,25.5601,25.62,3481,0.088854,0.35%,25.2937,89.33k,47
23,09/30/16,25.77,25.77,25.52,25.53,11051,-0.214039,-0.84%,25.2048,283.65k,61
24,09/29/16,25.86,25.94,25.66,25.7468,4239,-0.132491,-0.52%,25.4189,109.42k,50
25,09/28/16,26.00,26.00,25.8367,25.881,5774,-0.117484,-0.46%,25.5514,149.5k,58
26,09/27/16,25.81,26.13,25.73,26.00,20438,0.138217,0.54%,25.6689,530.93k,173
27,09/26/16,25.85,25.87,25.78,25.86,5301,0.177707,0.70%,25.5306,136.93k,67
28,09/23/16,25.80,25.949,25.67,25.68,3054,-0.226972,-0.89%,25.3529,79.05k,49
29,09/22/16,25.75,25.9751,25.55,25.9099,21154,0.243756,0.96%,25.5799,546.48k,156
30,09/21/16,25.45,25.663,25.404,25.663,18133,0.220061,0.88%,25.3362,462.89k,150
31,09/20/16,25.41,25.63,25.36,25.4401,24430,-0.005529,-0.02%,25.1161,622.94k,166
32,09/19/16,25.41,25.47,25.342,25.4457,18083,0.031494,0.13%,25.1216,459.93k,75
33,09/16/16,25.37,25.4138,25.30,25.4138,6140,0.082733,0.33%,25.0901,155.71k,55
34,09/15/16,25.25,25.3697,25.25,25.33,2895,0.00,0.00%,25.0074,73.3k,55
35,09/14/16,25.40,25.549,25.22,25.33,9200,-0.074242,-0.30%,25.0074,233.45k,80
36,09/13/16,25.33,25.51,25.33,25.4052,4725,0.054497,0.22%,25.0816,120.03k,50
37,09/12/16,25.28,25.619,25.28,25.35,10585,-0.138316,-0.55%,25.0271,268.89k,56
