,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,67.66,67.88,65.73,66.09,155342,-1.82,-2.68%,66.09,10.3m,2065
2,10/31/16,66.94,67.97,66.585,67.91,252493,1.26,1.89%,67.91,17.08m,1950
3,10/28/16,66.81,67.43,66.15,66.65,167628,0.01,0.02%,66.65,11.18m,1945
4,10/27/16,67.72,68.00,66.405,66.64,159258,-1.44,-2.12%,66.64,10.65m,2048
5,10/26/16,69.09,69.465,67.64,68.08,209571,-1.41,-2.03%,68.08,14.27m,2073
6,10/25/16,69.82,70.14,69.36,69.49,192005,-0.63,-0.90%,69.49,13.35m,1804
7,10/24/16,69.96,70.90,69.87,70.12,173105,0.46,0.66%,70.12,12.15m,1665
8,10/21/16,70.05,70.14,69.44,69.66,332018,-0.07,-0.10%,69.66,23.14m,2752
9,10/20/16,71.75,71.84,69.30,69.73,397404,0.09,0.13%,69.73,27.78m,3308
10,10/19/16,69.99,70.05,69.45,69.64,241677,-0.11,-0.16%,69.64,16.84m,2424
11,10/18/16,69.91,70.085,69.46,69.75,223047,0.36,0.52%,69.75,15.56m,1757
12,10/17/16,69.26,69.90,69.10,69.39,130638,0.32,0.46%,69.39,9.09m,1427
13,10/14/16,69.11,69.62,68.46,69.07,190695,-0.10,-0.14%,69.07,13.18m,1832
14,10/13/16,68.75,69.37,68.61,69.17,242308,0.38,0.55%,69.17,16.74m,2573
15,10/12/16,68.73,69.07,68.27,68.79,265079,0.05,0.07%,68.79,18.24m,2484
16,10/11/16,69.04,69.24,68.495,68.74,153974,-0.40,-0.58%,68.74,10.58m,2030
17,10/10/16,68.30,69.34,68.30,69.14,123193,0.81,1.19%,69.14,8.5m,1288
18,10/07/16,68.44,69.29,67.72,68.33,172053,0.13,0.19%,68.33,11.77m,1719
19,10/06/16,68.81,68.96,67.67,68.20,271044,-0.80,-1.16%,68.20,18.51m,4077
20,10/05/16,71.57,72.29,68.75,69.00,398446,-2.52,-3.52%,69.00,27.93m,3998
21,10/04/16,72.09,72.365,71.10,71.52,156639,-0.62,-0.86%,71.52,11.24m,1701
22,10/03/16,73.21,74.17,71.97,72.14,132870,-1.42,-1.93%,72.14,9.61m,1803
23,09/30/16,74.55,75.05,73.50,73.56,178650,-0.60,-0.81%,73.56,13.19m,1872
24,09/29/16,74.67,74.76,73.505,74.16,184836,-0.92,-1.23%,74.16,13.71m,1855
25,09/28/16,73.81,75.13,72.88,75.08,228187,1.76,2.40%,75.08,16.99m,2266
26,09/27/16,74.24,74.24,73.15,73.32,137768,-0.58,-0.78%,73.32,10.14m,1764
27,09/26/16,73.20,74.35,72.975,73.90,188203,0.31,0.42%,73.90,13.91m,1711
28,09/23/16,73.39,73.815,72.78,73.59,127317,-0.02,-0.03%,73.59,9.35m,1661
29,09/22/16,73.22,73.83,72.76,73.61,199254,1.05,1.45%,73.61,14.67m,1998
30,09/21/16,71.21,72.67,70.27,72.56,199042,1.58,2.23%,72.56,14.34m,1731
31,09/20/16,71.41,71.60,70.98,70.98,131326,0.14,0.20%,70.98,9.36m,1585
32,09/19/16,70.12,70.89,70.02,70.84,85742,0.85,1.21%,70.84,6.06m,1058
33,09/16/16,68.97,70.04,68.95,69.99,252774,0.69,1.00%,69.99,17.59m,1509
34,09/15/16,68.81,69.37,68.40,69.30,191131,0.590018,0.86%,69.30,13.22m,1723
35,09/14/16,69.51,70.14,69.05,69.33,160727,-0.118927,-0.17%,68.71,11.16m,1589
36,09/13/16,70.83,70.83,69.00,69.45,278837,-1.7343,-2.46%,68.8289,19.41m,2403
37,09/12/16,70.48,71.72,69.90,71.20,210970,0.574813,0.82%,70.5633,15.01m,2053
38,09/09/16,73.17,73.56,70.58,70.62,193323,-3.3894,-4.62%,69.9884,13.78m,2170
39,09/08/16,74.72,74.82,73.84,74.04,179214,-1.1199,-1.50%,73.3779,13.28m,1430
40,09/07/16,74.73,76.00,74.35,75.17,291062,0.307228,0.41%,74.4978,21.83m,2349
41,09/06/16,74.45,75.38,73.27,74.86,213264,0.17839,0.24%,74.1905,15.9m,2410
42,09/05/16,,,,74.68,0,,0.00%,74.0121,,
43,09/02/16,73.90,75.70,73.88,74.68,147345,1.0208,1.40%,74.0121,11m,1686
44,09/01/16,73.40,73.89,73.03,73.65,152737,0.267585,0.37%,72.9913,11.22m,1820
45,08/31/16,73.22,73.82,72.99,73.38,234146,-0.019821,-0.03%,72.7238,17.18m,1750
46,08/30/16,73.50,73.50,72.81,73.40,75197,0.019821,0.03%,72.7436,5.51m,1088
47,08/29/16,72.82,73.4173,72.61,73.38,78801,0.713561,0.99%,72.7238,5.77m,838
48,08/26/16,72.86,73.34,71.80,72.66,138595,-0.208122,-0.29%,72.0102,10.05m,1532
49,08/25/16,72.30,73.04,72.07,72.87,84816,0.525261,0.73%,72.2183,6.18m,996
50,08/24/16,72.98,72.98,72.05,72.34,87445,-0.51535,-0.71%,71.6931,6.32m,1002
51,08/23/16,73.02,73.43,72.74,72.86,71196,0.287407,0.40%,72.2084,5.19m,919
52,08/22/16,72.56,73.13,72.03,72.57,97329,0.1883,0.26%,71.921,7.05m,1204
53,08/19/16,72.39,72.44,70.64,72.38,121492,0.138748,0.19%,71.7327,8.78m,1181
54,08/18/16,72.20,72.67,71.8623,72.24,108600,0.148659,0.21%,71.594,7.85m,1130
55,08/17/16,72.27,72.27,71.50,72.09,152036,-0.198212,-0.28%,71.4453,10.95m,1862
56,08/16/16,72.78,73.32,72.03,72.29,140131,-0.842398,-1.16%,71.6435,10.13m,1368
57,08/15/16,73.52,73.845,73.02,73.14,94955,-0.257675,-0.35%,72.4859,6.96m,1016
58,08/12/16,73.00,73.90,72.94,73.40,113471,0.624366,0.87%,72.7436,8.34m,1121
59,08/11/16,73.35,73.35,72.33,72.77,134299,-0.564902,-0.78%,72.1192,9.77m,1234
60,08/10/16,73.00,73.51,72.81,73.34,147530,0.336959,0.47%,72.6841,10.8m,1360
61,08/09/16,72.50,73.07,72.20,73.00,79566,0.574813,0.80%,72.3472,5.8m,1641
62,08/08/16,72.59,73.08,72.33,72.42,75642,-0.267585,-0.37%,71.7723,5.49m,1160
63,08/05/16,72.99,73.01,72.47,72.69,179511,-0.109017,-0.15%,72.0399,13.05m,1627
64,08/04/16,73.05,73.2499,72.25,72.80,110954,0.049553,0.07%,72.149,8.06m,1270
65,08/03/16,72.86,72.95,72.01,72.75,180681,-0.227943,-0.32%,72.0994,13.12m,1796
66,08/02/16,74.18,74.18,72.8801,72.98,128816,-1.219,-1.66%,72.3273,9.42m,1133
67,08/01/16,73.57,74.56,73.39,74.21,261964,0.584724,0.80%,73.5463,19.43m,2222
68,07/29/16,72.85,74.53,72.85,73.62,226269,0.634276,0.88%,72.9616,16.7m,1831
69,07/28/16,71.65,73.31,71.62,72.98,144628,1.2983,1.83%,72.3273,10.55m,1707
70,07/27/16,71.60,71.74,70.91,71.67,130649,-0.118927,-0.17%,71.0291,9.34m,1786
71,07/26/16,71.85,72.21,71.13,71.79,160464,0.089195,0.13%,71.148,11.5m,1720
72,07/25/16,71.54,72.37,71.15,71.70,153059,0.34687,0.49%,71.0588,10.95m,1692
73,07/22/16,70.61,71.63,70.23,71.35,233794,0.218033,0.31%,70.7119,16.68m,2550
74,07/21/16,71.92,71.92,70.73,71.13,532163,-0.981147,-1.37%,70.4939,37.8m,4882
75,07/20/16,71.79,72.12,71.22,72.12,210698,0.455886,0.64%,71.475,15.08m,2245
76,07/19/16,71.49,71.91,71.33,71.66,281276,-0.019821,-0.03%,71.0191,20.14m,2319
77,07/18/16,71.70,71.9276,71.46,71.68,77547,-0.089195,-0.13%,71.039,5.56m,1322
78,07/15/16,72.12,72.34,71.01,71.77,110798,0.227943,0.32%,71.1282,7.95m,1186
79,07/14/16,71.56,72.09,71.33,71.54,110805,-0.17839,-0.25%,70.9002,7.94m,1222
80,07/13/16,71.84,72.065,71.15,71.72,240948,0.17839,0.25%,71.0786,17.27m,2208
81,07/12/16,71.71,71.80,71.05,71.54,145089,-0.208122,-0.29%,70.9002,10.38m,1512
82,07/11/16,71.19,71.84,70.55,71.75,137107,0.584724,0.83%,71.1083,9.81m,1460
83,07/08/16,69.95,71.25,69.92,71.16,151204,1.7046,2.48%,70.5236,10.72m,1644
84,07/07/16,70.14,70.14,69.00,69.44,133105,-0.604545,-0.87%,68.819,9.23m,1566
85,07/06/16,69.71,70.15,69.61,70.05,92703,0.148659,0.21%,69.4235,6.48m,1137
86,07/05/16,69.77,70.09,69.22,69.90,201423,0.297317,0.43%,69.2749,14.03m,1900
87,07/04/16,,,,69.60,0,,0.00%,68.9776,,
88,07/01/16,69.30,69.88,69.02,69.60,187338,0.673919,0.99%,68.9776,13.02m,2044
89,06/30/16,69.23,69.23,68.44,68.92,407303,-0.069374,-0.10%,68.3036,28.04m,4058
90,06/29/16,68.53,69.35,68.33,68.99,155629,1.0208,1.52%,68.373,10.74m,1787
91,06/28/16,67.61,68.255,67.17,67.96,442390,0.951415,1.43%,67.3522,29.95m,3831
92,06/27/16,67.33,67.38,65.89,67.00,230760,-0.51535,-0.77%,66.4008,15.44m,2342
93,06/24/16,67.15,68.46,66.53,67.52,990036,-1.1893,-1.75%,66.9162,66.95m,2297
94,06/23/16,68.51,68.83,68.27,68.72,179270,0.604545,0.90%,68.1054,12.3m,1638
95,06/22/16,67.85,68.25,67.52,68.11,168062,0.277496,0.41%,67.5009,11.43m,1641
96,06/21/16,68.05,68.5184,67.65,67.83,237061,-0.118927,-0.18%,67.2234,16.11m,1967
97,06/20/16,68.09,68.46,67.88,67.95,239361,0.267585,0.40%,67.3423,16.31m,2389
98,06/17/16,68.35,68.35,67.05,67.68,380301,-0.148658,-0.22%,67.0747,25.78m,1887
99,06/16/16,67.01,67.91,66.7925,67.83,184490,0.723471,1.09%,67.2234,12.43m,1659
