,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,72.38,73.21,71.55,72.07,1921372,0.16,0.22%,72.07,138.94m,17866
2,10/31/16,72.32,72.42,71.62,71.91,2370164,-0.08,-0.11%,71.91,170.62m,17608
3,10/28/16,70.04,72.64,69.3384,71.99,4626414,4.72,7.02%,71.99,332.19m,31784
4,10/27/16,67.48,68.31,66.90,67.27,1787570,0.20,0.30%,67.27,120.87m,16382
5,10/26/16,66.26,67.155,66.10,67.07,1305608,0.67,1.01%,67.07,87.3m,11685
6,10/25/16,67.01,67.09,66.32,66.40,1094693,-0.54,-0.81%,66.40,72.88m,9851
7,10/24/16,67.22,67.33,66.61,66.94,727060,0.07,0.10%,66.94,48.65m,6822
8,10/21/16,66.35,67.295,66.285,66.87,1390086,-0.02,-0.03%,66.87,92.94m,10506
9,10/20/16,65.80,67.15,65.311,66.89,1341500,0.79,1.20%,66.89,89.59m,10765
10,10/19/16,65.70,66.18,65.17,66.10,1568074,0.75,1.15%,66.10,103.24m,12056
11,10/18/16,64.62,65.63,64.41,65.35,1891564,1.86,2.93%,65.35,123.18m,14873
12,10/17/16,63.77,64.25,63.35,63.49,1617344,-0.24,-0.38%,63.49,102.98m,15363
13,10/14/16,63.67,64.49,63.28,63.73,2356710,0.56,0.89%,63.73,150.3m,18115
14,10/13/16,63.50,63.78,62.70,63.17,3568299,-1.20,-1.86%,63.17,225.52m,24324
15,10/12/16,65.31,65.61,64.35,64.37,1264127,-0.94,-1.44%,64.37,81.63m,11432
16,10/11/16,65.88,65.915,64.8905,65.31,1164863,-0.87,-1.31%,65.31,76.11m,11551
17,10/10/16,67.16,67.51,65.93,66.18,1355952,-0.29,-0.44%,66.18,90.05m,12293
18,10/07/16,67.90,67.92,66.10,66.47,1284596,-1.22,-1.80%,66.47,85.56m,11531
19,10/06/16,66.97,67.77,66.81,67.69,990641,0.53,0.79%,67.69,66.88m,9599
20,10/05/16,66.95,67.53,66.89,67.16,832266,0.68,1.02%,67.16,55.97m,7139
