,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,51.89,52.47,50.68,51.00,6969663,0.316952,0.63%,50.5142,358.26m,50177
2,10/31/16,50.38,50.76,50.18,50.68,6160424,0.584379,1.18%,50.1972,311.25m,35201
3,10/28/16,49.93,50.48,49.62,50.09,4267276,0.247619,0.50%,49.6128,213.78m,31661
4,10/27/16,50.40,50.47,49.74,49.84,3861761,-0.594285,-1.19%,49.3652,192.91m,28667
5,10/26/16,49.93,50.65,49.82,50.44,3066291,0.326857,0.66%,49.9595,154.5m,22272
6,10/25/16,50.21,50.39,49.83,50.11,3040205,-0.198095,-0.40%,49.6327,152.47m,17923
7,10/24/16,50.53,50.61,50.12,50.31,2442453,0.198095,0.40%,49.8307,122.98m,16396
8,10/21/16,49.74,50.26,49.56,50.11,3616238,-0.039619,-0.08%,49.6327,180.93m,24470
9,10/20/16,49.78,50.25,49.66,50.15,2829735,0.237714,0.48%,49.6723,141.59m,20093
10,10/19/16,50.00,50.13,49.7895,49.91,5539982,0.029714,0.06%,49.4346,276.63m,26582
11,10/18/16,50.11,50.16,49.645,49.88,3944062,0.18819,0.38%,49.4048,196.69m,27672
12,10/17/16,49.91,50.04,49.61,49.69,3871721,-0.18819,-0.38%,49.2167,192.64m,27571
13,10/14/16,50.56,50.65,49.88,49.88,3790225,-0.316952,-0.64%,49.4048,189.93m,26626
14,10/13/16,49.62,50.26,49.22,50.20,4296132,0.00,0.00%,49.7218,214.04m,30077
15,10/12/16,50.12,50.62,49.365,50.20,6426680,-0.584379,-1.16%,49.7218,322.33m,47920
16,10/11/16,51.53,51.68,50.53,50.79,4656819,-0.970665,-1.89%,50.3062,237.49m,32671
17,10/10/16,52.82,52.91,51.635,51.77,3952117,-0.921141,-1.76%,51.2768,205.85m,26755
18,10/07/16,53.13,53.13,52.375,52.70,4069353,-0.683427,-1.29%,52.198,214.52m,25832
19,10/06/16,53.61,53.69,52.87,53.39,3119038,-0.297142,-0.56%,52.8814,166.3m,22456
