,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,65.34,65.67,63.10,63.26,137629,-1.87,-2.87%,63.26,8.79m,1811
2,10/31/16,64.67,65.35,64.38,65.13,189859,0.66,1.02%,65.13,12.35m,1652
3,10/28/16,63.91,65.02,63.60,64.47,174336,0.46,0.72%,64.47,11.25m,1545
4,10/27/16,64.37,64.59,63.84,64.01,169628,-0.60,-0.93%,64.01,10.88m,1783
5,10/26/16,64.32,65.46,64.30,64.61,254328,-0.09,-0.14%,64.61,16.48m,2184
6,10/25/16,66.48,66.60,64.55,64.70,172742,-1.90,-2.85%,64.70,11.24m,1785
7,10/24/16,66.73,66.8296,65.62,66.60,135887,0.89,1.35%,66.60,9.02m,1405
8,10/21/16,64.19,66.135,64.00,65.71,240807,0.81,1.25%,65.71,15.75m,2314
9,10/20/16,65.55,66.10,64.76,64.90,204264,-1.20,-1.82%,64.90,13.31m,2203
10,10/19/16,66.27,66.595,65.90,66.10,218652,-0.05,-0.08%,66.10,14.49m,2388
11,10/18/16,66.75,66.75,65.72,66.15,179881,0.20,0.30%,66.15,11.91m,1296
12,10/17/16,65.70,66.16,65.18,65.95,254170,0.13,0.20%,65.95,16.71m,2467
13,10/14/16,66.89,67.38,65.76,65.82,152458,-0.66,-0.99%,65.82,10.07m,1753
14,10/13/16,66.64,66.93,65.89,66.48,124477,-0.98,-1.45%,66.48,8.27m,1461
15,10/12/16,67.32,68.05,66.825,67.46,217194,0.12,0.18%,67.46,14.65m,2148
16,10/11/16,69.54,69.54,67.00,67.34,166329,-2.64,-3.77%,67.34,11.26m,1766
17,10/10/16,69.01,70.06,68.97,69.98,313916,1.32,1.92%,69.98,21.88m,2199
18,10/07/16,70.21,70.21,68.40,68.66,208748,-1.65,-2.35%,68.66,14.39m,1936
19,10/06/16,69.78,70.52,69.13,70.31,179592,0.37,0.53%,70.31,12.58m,1709
20,10/05/16,68.78,70.73,68.44,69.94,273052,1.41,2.06%,69.94,19.04m,2447
21,10/04/16,68.76,69.49,68.27,68.53,133619,-0.20,-0.29%,68.53,9.19m,1890
22,10/03/16,68.87,69.39,68.55,68.73,180776,-0.46,-0.66%,68.73,12.44m,1644
23,09/30/16,68.52,69.69,68.16,69.19,243236,0.96,1.41%,69.19,16.79m,1774
24,09/29/16,68.71,69.09,68.045,68.23,123469,-0.57,-0.83%,68.23,8.46m,1773
25,09/28/16,67.81,68.83,67.63,68.80,100181,1.03,1.52%,68.80,6.85m,1138
26,09/27/16,67.29,67.82,66.80,67.77,177291,0.48,0.71%,67.77,11.95m,1802
27,09/26/16,67.36,67.99,67.17,67.29,121343,-0.55,-0.81%,67.29,8.19m,1366
28,09/23/16,68.95,69.17,67.82,67.84,172757,-1.60,-2.30%,67.84,11.78m,2361
29,09/22/16,68.97,69.54,68.80,69.44,231295,1.25,1.83%,69.44,16.02m,2015
30,09/21/16,67.75,68.58,67.55,68.19,238254,0.90,1.34%,68.19,16.21m,2227
31,09/20/16,68.50,68.50,67.26,67.29,190177,-0.68,-1.00%,67.29,12.88m,1716
32,09/19/16,68.63,69.12,67.71,67.97,253834,-0.41,-0.60%,67.97,17.32m,2660
33,09/16/16,68.07,68.66,67.79,68.38,627025,0.05,0.07%,68.38,42.82m,2885
34,09/15/16,67.36,68.34,66.80,68.33,172710,0.97,1.44%,68.33,11.73m,1567
35,09/14/16,67.65,67.82,66.985,67.36,271969,-0.215002,-0.32%,67.36,18.3m,2924
36,09/13/16,68.33,68.86,67.695,67.75,369051,-1.3764,-2.00%,67.575,25.09m,3623
37,09/12/16,67.33,69.36,66.951,69.13,350263,1.3565,2.01%,68.9514,23.91m,3713
38,09/09/16,69.14,69.225,66.97,67.77,325870,-2.0547,-2.95%,67.595,22.13m,3154
39,09/08/16,70.35,70.68,69.64,69.83,197105,-0.698192,-0.99%,69.6496,13.84m,2250
40,09/07/16,69.77,70.75,69.565,70.53,537629,0.817882,1.18%,70.3478,37.89m,2638
41,09/06/16,71.42,71.58,69.52,69.71,222582,-1.5959,-2.24%,69.5299,15.6m,1917
42,09/05/16,,,,71.31,0,,0.00%,71.1258,,
43,09/02/16,71.49,71.66,71.08,71.31,286171,0.369044,0.52%,71.1258,20.43m,2487
44,09/01/16,70.26,70.95,70.18,70.94,317147,0.558554,0.80%,70.7568,22.37m,3074
45,08/31/16,70.37,70.73,69.69,70.38,392793,-0.149613,-0.21%,70.1982,27.62m,2846
46,08/30/16,69.73,70.55,69.73,70.53,174614,0.797934,1.15%,70.3478,12.27m,1721
47,08/29/16,70.00,70.59,69.36,69.73,211744,-0.259329,-0.37%,69.5499,14.82m,2368
48,08/26/16,72.33,72.78,69.84,69.99,888843,-2.2542,-3.13%,69.8092,62.96m,6497
49,08/25/16,71.70,73.12,71.70,72.25,6829978,0.199483,0.28%,72.0634,493.67m,7240
50,08/24/16,71.03,72.84,71.03,72.05,430457,1.1969,1.69%,71.8639,31.04m,4675
51,08/23/16,71.27,71.622,70.81,70.85,112142,-0.229406,-0.32%,70.667,7.96m,1121
52,08/22/16,70.14,71.09,69.79,71.08,213832,0.578501,0.82%,70.8964,15.1m,2006
53,08/19/16,70.07,70.695,69.695,70.50,224681,0.199484,0.28%,70.3179,15.81m,1784
