,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,12.12,12.12,11.90,11.97,166666,-0.099293,-0.83%,11.8854,2m,729
2,10/31/16,12.23,12.2644,12.07,12.07,140112,-0.099293,-0.82%,11.9847,1.7m,679
3,10/28/16,12.29,12.31,12.15,12.17,137333,-0.129081,-1.06%,12.084,1.68m,439
4,10/27/16,12.42,12.42,12.27,12.30,61289,-0.049647,-0.40%,12.213,755.97k,217
5,10/26/16,12.33,12.40,12.30,12.35,79057,-0.039717,-0.32%,12.2627,976.47k,253
6,10/25/16,12.43,12.43,12.34,12.39,138586,-0.029788,-0.24%,12.3024,1.72m,580
7,10/24/16,12.40,12.43,12.35,12.42,77909,0.059576,0.49%,12.3322,965.76k,316
8,10/21/16,12.28,12.36,12.24,12.36,68507,0.079435,0.65%,12.2726,842.03k,300
9,10/20/16,12.31,12.32,12.2301,12.28,62146,-0.053215,-0.43%,12.1932,763.65k,212
10,10/19/16,12.30,12.42,12.26,12.42,96063,0.118322,0.98%,12.2464,1.18m,435
11,10/18/16,12.32,12.34,12.24,12.30,104086,0.118323,0.99%,12.1281,1.28m,568
12,10/17/16,12.43,12.45,12.16,12.18,325638,-0.236645,-1.93%,12.0098,3.99m,1633
13,10/14/16,12.47,12.52,12.41,12.42,69747,0.009859,0.08%,12.2464,867.71k,359
14,10/13/16,12.45,12.4719,12.41,12.41,90468,-0.088742,-0.72%,12.2365,1.12m,446
15,10/12/16,12.49,12.54,12.46,12.50,66446,-0.03944,-0.32%,12.3253,831k,255
16,10/11/16,12.58,12.6099,12.48,12.54,93965,-0.069022,-0.56%,12.3647,1.18m,301
17,10/10/16,12.58,12.63,12.58,12.61,70775,0.059161,0.48%,12.4337,892.29k,227
18,10/07/16,12.68,12.68,12.53,12.55,103395,-0.078881,-0.63%,12.3746,1.3m,436
19,10/06/16,12.65,12.67,12.56,12.63,132404,-0.009861,-0.08%,12.4535,1.67m,543
20,10/05/16,12.64,12.69,12.62,12.64,50092,0.019721,0.16%,12.4633,634.05k,200
21,10/04/16,12.65,12.66,12.55,12.62,161487,-0.078882,-0.63%,12.4436,2.03m,655
22,10/03/16,12.67,12.7229,12.60,12.70,67227,0.049301,0.40%,12.5225,850.4k,213
23,09/30/16,12.66,12.72,12.60,12.65,108076,0.059162,0.48%,12.4732,1.37m,433
24,09/29/16,12.60,12.65,12.52,12.59,66152,-0.049203,-0.39%,12.414,833.85k,296
25,09/28/16,12.62,12.67,12.58,12.6399,83117,0.009762,0.08%,12.4632,1.05m,285
26,09/27/16,12.50,12.64,12.48,12.63,78078,0.108463,0.88%,12.4535,983.18k,278
